Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,3,5.0,5,2,KAZ,2.0,USHAKOV V,3 - 2,197,KAZ,3:17,Saved,0
Penalty shot,4,10.0,5,2,KAZ,2.0,CONWAY J,4 - 2,192,CAN,3:12,Goal,1
Counter attack,5,10.0,5,2,KAZ,2.0,CONWAY J,5 - 2,164,CAN,2:44,Goal,1
Extra player shot,5,12.0,5,2,KAZ,2.0,PEKOVICH B,5 - 2,129,KAZ,2:09,Missed,0
Action shot,5,9.0,5,2,KAZ,2.0,UKUMANOV R,5 - 2,99,KAZ,1:39,Post,0
Centre shot,5,11.0,5,2,KAZ,4.0,TORAKIS G,5 - 2,1,CAN,0:01,Missed,0
Action shot,5,10.0,5,2,KAZ,2.0,CONWAY J,5 - 2,59,CAN,0:59,Saved,0
5m shot,5,5.0,5,2,KAZ,2.0,USHAKOV V,5 - 2,37,KAZ,0:37,Blocked,0
Extra player shot,6,12.0,5,2,KAZ,2.0,MCELROY J,6 - 2,17,CAN,0:17,Goal,1
5m shot,6,9.0,5,2,KAZ,2.0,UKUMANOV R,6 - 2,1,KAZ,0:01,Saved,0
Extra player shot,6,3.0,5,2,KAZ,3.0,AXENOV A,6 - 2,424,KAZ,7:04,Blocked,0
5m shot,6,11.0,5,2,KAZ,3.0,TORAKIS G,6 - 2,402,CAN,6:42,Saved,0
Counter attack,6,3.0,5,3,KAZ,3.0,AXENOV A,6 - 3,360,KAZ,6:00,Goal,1
Action shot,6,10.0,5,3,KAZ,3.0,CONWAY J,6 - 3,340,CAN,5:40,Post,0
Extra player shot,6,4.0,5,4,KAZ,3.0,PILIPENKO R,6 - 4,308,KAZ,5:08,Goal,1
Action shot,6,8.0,5,4,KAZ,3.0,GRAHAM K,6 - 4,277,CAN,4:37,Missed,0
Action shot,6,5.0,5,4,KAZ,3.0,USHAKOV V,6 - 4,258,KAZ,4:18,Saved,0
Extra player shot,7,3.0,5,4,KAZ,3.0,VIKALO O,7 - 4,178,CAN,2:58,Goal,1
5m shot,7,3.0,5,4,KAZ,3.0,AXENOV A,7 - 4,160,KAZ,2:40,Post,0
5m shot,7,3.0,5,4,KAZ,3.0,AXENOV A,7 - 4,111,KAZ,1:51,Post,0
5m shot,8,10.0,5,4,KAZ,3.0,CONWAY J,8 - 4,99,CAN,1:39,Goal,1
Extra player shot,8,2.0,5,4,KAZ,3.0,GUBAREV S,8 - 4,63,KAZ,1:03,Blocked,0
5m shot,8,2.0,5,4,KAZ,3.0,KUDABA C,8 - 4,36,CAN,0:36,Saved,0
Centre shot,8,12.0,5,5,KAZ,3.0,PEKOVICH B,8 - 5,15,KAZ,0:15,Goal,1
