Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Sprint won possession,11.0,3,4,KAZ,2.0,MOLYNEUX N,0,0 - 4,480,RSA,8:00
20 sec. exclusion in centre,2.0,3,4,KAZ,2.0,LE ROUX E,0,0 - 4,428,RSA,7:08
Extra player shot - Saved,7.0,3,4,KAZ,2.0,SHAKENOV M,0,0 - 4,408,KAZ,6:48
20 sec. exclusion in field,7.0,3,4,KAZ,2.0,SHAKENOV M,0,0 - 4,402,KAZ,6:42
Extra player shot - Blocked,10.0,3,4,KAZ,2.0,LE ROUX P,0,0 - 4,385,RSA,6:25
Turnover foul,8.0,3,4,KAZ,2.0,KOLIADENKO A,0,0 - 4,361,KAZ,6:01
Steal,8.0,3,4,KAZ,2.0,WINGATE-PEARSE J,0,0 - 4,361,RSA,6:01
Action shot - Saved,10.0,3,4,KAZ,2.0,LE ROUX P,0,0 - 4,338,RSA,5:38
Turnover foul,8.0,3,4,KAZ,2.0,KOLIADENKO A,0,0 - 4,309,KAZ,5:09
Steal,1.0,3,4,KAZ,2.0,FLATSCHER D,0,0 - 4,309,RSA,5:09
Action shot - Saved,12.0,3,4,KAZ,2.0,PEKOVICH B,0,0 - 4,254,KAZ,4:14
Centre shot - Goal,12.0,3,5,KAZ,2.0,PEKOVICH B,0,0 - 5,242,KAZ,4:02
Turnover foul,9.0,3,5,KAZ,2.0,WHYTE D,0,0 - 5,210,RSA,3:30
Centre shot - Saved,11.0,3,5,KAZ,2.0,MANAFOV R,0,0 - 5,192,KAZ,3:12
20 sec. exclusion in centre,7.0,3,5,KAZ,2.0,JAGGA D,0,0 - 5,187,RSA,3:07
Yellow card,,3,5,KAZ,2.0,Team Official,0,0 - 5,187,RSA,3:07
Extra player shot - Goal,9.0,3,6,KAZ,2.0,UKUMANOV R,0,0 - 6,171,KAZ,2:51
5m shot - Goal,11.0,3,6,KAZ,2.0,MOLYNEUX N,1,1 - 6,152,RSA,2:32
20 sec. exclusion in centre,6.0,3,6,KAZ,2.0,DE CARVALHO J,1,1 - 6,136,RSA,2:16
Extra player shot - Missed,6.0,3,6,KAZ,2.0,SHMIDER A,1,1 - 6,118,KAZ,1:58
Turnover foul,8.0,3,6,KAZ,2.0,WINGATE-PEARSE J,1,1 - 6,93,RSA,1:33
Steal,6.0,3,6,KAZ,2.0,SHMIDER A,1,1 - 6,93,KAZ,1:33
5m shot - Saved,4.0,3,6,KAZ,2.0,PILIPENKO R,1,1 - 6,67,KAZ,1:07
Turnover foul,6.0,3,6,KAZ,2.0,DE CARVALHO J,1,1 - 6,38,RSA,0:38
Time-Out,,3,6,KAZ,2.0,,1,1 - 6,37,KAZ,0:37
5m shot - Goal,3.0,3,7,KAZ,2.0,AXENOV A,1,1 - 7,23,KAZ,0:23
5m shot - Missed,11.0,3,7,KAZ,2.0,MOLYNEUX N,1,1 - 7,1,RSA,0:01
Starting goalkeeper,13.0,3,7,KAZ,3.0,LEWIS J,1,1 - 7,480,RSA,8:00
Starting goalkeeper,1.0,3,7,KAZ,3.0,FEDOROV A,1,1 - 7,480,KAZ,8:00
Sprint won possession,11.0,3,7,KAZ,3.0,MOLYNEUX N,1,1 - 7,480,RSA,8:00
Turnover foul,10.0,3,7,KAZ,3.0,LE ROUX P,1,1 - 7,456,RSA,7:36
Steal,5.0,3,7,KAZ,3.0,USHAKOV V,1,1 - 7,456,KAZ,7:36
20 sec. exclusion in centre,8.0,3,7,KAZ,3.0,WINGATE-PEARSE J,1,1 - 7,432,RSA,7:12
Extra player shot - Goal,11.0,3,8,KAZ,3.0,MANAFOV R,1,1 - 8,426,KAZ,7:06
Turnover foul,8.0,3,8,KAZ,3.0,WINGATE-PEARSE J,1,1 - 8,404,RSA,6:44
Steal,5.0,3,8,KAZ,3.0,USHAKOV V,1,1 - 8,404,KAZ,6:44
