Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,4.0,4,16,6,KAZ,4.0,BATORI B,16 - 6,431,HUN,7:11,Goal,1
Centre shot,11.0,4,16,6,KAZ,4.0,BEDO K,16 - 6,378,HUN,6:18,Missed,0
Centre shot,5.0,4,16,6,KAZ,4.0,SHAKENOV M,16 - 6,331,KAZ,5:31,Missed,0
Action shot,10.0,4,16,6,KAZ,4.0,VARGA D,16 - 6,314,HUN,5:14,Saved,0
Action shot,9.0,4,16,6,KAZ,4.0,VARGA D,16 - 6,266,HUN,4:26,Blocked,0
Counter attack,3.0,4,16,6,KAZ,4.0,MADARAS N,16 - 6,232,HUN,3:52,Saved,0
5m shot,5.0,4,16,6,KAZ,4.0,SHAKENOV M,16 - 6,199,KAZ,3:19,Saved,0
Action shot,3.0,4,16,6,KAZ,4.0,MADARAS N,16 - 6,169,HUN,2:49,Blocked,0
Extra player shot,12.0,4,16,7,KAZ,4.0,PEKOVICH B,16 - 7,38,KAZ,0:38,Goal,1
5m shot,8.0,4,16,7,KAZ,4.0,SZIVOS M,16 - 7,10,HUN,0:10,Post,0
Extra player shot,2.0,5,0,0,GRE,1.0,GOR-NAGY M,0 - 0,456,HUN,7:36,Saved,0
Action shot,3.0,5,0,0,GRE,1.0,MADARAS N,0 - 0,439,HUN,7:19,Saved,0
Action shot,12.0,5,0,0,GRE,1.0,VLACHOPOULOS A,0 - 0,391,GRE,6:31,Blocked,0
Action shot,5.0,5,0,0,GRE,1.0,FOUNTOULIS I,0 - 0,350,GRE,5:50,Saved,0
Action shot,10.0,5,0,0,GRE,1.0,VARGA D,0 - 0,267,HUN,4:27,Blocked,0
Action shot,3.0,5,0,0,GRE,1.0,MADARAS N,0 - 0,226,HUN,3:46,Saved,0
Extra player shot,7.0,5,0,0,GRE,1.0,AFROUDAKIS C,0 - 0,198,GRE,3:18,Saved,0
Action shot,5.0,5,0,0,GRE,1.0,FOUNTOULIS I,0 - 0,178,GRE,2:58,Saved,0
5m shot,8.0,5,0,0,GRE,1.0,DELAKAS E,0 - 0,152,GRE,2:32,Blocked,0
Extra player shot,6.0,5,1,0,GRE,1.0,HOSNYANSZKY N,0 - 1,95,HUN,1:35,Goal,1
Action shot,2.0,5,1,1,GRE,1.0,MYLONAKIS E,1 - 1,51,GRE,0:51,Goal,1
Extra player shot,11.0,5,2,1,GRE,1.0,BEDO K,1 - 2,21,HUN,0:21,Goal,1
Action shot,2.0,5,2,1,GRE,1.0,MYLONAKIS E,1 - 2,1,GRE,0:01,Saved,0
Action shot,5.0,5,2,1,GRE,2.0,FOUNTOULIS I,1 - 2,450,GRE,7:30,Post,0
Extra player shot,9.0,5,2,1,GRE,2.0,VARGA D,1 - 2,401,HUN,6:41,Post,0
Extra player shot,5.0,5,2,2,GRE,2.0,FOUNTOULIS I,2 - 2,359,GRE,5:59,Goal,1
Centre shot,10.0,5,2,2,GRE,2.0,VARGA D,2 - 2,332,HUN,5:32,Saved,0
5m shot,6.0,5,2,2,GRE,2.0,PONTIKEAS K,2 - 2,302,GRE,5:02,Saved,0
Extra player shot,2.0,5,2,2,GRE,2.0,GOR-NAGY M,2 - 2,217,HUN,3:37,Saved,0
Action shot,7.0,5,2,2,GRE,2.0,AFROUDAKIS C,2 - 2,187,GRE,3:07,Blocked,0
Action shot,3.0,5,2,2,GRE,2.0,MADARAS N,2 - 2,163,HUN,2:43,Saved,0
Centre shot,7.0,5,3,2,GRE,2.0,DECKER A,2 - 3,88,HUN,1:28,Goal,1
Extra player shot,9.0,5,3,2,GRE,2.0,MOURIKIS K,2 - 3,52,GRE,0:52,Saved,0
Extra player shot,5.0,5,3,2,GRE,2.0,FOUNTOULIS I,2 - 3,45,GRE,0:45,Post,0
Extra player shot,5.0,5,3,2,GRE,2.0,FOUNTOULIS I,2 - 3,3,GRE,0:03,Blocked,0
5m shot,6.0,5,3,2,GRE,2.0,HOSNYANSZKY N,2 - 3,1,HUN,0:01,Saved,0
Centre shot,12.0,5,3,2,GRE,3.0,VLACHOPOULOS A,2 - 3,431,GRE,7:11,Saved,0
Action shot,5.0,5,3,2,GRE,3.0,VAMOS M,2 - 3,405,HUN,6:45,Missed,0
Extra player shot,11.0,5,3,2,GRE,3.0,GOUNAS A,2 - 3,338,GRE,5:38,Saved,0
Extra player shot,6.0,5,4,2,GRE,3.0,HOSNYANSZKY N,2 - 4,291,HUN,4:51,Goal,1
5m shot,3.0,5,4,2,GRE,3.0,MADARAS N,2 - 4,245,HUN,4:05,Post,0
Action shot,7.0,5,4,2,GRE,3.0,AFROUDAKIS C,2 - 4,217,GRE,3:37,Post,0
Extra player shot,8.0,5,4,2,GRE,3.0,SZIVOS M,2 - 4,180,HUN,3:00,Saved,0
Action shot,11.0,5,4,2,GRE,3.0,GOUNAS A,2 - 4,152,GRE,2:32,Saved,0
Extra player shot,5.0,5,5,2,GRE,3.0,VAMOS M,2 - 5,84,HUN,1:24,Goal,1
Extra player shot,12.0,5,5,3,GRE,3.0,VLACHOPOULOS A,3 - 5,52,GRE,0:52,Goal,1
5m shot,3.0,5,5,3,GRE,3.0,MADARAS N,3 - 5,22,HUN,0:22,Saved,0
