Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,7.0,4,3,10,HUN,3.0,CROUSILLAT U,4 - 10,321,FRA,5:21,Missed,0
Extra player shot,9.0,4,3,10,HUN,3.0,ERDELYI B,4 - 10,271,HUN,4:31,Saved,0
Extra player shot,8.0,4,3,11,HUN,3.0,GOR-NAGY M,4 - 11,265,HUN,4:25,Goal,1
Action shot,6.0,4,3,11,HUN,3.0,SIMON T,4 - 11,217,FRA,3:37,Saved,0
Action shot,5.0,4,3,11,HUN,3.0,VAMOS M,4 - 11,198,HUN,3:18,Saved,0
5m shot,9.0,4,3,11,HUN,3.0,MARZOUKI M,4 - 11,174,FRA,2:54,Saved,0
5m shot,3.0,4,3,11,HUN,3.0,MANHERCZ K,4 - 11,113,HUN,1:53,Post,0
Centre shot,7.0,4,3,11,HUN,3.0,DECKER A,4 - 11,108,HUN,1:48,Saved,0
5m shot,3.0,4,3,11,HUN,3.0,MANHERCZ K,4 - 11,80,HUN,1:20,Post,0
Action shot,9.0,4,3,11,HUN,3.0,ERDELYI B,4 - 11,50,HUN,0:50,Saved,0
Extra player shot,12.0,5,3,11,HUN,3.0,CAMARASA A,5 - 11,5,FRA,0:05,Goal,1
5m shot,5.0,5,3,11,HUN,3.0,VAMOS M,5 - 11,1,HUN,0:01,Saved,0
5m shot,4.0,5,3,11,HUN,4.0,ZALANKI G,5 - 11,452,HUN,7:32,Missed,0
5m shot,3.0,5,3,11,HUN,4.0,KOVACEVIC I,5 - 11,426,FRA,7:06,Saved,0
Action shot,9.0,6,3,11,HUN,4.0,MARZOUKI M,6 - 11,402,FRA,6:42,Goal,1
Extra player shot,5.0,6,3,12,HUN,4.0,VAMOS M,6 - 12,359,HUN,5:59,Goal,1
Action shot,8.0,6,3,12,HUN,4.0,IZDINSKY M,6 - 12,336,FRA,5:36,Saved,0
Centre shot,12.0,6,3,12,HUN,4.0,CAMARASA A,6 - 12,315,FRA,5:15,Saved,0
Action shot,10.0,6,3,13,HUN,4.0,VARGA D,6 - 13,288,HUN,4:48,Goal,1
