Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,12.0,9,2,11,AUS,4.0,CAMARASA A,9 - 11,79,FRA,1:19
Steal,13.0,9,2,11,AUS,4.0,HRYSANTHOS A,9 - 11,79,AUS,1:19
Time-Out,,9,2,11,AUS,2.0,,9 - 11,8,FRA,0:08
5m shot - Missed,10.0,9,2,11,AUS,2.0,LAVERSANNE M,9 - 11,1,FRA,0:01
Starting goalkeeper,1.0,9,2,11,AUS,3.0,GARSAU R,9 - 11,480,FRA,8:00
Starting goalkeeper,13.0,9,2,11,AUS,3.0,HRYSANTHOS A,9 - 11,480,AUS,8:00
Sprint won possession,7.0,9,2,11,AUS,3.0,GILCHRIST J,9 - 11,480,AUS,8:00
5m shot - Goal,8.0,6,2,7,AUS,3.0,YOUNGER A,6 - 7,451,AUS,7:31
Turnover foul,12.0,6,2,7,AUS,3.0,CAMARASA A,6 - 7,421,FRA,7:01
Steal,6.0,6,2,7,AUS,3.0,EDWARDS L,6 - 7,421,AUS,7:01
Turnover foul,9.0,6,2,7,AUS,3.0,FORD A,6 - 7,394,AUS,6:34
Steal,10.0,6,2,7,AUS,3.0,LAVERSANNE M,6 - 7,394,FRA,6:34
Action shot - Saved,7.0,6,2,7,AUS,3.0,CROUSILLAT U,6 - 7,375,FRA,6:15
Centre shot - Saved,8.0,6,2,7,AUS,3.0,YOUNGER A,6 - 7,356,AUS,5:56
Turnover foul,12.0,6,2,7,AUS,3.0,CAMARASA A,6 - 7,331,FRA,5:31
Steal,6.0,6,2,7,AUS,3.0,EDWARDS L,6 - 7,331,AUS,5:31
5m shot - Goal,8.0,6,2,8,AUS,3.0,YOUNGER A,6 - 8,311,AUS,5:11
Turnover foul,2.0,6,2,8,AUS,3.0,SAUDADIER R,6 - 8,293,FRA,4:53
Steal,4.0,6,2,8,AUS,3.0,KAYES J,6 - 8,293,AUS,4:53
20 sec. exclusion in field,11.0,6,2,8,AUS,3.0,PEISSON M,6 - 8,288,FRA,4:48
Time-Out,,6,2,8,AUS,3.0,,6 - 8,286,AUS,4:46
5m shot - Goal,8.0,6,2,9,AUS,3.0,YOUNGER A,6 - 9,261,AUS,4:21
Double exclusion,4.0,6,2,9,AUS,3.0,KAYES J,6 - 9,261,AUS,4:21
Exclusion with substitution,4.0,6,2,9,AUS,3.0,KAYES J,6 - 9,261,AUS,4:21
Exclusion with substitution,8.0,6,2,9,AUS,3.0,IZDINSKY M,6 - 9,261,FRA,4:21
Double exclusion,8.0,6,2,9,AUS,3.0,IZDINSKY M,6 - 9,261,FRA,4:21
Exclusion with substitution,3.0,6,2,9,AUS,3.0,FORD G,6 - 9,238,AUS,3:58
