ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
8,5m shot,2.0,5,15,CHN,4.0,VEICH R,15 - 8,109,ARG,1:49,Blocked,0
8,5m shot,11.0,5,15,CHN,2.0,ZHANG C,15 - 8,0,CHN,0:00,Missed,0
8,5m shot,2.0,5,15,CHN,3.0,TAN F,15 - 8,451,CHN,7:31,Post,0
7,5m shot,9.0,5,9,CHN,3.0,CARABANTES I,9 - 7,421,ARG,7:01,Goal,1
7,Action shot,12.0,5,9,CHN,3.0,LIANG N,9 - 7,404,CHN,6:44,Saved,0
7,Counter attack,4.0,5,10,CHN,3.0,DONG T,10 - 7,360,CHN,6:00,Goal,1
7,Extra player shot,2.0,5,10,CHN,3.0,VEICH R,10 - 7,281,ARG,4:41,Missed,0
7,Centre shot,8.0,5,11,CHN,3.0,LI L,11 - 7,219,CHN,3:39,Goal,1
8,Counter attack,2.0,5,11,CHN,3.0,VEICH R,11 - 8,189,ARG,3:09,Goal,1
8,Extra player shot,6.0,5,12,CHN,3.0,LI L,12 - 8,153,CHN,2:33,Goal,1
8,5m shot,2.0,5,12,CHN,3.0,VEICH R,12 - 8,139,ARG,2:19,Blocked,0
8,Counter attack,10.0,5,13,CHN,3.0,CHEN J,13 - 8,126,CHN,2:06,Goal,1
8,5m shot,11.0,5,13,CHN,3.0,ZHANG C,13 - 8,84,CHN,1:24,Saved,0
8,5m shot,2.0,5,13,CHN,3.0,TAN F,13 - 8,40,CHN,0:40,Saved,0
8,5m shot,2.0,5,13,CHN,3.0,TAN F,13 - 8,1,CHN,0:01,Missed,0
8,5m shot,4.0,5,13,CHN,4.0,DONG T,13 - 8,435,CHN,7:15,Missed,0
8,Action shot,10.0,5,13,CHN,4.0,CHEN J,13 - 8,371,CHN,6:11,Saved,0
8,Action shot,12.0,5,13,CHN,4.0,YANEZ G,13 - 8,288,ARG,4:48,Saved,0
8,Action shot,4.0,5,13,CHN,4.0,DONG T,13 - 8,267,CHN,4:27,Blocked,0
8,5m shot,6.0,5,13,CHN,4.0,LI L,13 - 8,239,CHN,3:59,Blocked,0
8,Counter attack,2.0,5,13,CHN,4.0,VEICH R,13 - 8,223,ARG,3:43,Saved,0
8,Extra player shot,3.0,5,14,CHN,4.0,HU Z,14 - 8,182,CHN,3:02,Goal,1
9,Extra player shot,12.0,5,15,CHN,4.0,YANEZ G,15 - 9,68,ARG,1:08,Goal,1
9,Extra player shot,4.0,5,16,CHN,4.0,DONG T,16 - 9,2,CHN,0:02,Goal,1
9,5m shot,2.0,5,16,CHN,4.0,VEICH R,16 - 9,0,ARG,0:00,Missed,0
