ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
4,Steal,10.0,2,7,KAZ,2.0,MEDVEDEV Y,7 - 4,184,KAZ,3:04
4,20 sec. exclusion in centre,12.0,2,7,KAZ,2.0,YANEZ G,7 - 4,161,ARG,2:41
4,Action shot - Saved,12.0,2,7,KAZ,2.0,YANEZ G,7 - 4,120,ARG,2:00
4,Action shot - Goal,3.0,2,8,KAZ,2.0,AXENOV A,8 - 4,76,KAZ,1:16
4,Action shot - Saved,9.0,2,8,KAZ,2.0,CARABANTES I,8 - 4,52,ARG,0:52
4,20 sec. exclusion in centre,11.0,2,8,KAZ,2.0,DEMARCHI F,8 - 4,34,ARG,0:34
4,Time-Out,,2,8,KAZ,2.0,,8 - 4,34,KAZ,0:34
4,Extra player shot - Post,6.0,2,8,KAZ,4.0,BULGHERONI T,8 - 4,111,ARG,1:51
4,Action shot - Saved,12.0,2,8,KAZ,4.0,PEKOVICH B,8 - 4,88,KAZ,1:28
4,Turnover foul,3.0,2,8,KAZ,4.0,AXENOV A,8 - 4,40,KAZ,0:40
4,Extra player shot - Saved,12.0,2,8,KAZ,2.0,PEKOVICH B,8 - 4,14,KAZ,0:14
5,Counter attack - Goal,12.0,2,8,KAZ,2.0,YANEZ G,8 - 5,4,ARG,0:04
5,Starting goalkeeper,13.0,2,8,KAZ,3.0,SHLEMOV V,8 - 5,480,KAZ,8:00
5,Starting goalkeeper,1.0,2,8,KAZ,3.0,MALNERO D,8 - 5,480,ARG,8:00
5,Sprint won possession,6.0,2,8,KAZ,3.0,BULGHERONI T,8 - 5,480,ARG,8:00
5,Turnover foul,11.0,2,8,KAZ,3.0,DEMARCHI F,8 - 5,451,ARG,7:31
5,Steal,13.0,2,8,KAZ,3.0,SHLEMOV V,8 - 5,451,KAZ,7:31
5,20 sec. exclusion in centre,2.0,2,8,KAZ,3.0,VEICH R,8 - 5,431,ARG,7:11
5,Extra player shot - Goal,12.0,2,9,KAZ,3.0,PEKOVICH B,9 - 5,420,KAZ,7:00
5,Turnover foul,6.0,2,9,KAZ,3.0,BULGHERONI T,9 - 5,392,ARG,6:32
5,Centre shot - Goal,12.0,2,10,KAZ,3.0,PEKOVICH B,10 - 5,371,KAZ,6:11
5,20 sec. exclusion in field,3.0,2,10,KAZ,3.0,AXENOV A,10 - 5,347,KAZ,5:47
5,Extra player shot - Blocked,2.0,2,10,KAZ,3.0,VEICH R,10 - 5,322,ARG,5:22
5,20 sec. exclusion in field,11.0,2,10,KAZ,3.0,DEMARCHI F,10 - 5,307,ARG,5:07
5,Exclusion with substitution,11.0,2,10,KAZ,3.0,DEMARCHI F,10 - 5,307,ARG,5:07
5,Turnover foul,11.0,2,10,KAZ,3.0,MANAFOV R,10 - 5,302,KAZ,5:02
5,Action shot - Missed,2.0,2,10,KAZ,3.0,GUBAREV S,10 - 5,253,KAZ,4:13
5,5m shot - Saved,2.0,2,10,KAZ,3.0,GUBAREV S,10 - 5,213,KAZ,3:33
5,20 sec. exclusion in centre,6.0,2,10,KAZ,3.0,BULGHERONI T,10 - 5,204,ARG,3:24
5,Time-Out,,2,10,KAZ,3.0,,10 - 5,207,KAZ,3:27
5,Extra player shot - Goal,2.0,2,11,KAZ,3.0,GUBAREV S,11 - 5,184,KAZ,3:04
5,Goalkeeper substitution,13.0,2,11,KAZ,3.0,TESTA F,11 - 5,184,ARG,3:04
5,Goalkeeper substitution,1.0,2,11,KAZ,3.0,MALNERO D,11 - 5,181,ARG,3:01
5,Turnover foul,5.0,2,11,KAZ,3.0,LOPEZ E,11 - 5,151,ARG,2:31
5,Steal,7.0,2,11,KAZ,3.0,SHAKENOV M,11 - 5,151,KAZ,2:31
5,Counter attack - Saved,2.0,2,11,KAZ,3.0,GUBAREV S,11 - 5,143,KAZ,2:23
5,Turnover foul,9.0,2,11,KAZ,3.0,CARABANTES I,11 - 5,124,ARG,2:04
5,Counter attack - Goal,2.0,2,12,KAZ,3.0,GUBAREV S,12 - 5,114,KAZ,1:54
5,Time-Out,,2,12,KAZ,3.0,,12 - 5,114,ARG,1:54
5,Action shot - Blocked,12.0,2,12,KAZ,3.0,YANEZ G,12 - 5,102,ARG,1:42
5,Action shot - Saved,10.0,2,12,KAZ,3.0,MEDVEDEV Y,12 - 5,86,KAZ,1:26
5,Action shot - Goal,12.0,2,13,KAZ,3.0,PEKOVICH B,13 - 5,86,KAZ,1:26
5,20 sec. exclusion in centre,10.0,2,13,KAZ,3.0,MEDVEDEV Y,13 - 5,64,KAZ,1:04
6,Extra player shot - Goal,12.0,2,13,KAZ,3.0,YANEZ G,13 - 6,60,ARG,1:00
6,Action shot - Saved,7.0,2,13,KAZ,3.0,SHAKENOV M,13 - 6,35,KAZ,0:35
6,20 sec. exclusion in centre,7.0,2,13,KAZ,3.0,MONTANE J,13 - 6,23,ARG,0:23
6,Extra player shot - Saved,3.0,2,13,KAZ,3.0,AXENOV A,13 - 6,3,KAZ,0:03
6,Starting goalkeeper,13.0,2,13,KAZ,4.0,SHLEMOV V,13 - 6,480,KAZ,8:00
6,Starting goalkeeper,1.0,2,13,KAZ,4.0,MALNERO D,13 - 6,480,ARG,8:00
6,Sprint won possession,6.0,2,13,KAZ,4.0,BULGHERONI T,13 - 6,480,ARG,8:00
6,5m shot - Missed,5.0,2,13,KAZ,4.0,USHAKOV V,13 - 6,428,KAZ,7:08
6,Turnover foul,5.0,2,13,KAZ,4.0,LOPEZ E,13 - 6,404,ARG,6:44
6,Action shot - Saved,5.0,2,13,KAZ,4.0,USHAKOV V,13 - 6,397,KAZ,6:37
6,20 sec. exclusion in centre,5.0,2,13,KAZ,4.0,LOPEZ E,13 - 6,384,ARG,6:24
6,Extra player shot - Saved,6.0,2,13,KAZ,4.0,SHMIDER A,13 - 6,376,KAZ,6:16
6,Turnover foul,8.0,2,13,KAZ,4.0,CORSI E,13 - 6,355,ARG,5:55
6,Action shot - Missed,5.0,2,13,KAZ,4.0,USHAKOV V,13 - 6,338,KAZ,5:38
6,Turnover foul,9.0,2,13,KAZ,4.0,CARABANTES I,13 - 6,312,ARG,5:12
6,20 sec. exclusion in field,2.0,2,13,KAZ,4.0,VEICH R,13 - 6,312,ARG,5:12
6,Exclusion with substitution,2.0,2,13,KAZ,4.0,VEICH R,13 - 6,312,ARG,5:12
6,Time-Out,,2,13,KAZ,4.0,,13 - 6,312,KAZ,5:12
6,Extra player shot - Goal,12.0,2,14,KAZ,4.0,PEKOVICH B,14 - 6,291,KAZ,4:51
6,20 sec. exclusion in centre,6.0,2,14,KAZ,4.0,SHMIDER A,14 - 6,262,KAZ,4:22
6,Extra player shot - Missed,9.0,2,14,KAZ,4.0,CARABANTES I,14 - 6,238,ARG,3:58
6,20 sec. exclusion in field,10.0,2,14,KAZ,4.0,DASZCZYK J,14 - 6,238,ARG,3:58
6,Action shot - Goal,6.0,2,15,KAZ,4.0,SHMIDER A,15 - 6,215,KAZ,3:35
6,20 sec. exclusion in field,2.0,2,15,KAZ,4.0,GUBAREV S,15 - 6,193,KAZ,3:13
6,Time-Out,,2,15,KAZ,4.0,,15 - 6,193,ARG,3:13
6,20 sec. exclusion in centre,12.0,2,15,KAZ,4.0,PEKOVICH B,15 - 6,184,KAZ,3:04
6,Extra player shot - Post,12.0,2,15,KAZ,4.0,YANEZ G,15 - 6,169,ARG,2:49
