Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,11.0,3,10,4,KAZ,4.0,AICARDI M,10 - 4,280,ITA,4:40
5m shot - Goal,4.0,3,11,4,KAZ,4.0,FIGLIOLI P,11 - 4,253,ITA,4:13
20 sec. exclusion in field,7.0,3,11,4,KAZ,4.0,FIGARI N,11 - 4,243,ITA,4:03
Exclusion with substitution,7.0,3,11,4,KAZ,4.0,FIGARI N,11 - 4,243,ITA,4:03
Extra player shot - Goal,8.0,3,11,5,KAZ,4.0,KOLIADENKO A,11 - 5,227,KAZ,3:47
Goalkeeper substitution,13.0,3,11,5,KAZ,4.0,DEL LUNGO M,11 - 5,227,ITA,3:47
Turnover foul,12.0,3,11,5,KAZ,4.0,NAPOLITANO C,11 - 5,201,ITA,3:21
5m shot - Saved,9.0,3,11,5,KAZ,4.0,UKUMANOV R,11 - 5,179,KAZ,2:59
5m shot - Saved,8.0,3,11,5,KAZ,4.0,GALLO V,11 - 5,150,ITA,2:30
5m shot - Saved,7.0,3,11,5,KAZ,4.0,USHAKOV V,11 - 5,124,KAZ,2:04
20 sec. exclusion in centre,10.0,3,11,5,KAZ,4.0,FIORENTINI D,11 - 5,121,ITA,2:01
Action shot - Goal,8.0,3,11,6,KAZ,4.0,KOLIADENKO A,11 - 6,98,KAZ,1:38
20 sec. exclusion in centre,4.0,3,11,6,KAZ,4.0,PILIPENKO R,11 - 6,74,KAZ,1:14
Exclusion with substitution,4.0,3,11,6,KAZ,4.0,PILIPENKO R,11 - 6,74,KAZ,1:14
Turnover foul,12.0,3,11,6,KAZ,4.0,NAPOLITANO C,11 - 6,11,ITA,0:11
Steal,9.0,3,11,6,KAZ,4.0,UKUMANOV R,11 - 6,11,KAZ,0:11
5m shot - Saved,6.0,3,11,6,KAZ,4.0,SHMIDER A,11 - 6,1,KAZ,0:01
Starting goalkeeper,1.0,4,0,0,CHN,1.0,GE W,0 - 0,480,CHN,8:00
Starting goalkeeper,1.0,4,0,0,CHN,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,10.0,4,0,0,CHN,1.0,FIORENTINI D,0 - 0,480,ITA,8:00
Turnover foul,11.0,4,0,0,CHN,1.0,AICARDI M,0 - 0,460,ITA,7:40
Turnover foul,2.0,4,0,0,CHN,1.0,TAN F,0 - 0,437,CHN,7:17
Steal,3.0,4,0,0,CHN,1.0,GITTO N,0 - 0,437,ITA,7:17
Action shot - Goal,8.0,4,1,0,CHN,1.0,GALLO V,1 - 0,413,ITA,6:53
Turnover foul,12.0,4,1,0,CHN,1.0,LIANG N,1 - 0,395,CHN,6:35
Turnover foul,8.0,4,1,0,CHN,1.0,GALLO V,1 - 0,378,ITA,6:18
Steal,3.0,4,1,0,CHN,1.0,LIANG Z,1 - 0,378,CHN,6:18
Action shot - Blocked,2.0,4,1,0,CHN,1.0,TAN F,1 - 0,348,CHN,5:48
Turnover foul,11.0,4,1,0,CHN,1.0,ZHANG C,1 - 0,319,CHN,5:19
Action shot - Goal,5.0,4,2,0,CHN,1.0,GIORGETTI A,2 - 0,295,ITA,4:55
Turnover foul,11.0,4,2,0,CHN,1.0,ZHANG C,2 - 0,278,CHN,4:38
20 sec. exclusion in field,2.0,4,2,0,CHN,1.0,TAN F,2 - 0,273,CHN,4:33
Centre shot - Post,12.0,4,2,0,CHN,1.0,NAPOLITANO C,2 - 0,244,ITA,4:04
20 sec. exclusion in field,12.0,4,2,0,CHN,1.0,NAPOLITANO C,2 - 0,223,ITA,3:43
20 sec. exclusion in field,4.0,4,2,0,CHN,1.0,FIGLIOLI P,2 - 0,196,ITA,3:16
Extra player shot - Goal,11.0,4,2,1,CHN,1.0,ZHANG C,2 - 1,188,CHN,3:08
Action shot - Missed,4.0,4,2,1,CHN,1.0,FIGLIOLI P,2 - 1,164,ITA,2:44
Turnover foul,11.0,4,2,1,CHN,1.0,ZHANG C,2 - 1,144,CHN,2:24
Steal,8.0,4,2,1,CHN,1.0,GALLO V,2 - 1,144,ITA,2:24
Turnover foul,9.0,4,2,1,CHN,1.0,PRESCIUTTI C,2 - 1,123,ITA,2:03
Turnover foul,2.0,4,2,1,CHN,1.0,TAN F,2 - 1,102,CHN,1:42
