Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,11.0,6,1,3,MNE,1.0,KLIKOVAK F,3 - 1,59,MNE,0:59,Post,0
Action shot,6.0,6,1,3,MNE,2.0,FELUGO M,3 - 1,454,ITA,7:34,Post,0
Extra player shot,9.0,6,1,3,MNE,2.0,IVOVIC A,3 - 1,413,MNE,6:53,Blocked,0
Penalty shot,7.0,6,1,4,MNE,2.0,JANOVIC M,4 - 1,407,MNE,6:47,Goal,1
Extra player shot,8.0,6,1,4,MNE,2.0,GALLO V,4 - 1,371,ITA,6:11,Post,0
Action shot,8.0,6,1,4,MNE,2.0,GALLO V,4 - 1,365,ITA,6:05,Post,0
5m shot,3.0,6,1,4,MNE,2.0,PASKOVIC V,4 - 1,287,MNE,4:47,Post,0
Extra player shot,2.0,6,1,4,MNE,2.0,PEREZ A,4 - 1,251,ITA,4:11,Post,0
5m shot,8.0,6,1,4,MNE,2.0,JANOVIC N,4 - 1,225,MNE,3:45,Saved,0
5m shot,9.0,6,1,4,MNE,2.0,PRESCIUTTI C,4 - 1,166,ITA,2:46,Post,0
5m shot,4.0,6,1,4,MNE,2.0,PETROVIC A,4 - 1,140,MNE,2:20,Missed,0
Action shot,6.0,6,1,4,MNE,2.0,FELUGO M,4 - 1,99,ITA,1:39,Blocked,0
Action shot,5.0,6,1,5,MNE,2.0,BRGULJAN D,5 - 1,71,MNE,1:11,Goal,1
5m shot,4.0,6,1,5,MNE,2.0,FIGLIOLI P,5 - 1,48,ITA,0:48,Saved,0
5m shot,4.0,6,2,5,MNE,3.0,FIGLIOLI P,5 - 2,431,ITA,7:11,Goal,1
Extra player shot,8.0,6,2,6,MNE,3.0,JANOVIC N,6 - 2,394,MNE,6:34,Goal,1
5m shot,4.0,6,2,6,MNE,3.0,FIGLIOLI P,6 - 2,366,ITA,6:06,Saved,0
Extra player shot,12.0,6,2,6,MNE,3.0,NAPOLITANO C,6 - 2,333,ITA,5:33,Post,0
Centre shot,7.0,6,2,6,MNE,3.0,JANOVIC M,6 - 2,308,MNE,5:08,Saved,0
5m shot,9.0,6,2,6,MNE,3.0,PRESCIUTTI C,6 - 2,283,ITA,4:43,Missed,0
Centre shot,4.0,6,2,7,MNE,3.0,PETROVIC A,7 - 2,271,MNE,4:31,Goal,1
Extra player shot,7.0,6,2,7,MNE,3.0,FIGARI N,7 - 2,232,ITA,3:52,Blocked,0
Centre shot,11.0,6,3,7,MNE,3.0,AICARDI M,7 - 3,231,ITA,3:51,Goal,1
Action shot,8.0,6,3,8,MNE,3.0,JANOVIC N,8 - 3,180,MNE,3:00,Goal,1
5m shot,7.0,6,3,8,MNE,3.0,FIGARI N,8 - 3,155,ITA,2:35,Blocked,0
Action shot,9.0,6,3,8,MNE,3.0,PRESCIUTTI C,8 - 3,69,ITA,1:09,Saved,0
5m shot,8.0,6,4,8,MNE,3.0,GALLO V,8 - 4,23,ITA,0:23,Goal,1
Extra player shot,5.0,6,4,9,MNE,3.0,BRGULJAN D,9 - 4,5,MNE,0:05,Goal,1
5m shot,4.0,6,4,9,MNE,3.0,FIGLIOLI P,9 - 4,1,ITA,0:01,Missed,0
5m shot,7.0,6,4,9,MNE,4.0,JANOVIC M,9 - 4,429,MNE,7:09,Blocked,0
Centre shot,5.0,6,4,9,MNE,4.0,BRGULJAN D,9 - 4,360,MNE,6:00,Missed,0
5m shot,2.0,6,4,9,MNE,4.0,PEREZ A,9 - 4,334,ITA,5:34,Missed,0
5m shot,9.0,6,4,10,MNE,4.0,IVOVIC A,10 - 4,310,MNE,5:10,Goal,1
5m shot,3.0,6,4,10,MNE,4.0,GITTO N,10 - 4,283,ITA,4:43,Blocked,0
Action shot,4.0,6,5,10,MNE,4.0,FIGLIOLI P,10 - 5,237,ITA,3:57,Goal,1
Action shot,7.0,6,5,10,MNE,4.0,JANOVIC M,10 - 5,214,MNE,3:34,Saved,0
Extra player shot,4.0,6,6,10,MNE,4.0,FIGLIOLI P,10 - 6,160,ITA,2:40,Goal,1
5m shot,9.0,6,7,10,MNE,4.0,PRESCIUTTI C,10 - 7,111,ITA,1:51,Goal,1
5m shot,4.0,6,7,10,MNE,4.0,FIGLIOLI P,10 - 7,70,ITA,1:10,Missed,0
Extra player shot,11.0,6,8,10,MNE,4.0,AICARDI M,10 - 8,7,ITA,0:07,Goal,1
Action shot,9.0,7,0,1,CRO,1.0,SUKNO S,1 - 0,451,CRO,7:31,Goal,1
Extra player shot,5.0,7,1,1,CRO,1.0,GIORGETTI A,1 - 1,408,ITA,6:48,Goal,1
Action shot,6.0,7,1,1,CRO,1.0,FELUGO M,1 - 1,348,ITA,5:48,Saved,0
Action shot,12.0,7,1,1,CRO,1.0,OBRADOVIC P,1 - 1,276,CRO,4:36,Saved,0
Extra player shot,9.0,7,1,2,CRO,1.0,SUKNO S,2 - 1,209,CRO,3:29,Goal,1
Extra player shot,9.0,7,1,2,CRO,1.0,PRESCIUTTI C,2 - 1,185,ITA,3:05,Saved,0
Extra player shot,2.0,7,2,2,CRO,1.0,PEREZ A,2 - 2,171,ITA,2:51,Goal,1
Action shot,8.0,7,2,2,CRO,1.0,GALLO V,2 - 2,121,ITA,2:01,Post,0
Action shot,6.0,7,2,3,CRO,1.0,BUKIC L,3 - 2,96,CRO,1:36,Goal,1
Extra player shot,8.0,7,2,3,CRO,1.0,GALLO V,3 - 2,52,ITA,0:52,Saved,0
Centre shot,4.0,7,2,4,CRO,1.0,PASKVALIN F,4 - 2,11,CRO,0:11,Goal,1
5m shot,5.0,7,2,5,CRO,2.0,JOKOVIC M,5 - 2,453,CRO,7:33,Goal,1
5m shot,4.0,7,2,5,CRO,2.0,FIGLIOLI P,5 - 2,425,ITA,7:05,Blocked,0
Action shot,6.0,7,2,5,CRO,2.0,FELUGO M,5 - 2,398,ITA,6:38,Saved,0
Centre shot,10.0,7,2,6,CRO,2.0,DOBUD N,6 - 2,350,CRO,5:50,Goal,1
Action shot,2.0,7,2,6,CRO,2.0,PEREZ A,6 - 2,322,ITA,5:22,Post,0
Centre shot,12.0,7,2,6,CRO,2.0,NAPOLITANO C,6 - 2,257,ITA,4:17,Saved,0
Extra player shot,9.0,7,2,7,CRO,2.0,SUKNO S,7 - 2,222,CRO,3:42,Goal,1
Extra player shot,8.0,7,2,7,CRO,2.0,GALLO V,7 - 2,189,ITA,3:09,Blocked,0
Action shot,11.0,7,2,7,CRO,2.0,AICARDI M,7 - 2,185,ITA,3:05,Missed,0
Centre shot,11.0,7,2,7,CRO,2.0,AICARDI M,7 - 2,135,ITA,2:15,Missed,0
Action shot,11.0,7,2,7,CRO,2.0,SETKA A,7 - 2,107,CRO,1:47,Missed,0
Extra player shot,5.0,7,3,7,CRO,2.0,GIORGETTI A,7 - 3,75,ITA,1:15,Goal,1
Action shot,5.0,7,3,8,CRO,2.0,JOKOVIC M,8 - 3,15,CRO,0:15,Goal,1
Action shot,5.0,7,3,8,CRO,2.0,GIORGETTI A,8 - 3,1,ITA,0:01,Blocked,0
Extra player shot,6.0,7,7,10,CRO,4.0,FELUGO M,10 - 7,118,ITA,1:58,Goal,1
5m shot,12.0,7,7,10,CRO,4.0,OBRADOVIC P,10 - 7,90,CRO,1:30,Saved,0
Counter attack,6.0,7,7,10,CRO,4.0,FELUGO M,10 - 7,69,ITA,1:09,Saved,0
Extra player shot,4.0,7,7,10,CRO,3.0,FIGLIOLI P,10 - 7,444,ITA,7:24,Blocked,0
Action shot,9.0,7,7,10,CRO,3.0,PRESCIUTTI C,10 - 7,387,ITA,6:27,Saved,0
Extra player shot,5.0,7,4,8,CRO,3.0,GIORGETTI A,8 - 4,374,ITA,6:14,Goal,1
Action shot,5.0,7,4,8,CRO,3.0,JOKOVIC M,8 - 4,334,CRO,5:34,Post,0
Action shot,7.0,7,4,8,CRO,3.0,MUSLIM P,8 - 4,286,CRO,4:46,Saved,0
Action shot,3.0,7,4,8,CRO,3.0,GITTO N,8 - 4,189,ITA,3:09,Post,0
Action shot,12.0,7,4,8,CRO,3.0,OBRADOVIC P,8 - 4,162,CRO,2:42,Missed,0
5m shot,12.0,7,4,8,CRO,3.0,OBRADOVIC P,8 - 4,119,CRO,1:59,Saved,0
Action shot,4.0,7,4,8,CRO,3.0,FIGLIOLI P,8 - 4,103,ITA,1:43,Saved,0
Action shot,5.0,7,4,9,CRO,3.0,JOKOVIC M,9 - 4,72,CRO,1:12,Goal,1
Action shot,9.0,7,5,9,CRO,3.0,PRESCIUTTI C,9 - 5,21,ITA,0:21,Goal,1
Extra player shot,10.0,7,5,9,CRO,4.0,DOBUD N,9 - 5,419,CRO,6:59,Post,0
Extra player shot,5.0,7,5,9,CRO,4.0,JOKOVIC M,9 - 5,408,CRO,6:48,Saved,0
5m shot,7.0,7,5,9,CRO,4.0,MUSLIM P,9 - 5,378,CRO,6:18,Saved,0
Action shot,2.0,7,5,9,CRO,4.0,LONCAR L,9 - 5,294,CRO,4:54,Saved,0
Action shot,8.0,7,5,9,CRO,4.0,GALLO V,9 - 5,274,ITA,4:34,Blocked,0
Penalty shot,6.0,7,6,9,CRO,4.0,FELUGO M,9 - 6,227,ITA,3:47,Goal,1
5m shot,12.0,7,6,10,CRO,4.0,OBRADOVIC P,10 - 6,202,CRO,3:22,Goal,1
Action shot,10.0,7,6,10,CRO,4.0,DOBUD N,10 - 6,12,CRO,0:12,Missed,0
Extra player shot,12.0,7,8,10,CRO,4.0,NAPOLITANO C,10 - 8,2,ITA,0:02,Goal,1
