Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,5,9.0,6,6,HUN,4.0,SUKNO S,6 - 5,82,CRO,1:22,Saved,0
Centre shot,5,11.0,6,6,HUN,3.0,BEDO K,6 - 5,454,HUN,7:34,Blocked,0
Penalty shot,5,5.0,6,6,HUN,3.0,JOKOVIC M,6 - 5,429,CRO,7:09,Saved,0
Action shot,5,10.0,6,7,HUN,3.0,VARGA D,7 - 5,357,HUN,5:57,Goal,1
Action shot,6,10.0,6,7,HUN,3.0,DOBUD N,7 - 6,316,CRO,5:16,Goal,1
Action shot,6,11.0,6,7,HUN,3.0,SETKA A,7 - 6,264,CRO,4:24,Missed,0
Extra player shot,6,5.0,6,8,HUN,3.0,VAMOS M,8 - 6,219,HUN,3:39,Goal,1
Action shot,6,5.0,6,8,HUN,3.0,JOKOVIC M,8 - 6,164,CRO,2:44,Post,0
5m shot,6,9.0,6,8,HUN,3.0,VARGA D,8 - 6,140,HUN,2:20,Saved,0
Action shot,6,9.0,6,8,HUN,3.0,SUKNO S,8 - 6,104,CRO,1:44,Saved,0
5m shot,6,9.0,6,8,HUN,3.0,VARGA D,8 - 6,74,HUN,1:14,Saved,0
Extra player shot,7,9.0,6,8,HUN,3.0,SUKNO S,8 - 7,11,CRO,0:11,Goal,1
Extra player shot,7,8.0,6,9,HUN,3.0,SZIVOS M,9 - 7,2,HUN,0:02,Goal,1
5m shot,7,5.0,6,9,HUN,3.0,JOKOVIC M,9 - 7,1,CRO,0:01,Blocked,0
Action shot,7,8.0,6,9,HUN,4.0,BUSLJE A,9 - 7,446,CRO,7:26,Saved,0
Centre shot,7,11.0,6,10,HUN,4.0,BEDO K,10 - 7,403,HUN,6:43,Goal,1
Action shot,8,9.0,6,10,HUN,4.0,SUKNO S,10 - 8,381,CRO,6:21,Goal,1
Penalty shot,8,7.0,6,10,HUN,4.0,MUSLIM P,10 - 8,350,CRO,5:50,Saved,0
Extra player shot,8,12.0,6,10,HUN,4.0,OBRADOVIC P,10 - 8,333,CRO,5:33,Saved,0
