Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,9,8.0,6,10,HUN,4.0,BUSLJE A,10 - 9,185,CRO,3:05
Action shot - Goal,10,5.0,6,10,HUN,4.0,JOKOVIC M,10 - 10,158,CRO,2:38
Centre shot - Goal,10,10.0,6,11,HUN,4.0,VARGA D,11 - 10,129,HUN,2:09
Action shot - Missed,10,5.0,6,11,HUN,4.0,JOKOVIC M,11 - 10,45,CRO,0:45
20 sec. exclusion in field,10,12.0,6,11,HUN,4.0,OBRADOVIC P,11 - 10,23,CRO,0:23
Exclusion with substitution,10,12.0,6,11,HUN,4.0,OBRADOVIC P,11 - 10,23,CRO,0:23
Time-Out,10,,6,11,HUN,4.0,,11 - 10,21,HUN,0:21
Starting goalkeeper,0,1.0,7,0,ITA,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,1.0,7,0,ITA,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,0,4.0,7,0,ITA,1.0,FIGLIOLI P,0 - 0,480,ITA,8:00
Turnover foul,0,11.0,7,0,ITA,1.0,AICARDI M,0 - 0,465,ITA,7:45
Action shot - Goal,1,9.0,7,0,ITA,1.0,SUKNO S,1 - 0,451,CRO,7:31
20 sec. exclusion in centre,1,3.0,7,0,ITA,1.0,MILAKOVIC I,1 - 0,426,CRO,7:06
Extra player shot - Goal,1,5.0,7,1,ITA,1.0,GIORGETTI A,1 - 1,408,ITA,6:48
Action shot - Saved,1,6.0,7,1,ITA,1.0,FELUGO M,1 - 1,348,ITA,5:48
Turnover foul,1,10.0,7,1,ITA,1.0,DOBUD N,1 - 1,322,CRO,5:22
Steal,1,1.0,7,1,ITA,1.0,TEMPESTI S,1 - 1,322,ITA,5:22
20 sec. exclusion in field,1,3.0,7,1,ITA,1.0,GITTO N,1 - 1,302,ITA,5:02
Action shot - Saved,1,12.0,7,1,ITA,1.0,OBRADOVIC P,1 - 1,276,CRO,4:36
Turnover foul,1,11.0,7,1,ITA,1.0,AICARDI M,1 - 1,248,ITA,4:08
Steal,1,9.0,7,1,ITA,1.0,SUKNO S,1 - 1,248,CRO,4:08
20 sec. exclusion in centre,1,7.0,7,1,ITA,1.0,FIGARI N,1 - 1,221,ITA,3:41
Extra player shot - Goal,2,9.0,7,1,ITA,1.0,SUKNO S,2 - 1,209,CRO,3:29
20 sec. exclusion in centre,2,2.0,7,1,ITA,1.0,LONCAR L,2 - 1,190,CRO,3:10
Extra player shot - Saved,2,9.0,7,1,ITA,1.0,PRESCIUTTI C,2 - 1,185,ITA,3:05
Extra player shot - Goal,2,2.0,7,2,ITA,1.0,PEREZ A,2 - 2,171,ITA,2:51
Turnover foul,2,4.0,7,2,ITA,1.0,PASKVALIN F,2 - 2,144,CRO,2:24
Steal,2,12.0,7,2,ITA,1.0,NAPOLITANO C,2 - 2,144,ITA,2:24
Action shot - Post,2,8.0,7,2,ITA,1.0,GALLO V,2 - 2,121,ITA,2:01
20 sec. exclusion in field,2,12.0,7,2,ITA,1.0,NAPOLITANO C,2 - 2,120,ITA,2:00
Action shot - Goal,3,6.0,7,2,ITA,1.0,BUKIC L,3 - 2,96,CRO,1:36
