Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,4,11.0,6,13,HUN,3.0,GARDA K,13 - 4,401,HUN,6:41,Goal,1
Counter attack,4,8.0,6,14,HUN,3.0,KESZTHELYI R,14 - 4,316,HUN,5:16,Goal,1
5m shot,4,7.0,6,14,HUN,3.0,OLIVEIRA A,14 - 4,258,BRA,4:18,Post,0
5m shot,4,4.0,6,14,HUN,3.0,DUARTE M,14 - 4,204,BRA,3:24,Saved,0
Action shot,4,11.0,6,14,HUN,3.0,GARDA K,14 - 4,183,HUN,3:03,Saved,0
Action shot,4,3.0,6,14,HUN,3.0,ANTAL D,14 - 4,159,HUN,2:39,Saved,0
Centre shot,4,10.0,6,14,HUN,3.0,BUJKA B,14 - 4,149,HUN,2:29,Saved,0
Counter attack,4,8.0,6,15,HUN,3.0,KESZTHELYI R,15 - 4,119,HUN,1:59,Goal,1
Counter attack,4,6.0,6,15,HUN,3.0,CHIAPPINI I,15 - 4,66,BRA,1:06,Post,0
Action shot,4,5.0,6,15,HUN,3.0,SZUCS G,15 - 4,44,HUN,0:44,Post,0
Counter attack,4,2.0,6,16,HUN,3.0,CZIGANY D,16 - 4,16,HUN,0:16,Goal,1
Extra player shot,4,8.0,6,17,HUN,3.0,KESZTHELYI R,17 - 4,1,HUN,0:01,Goal,1
Counter attack,4,4.0,6,18,HUN,4.0,KISTELEKI D,18 - 4,421,HUN,7:01,Goal,1
5m shot,4,6.0,6,18,HUN,4.0,CHIAPPINI I,18 - 4,405,BRA,6:45,Saved,0
Centre shot,4,10.0,6,19,HUN,4.0,BUJKA B,19 - 4,380,HUN,6:20,Goal,1
5m shot,6,9.0,6,20,HUN,4.0,DIAS M,20 - 6,138,BRA,2:18,Goal,1
Action shot,6,3.0,6,21,HUN,4.0,ANTAL D,21 - 6,125,HUN,2:05,Goal,1
Action shot,7,12.0,6,21,HUN,4.0,MANTELLATO G,21 - 7,104,BRA,1:44,Goal,1
Action shot,7,6.0,6,22,HUN,4.0,TAKACS O,22 - 7,59,HUN,0:59,Goal,1
Counter attack,7,4.0,6,22,HUN,4.0,KISTELEKI D,22 - 7,18,HUN,0:18,Saved,0
