Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,4.0,4,2,7,GRE,3.0,GIBSON-BYRNE C,4 - 7,92,GBR,1:32
20 sec. exclusion in field,6.0,4,2,7,GRE,3.0,AVRAMIDOU A,4 - 7,82,GRE,1:22
Extra player shot - Goal,10.0,5,2,7,GRE,3.0,WINSTANLEY-SMITH A,5 - 7,81,GBR,1:21
20 sec. exclusion in field,11.0,5,2,7,GRE,3.0,CLAYTON F,5 - 7,58,GBR,0:58
Extra player shot - Goal,7.0,5,2,8,GRE,3.0,ASIMAKI A,5 - 8,49,GRE,0:49
Turnover foul,7.0,5,2,8,GRE,3.0,GIBSON L,5 - 8,21,GBR,0:21
Steal,2.0,5,2,8,GRE,3.0,TSOUKALA C,5 - 8,21,GRE,0:21
Turnover foul,6.0,5,2,8,GRE,3.0,AVRAMIDOU A,5 - 8,2,GRE,0:02
5m shot - Saved,4.0,5,2,8,GRE,3.0,GIBSON-BYRNE C,5 - 8,1,GBR,0:01
Starting goalkeeper,1.0,5,2,8,GRE,4.0,MORRIS R,5 - 8,480,GBR,8:00
Starting goalkeeper,1.0,5,2,8,GRE,4.0,KOUVDOU E,5 - 8,480,GRE,8:00
Sprint won possession,2.0,5,2,8,GRE,4.0,WILCOX C,5 - 8,480,GBR,8:00
Turnover foul,7.0,5,2,8,GRE,4.0,GIBSON L,5 - 8,451,GBR,7:31
Steal,8.0,5,2,8,GRE,4.0,ROUMPESI A,5 - 8,451,GRE,7:31
Action shot - Goal,2.0,5,2,9,GRE,4.0,TSOUKALA C,5 - 9,425,GRE,7:05
20 sec. exclusion in field,8.0,5,2,9,GRE,4.0,ROUMPESI A,5 - 9,412,GRE,6:52
Action shot - Goal,2.0,6,2,9,GRE,4.0,WILCOX C,6 - 9,388,GBR,6:28
20 sec. exclusion in centre,3.0,6,2,9,GRE,4.0,McCANN F,6 - 9,368,GBR,6:08
Extra player shot - Goal,7.0,6,2,10,GRE,4.0,ASIMAKI A,6 - 10,359,GRE,5:59
Turnover foul,7.0,6,2,10,GRE,4.0,GIBSON L,6 - 10,328,GBR,5:28
Steal,8.0,6,2,10,GRE,4.0,ROUMPESI A,6 - 10,328,GRE,5:28
Action shot - Post,8.0,6,2,10,GRE,4.0,ROUMPESI A,6 - 10,303,GRE,5:03
5m shot - Goal,11.0,7,2,10,GRE,4.0,CLAYTON F,7 - 10,281,GBR,4:41
Action shot - Saved,6.0,7,2,10,GRE,4.0,AVRAMIDOU A,7 - 10,256,GRE,4:16
Centre shot - Goal,10.0,7,2,11,GRE,4.0,MANOLIOUDAKI T,7 - 11,255,GRE,4:15
Time-Out,,7,2,11,GRE,4.0,,7 - 11,255,GBR,4:15
20 sec. exclusion in centre,4.0,7,2,11,GRE,4.0,PSOUNI I,7 - 11,245,GRE,4:05
Extra player shot - Blocked,4.0,7,2,11,GRE,4.0,GIBSON-BYRNE C,7 - 11,240,GBR,4:00
20 sec. exclusion in centre,8.0,7,2,11,GRE,4.0,MUSGROVE H,7 - 11,220,GBR,3:40
Time-Out,,7,2,11,GRE,4.0,,7 - 11,220,GRE,3:40
Extra player shot - Goal,2.0,7,2,12,GRE,4.0,TSOUKALA C,7 - 12,202,GRE,3:22
5m shot - Saved,11.0,7,2,12,GRE,4.0,CLAYTON F,7 - 12,175,GBR,2:55
Penalty foul,7.0,7,2,12,GRE,4.0,GIBSON L,7 - 12,152,GBR,2:32
Penalty shot - Goal,6.0,7,2,13,GRE,4.0,AVRAMIDOU A,7 - 13,152,GRE,2:32
Action shot - Post,4.0,7,2,13,GRE,4.0,GIBSON-BYRNE C,7 - 13,131,GBR,2:11
