Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,4.0,2,4,6,HUN,2.0,KISTELEKI D,6 - 2,337,HUN,5:37,Goal,1
Extra player shot,8.0,2,4,6,HUN,4.0,MUSGROVE H,6 - 2,333,GBR,5:33,Saved,0
Centre shot,10.0,5,4,12,HUN,4.0,BUJKA B,12 - 5,292,HUN,4:52,Goal,1
Counter attack,3.0,5,4,12,HUN,4.0,ANTAL D,12 - 5,235,HUN,3:55,Missed,0
Penalty shot,7.0,2,4,7,HUN,2.0,MISKOLCZI I,7 - 2,295,HUN,4:55,Goal,1
Action shot,8.0,2,4,7,HUN,2.0,MUSGROVE H,7 - 2,267,GBR,4:27,Post,0
Action shot,8.0,2,4,7,HUN,2.0,KESZTHELYI R,7 - 2,244,HUN,4:04,Saved,0
Counter attack,12.0,2,4,7,HUN,2.0,MENCZINGER K,7 - 2,189,HUN,3:09,Missed,0
Action shot,4.0,2,4,7,HUN,2.0,GIBSON-BYRNE C,7 - 2,103,GBR,1:43,Saved,0
Action shot,5.0,2,4,8,HUN,2.0,SZUCS G,8 - 2,83,HUN,1:23,Goal,1
Centre shot,10.0,3,4,8,HUN,2.0,WINSTANLEY-SMITH A,8 - 3,65,GBR,1:05,Goal,1
Action shot,2.0,3,4,8,HUN,2.0,ILLES A,8 - 3,24,HUN,0:24,Saved,0
Counter attack,3.0,4,4,8,HUN,2.0,McCANN F,8 - 4,13,GBR,0:13,Goal,1
Centre shot,7.0,4,4,8,HUN,3.0,GIBSON L,8 - 4,451,GBR,7:31,Saved,0
Action shot,3.0,4,4,8,HUN,3.0,ANTAL D,8 - 4,414,HUN,6:54,Post,0
Action shot,4.0,4,4,8,HUN,3.0,GIBSON-BYRNE C,8 - 4,388,GBR,6:28,Missed,0
Counter attack,10.0,4,4,9,HUN,3.0,BUJKA B,9 - 4,381,HUN,6:21,Goal,1
Penalty shot,6.0,4,4,9,HUN,3.0,NIXON C,9 - 4,357,GBR,5:57,Missed,0
Action shot,6.0,4,4,9,HUN,3.0,NIXON C,9 - 4,332,GBR,5:32,Post,0
Centre shot,9.0,4,4,10,HUN,3.0,TOTH I,10 - 4,306,HUN,5:06,Goal,1
Centre shot,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,273,HUN,4:33,Saved,0
Extra player shot,2.0,4,4,10,HUN,3.0,ILLES A,10 - 4,251,HUN,4:11,Missed,0
5m shot,4.0,4,4,10,HUN,3.0,GIBSON-BYRNE C,10 - 4,235,GBR,3:55,Post,0
Action shot,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,220,HUN,3:40,Saved,0
Extra player shot,2.0,4,4,10,HUN,3.0,WILCOX C,10 - 4,179,GBR,2:59,Blocked,0
Extra player shot,8.0,4,4,10,HUN,3.0,MUSGROVE H,10 - 4,147,GBR,2:27,Missed,0
Extra player shot,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,94,HUN,1:34,Post,0
Counter attack,11.0,4,4,10,HUN,3.0,CLAYTON F,10 - 4,77,GBR,1:17,Saved,0
Extra player shot,10.0,4,4,11,HUN,4.0,BUJKA B,11 - 4,432,HUN,7:12,Goal,1
Action shot,6.0,5,4,11,HUN,4.0,NIXON C,11 - 5,388,GBR,6:28,Goal,1
Centre shot,4.0,5,4,13,HUN,4.0,KISTELEKI D,13 - 5,180,HUN,3:00,Goal,1
Extra player shot,3.0,5,4,14,HUN,4.0,ANTAL D,14 - 5,82,HUN,1:22,Goal,1
5m shot,4.0,5,4,14,HUN,4.0,GIBSON-BYRNE C,14 - 5,64,GBR,1:04,Post,0
Extra player shot,4.0,5,4,14,HUN,4.0,KISTELEKI D,14 - 5,1,HUN,0:01,Post,0
