Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,2.0,1,5,1,NZL,1.0,MILLOT E,1 - 1,104,FRA,1:44,Blocked,0
Action shot,10.0,1,5,1,NZL,1.0,DANCE L,1 - 1,82,NZL,1:22,Missed,0
5m shot,5.0,1,5,1,NZL,1.0,LEWIS S,1 - 1,66,NZL,1:06,Saved,0
5m shot,12.0,1,5,1,NZL,1.0,MYLES J,1 - 1,53,NZL,0:53,Post,0
5m shot,2.0,2,5,1,NZL,1.0,MILLOT E,1 - 2,27,FRA,0:27,Goal,1
5m shot,5.0,2,5,1,NZL,1.0,GUILLET L,1 - 2,0,FRA,0:00,Saved,0
Extra player shot,4.0,2,5,2,NZL,2.0,LEWIS D,2 - 2,449,NZL,7:29,Goal,1
Centre shot,8.0,2,5,2,NZL,2.0,LOPES DA SILVA C,2 - 2,394,NZL,6:34,Post,0
5m shot,7.0,2,5,2,NZL,2.0,BARBIEUX M,2 - 2,320,FRA,5:20,Missed,0
5m shot,9.0,2,5,2,NZL,2.0,STONEMAN E,2 - 2,291,NZL,4:51,Post,0
Action shot,6.0,3,5,2,NZL,2.0,MAHIEU G,2 - 3,267,FRA,4:27,Goal,1
5m shot,6.0,3,5,2,NZL,2.0,LANDRY S,2 - 3,243,NZL,4:03,Post,0
Action shot,10.0,3,5,3,NZL,2.0,DANCE L,3 - 3,237,NZL,3:57,Goal,1
Action shot,3.0,3,5,3,NZL,2.0,BACHELIER L,3 - 3,217,FRA,3:37,Missed,0
Action shot,2.0,3,5,3,NZL,2.0,MILLOT E,3 - 3,172,FRA,2:52,Post,0
5m shot,2.0,3,5,3,NZL,2.0,MILLOT E,3 - 3,119,FRA,1:59,Saved,0
5m shot,6.0,3,5,3,NZL,2.0,LANDRY S,3 - 3,97,NZL,1:37,Missed,0
Action shot,12.0,3,5,3,NZL,2.0,JASKOVA M,3 - 3,68,FRA,1:08,Post,0
Action shot,3.0,3,5,4,NZL,2.0,PATTISON S,4 - 3,14,NZL,0:14,Goal,1
5m shot,5.0,4,5,4,NZL,2.0,GUILLET L,4 - 4,1,FRA,0:01,Goal,1
Action shot,4.0,4,5,4,NZL,3.0,SACRE A,4 - 4,452,FRA,7:32,Saved,0
5m shot,8.0,4,5,4,NZL,3.0,LOPES DA SILVA C,4 - 4,384,NZL,6:24,Blocked,0
5m shot,2.0,5,5,4,NZL,3.0,MILLOT E,4 - 5,361,FRA,6:01,Goal,1
Action shot,5.0,5,5,4,NZL,3.0,GUILLET L,4 - 5,327,FRA,5:27,Saved,0
5m shot,2.0,5,5,4,NZL,3.0,MILLOT E,4 - 5,246,FRA,4:06,Missed,0
Extra player shot,3.0,5,5,4,NZL,3.0,BACHELIER L,4 - 5,185,FRA,3:05,Saved,0
5m shot,6.0,5,5,5,NZL,3.0,LANDRY S,5 - 5,173,NZL,2:53,Goal,1
5m shot,2.0,5,5,5,NZL,3.0,MILLOT E,5 - 5,126,FRA,2:06,Post,0
5m shot,6.0,5,5,5,NZL,3.0,LANDRY S,5 - 5,99,NZL,1:39,Blocked,0
Action shot,8.0,5,5,5,NZL,3.0,LOPES DA SILVA C,5 - 5,54,NZL,0:54,Saved,0
Extra player shot,8.0,6,5,5,NZL,3.0,TARDY M,5 - 6,19,FRA,0:19,Goal,1
5m shot,4.0,6,5,5,NZL,3.0,SACRE A,5 - 6,1,FRA,0:01,Missed,0
Extra player shot,8.0,6,5,6,NZL,4.0,LOPES DA SILVA C,6 - 6,453,NZL,7:33,Goal,1
5m shot,6.0,6,5,6,NZL,4.0,LANDRY S,6 - 6,410,NZL,6:50,Missed,0
5m shot,12.0,6,5,6,NZL,4.0,MYLES J,6 - 6,358,NZL,5:58,Saved,0
5m shot,4.0,6,5,6,NZL,4.0,SACRE A,6 - 6,333,FRA,5:33,Missed,0
Extra player shot,2.0,6,5,6,NZL,4.0,LEWIS N,6 - 6,287,NZL,4:47,Post,0
Centre shot,4.0,6,5,6,NZL,4.0,SACRE A,6 - 6,196,FRA,3:16,Saved,0
Counter attack,8.0,6,5,6,NZL,4.0,LOPES DA SILVA C,6 - 6,179,NZL,2:59,Saved,0
5m shot,12.0,6,5,6,NZL,4.0,MYLES J,6 - 6,124,NZL,2:04,Saved,0
5m shot,12.0,6,5,7,NZL,4.0,MYLES J,7 - 6,105,NZL,1:45,Goal,1
5m shot,2.0,6,5,7,NZL,4.0,MILLOT E,7 - 6,77,FRA,1:17,Missed,0
5m shot,2.0,6,5,7,NZL,4.0,MILLOT E,7 - 6,19,FRA,0:19,Saved,0
