Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,10.0,3,5,13,CRO,3.0,INABA K,5 - 13,110,JPN,1:50,Blocked,0
Action shot,3.0,3,5,13,CRO,3.0,FATOVIC L,5 - 13,69,CRO,1:09,Post,0
Action shot,8.0,3,5,13,CRO,3.0,TAKATA M,5 - 13,55,JPN,0:55,Post,0
Extra player shot,4.0,3,5,14,CRO,3.0,LONCAR L,5 - 14,17,CRO,0:17,Goal,1
Extra player shot,3.0,3,5,15,CRO,4.0,FATOVIC L,5 - 15,439,CRO,7:19,Goal,1
Action shot,11.0,3,5,15,CRO,4.0,SETKA A,5 - 15,379,CRO,6:19,Saved,0
Extra player shot,3.0,3,5,16,CRO,4.0,FATOVIC L,5 - 16,319,CRO,5:19,Goal,1
Action shot,12.0,3,5,16,CRO,4.0,ARAKI K,5 - 16,283,JPN,4:43,Saved,0
Action shot,4.0,3,5,16,CRO,4.0,LONCAR L,5 - 16,267,CRO,4:27,Missed,0
Action shot,2.0,3,5,16,CRO,4.0,ADACHI S,5 - 16,253,JPN,4:13,Saved,0
Action shot,9.0,3,6,16,CRO,4.0,ARAI A,6 - 16,232,JPN,3:52,Goal,1
Penalty shot,2.0,3,6,16,CRO,4.0,ADACHI S,6 - 16,184,JPN,3:04,Saved,0
5m shot,7.0,3,6,16,CRO,4.0,VUKICEVIC A,6 - 16,75,CRO,1:15,Post,0
5m shot,9.0,3,6,16,CRO,4.0,ARAI A,6 - 16,59,JPN,0:59,Post,0
Extra player shot,2.0,4,0,0,GRE,1.0,ADACHI S,0 - 0,424,JPN,7:04,Saved,0
Action shot,12.0,4,0,1,GRE,1.0,VLACHOPOULOS A,1 - 0,378,GRE,6:18,Goal,1
5m shot,4.0,4,0,1,GRE,1.0,SHIGA M,1 - 0,352,JPN,5:52,Saved,0
Penalty shot,5.0,4,0,2,GRE,1.0,FOUNTOULIS I,2 - 0,327,GRE,5:27,Goal,1
Extra player shot,11.0,4,1,2,GRE,1.0,OKAWA K,2 - 1,302,JPN,5:02,Goal,1
Counter attack,5.0,4,1,3,GRE,1.0,FOUNTOULIS I,3 - 1,289,GRE,4:49,Goal,1
5m shot,10.0,4,1,3,GRE,1.0,KOLOMVOS C,3 - 1,244,GRE,4:04,Saved,0
Action shot,2.0,4,1,3,GRE,1.0,GENIDOUNIAS K,3 - 1,110,GRE,1:50,Blocked,0
Action shot,2.0,4,2,3,GRE,1.0,ADACHI S,3 - 2,86,JPN,1:26,Goal,1
5m shot,11.0,4,2,4,GRE,1.0,GOUNAS A,4 - 2,60,GRE,1:00,Goal,1
Extra player shot,2.0,4,2,5,GRE,1.0,GENIDOUNIAS K,5 - 2,7,GRE,0:07,Goal,1
5m shot,2.0,4,2,5,GRE,1.0,ADACHI S,5 - 2,1,JPN,0:01,Missed,0
Centre shot,9.0,4,2,6,GRE,2.0,MOURIKIS K,6 - 2,443,GRE,7:23,Goal,1
5m shot,11.0,4,2,6,GRE,2.0,OKAWA K,6 - 2,417,JPN,6:57,Missed,0
Extra player shot,11.0,4,2,7,GRE,2.0,GOUNAS A,7 - 2,373,GRE,6:13,Goal,1
Counter attack,5.0,4,2,8,GRE,2.0,FOUNTOULIS I,8 - 2,342,GRE,5:42,Goal,1
Centre shot,7.0,4,2,8,GRE,2.0,SHIMIZU Y,8 - 2,254,JPN,4:14,Post,0
Centre shot,7.0,4,2,8,GRE,2.0,SHIMIZU Y,8 - 2,203,JPN,3:23,Saved,0
Action shot,2.0,4,2,9,GRE,2.0,GENIDOUNIAS K,9 - 2,176,GRE,2:56,Goal,1
5m shot,9.0,4,2,9,GRE,2.0,ARAI A,9 - 2,157,JPN,2:37,Missed,0
Action shot,5.0,4,2,9,GRE,2.0,YOSHIDA T,9 - 2,116,JPN,1:56,Saved,0
Centre shot,10.0,4,2,9,GRE,2.0,KOLOMVOS C,9 - 2,90,GRE,1:30,Missed,0
5m shot,5.0,4,2,9,GRE,4.0,FOUNTOULIS I,9 - 2,84,GRE,1:24,Post,0
5m shot,4.0,4,2,9,GRE,2.0,SHIGA M,9 - 2,68,JPN,1:08,Saved,0
5m shot,5.0,4,2,10,GRE,2.0,FOUNTOULIS I,10 - 2,5,GRE,0:05,Goal,1
5m shot,2.0,4,3,10,GRE,3.0,ADACHI S,10 - 3,426,JPN,7:06,Goal,1
