Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,6.0,4,4,2,ESP,2.0,AVRAMIDOU A,4 - 2,395,GRE,6:35,Goal,1
5m shot,9.0,4,4,2,ESP,2.0,FORCA ARIZA J,4 - 2,365,ESP,6:05,Blocked,0
Centre shot,7.0,4,4,2,ESP,2.0,ASIMAKI A,4 - 2,343,GRE,5:43,Saved,0
5m shot,4.0,4,4,2,ESP,2.0,ORTIZ MUNOZ B,4 - 2,316,ESP,5:16,Blocked,0
5m shot,3.0,4,4,2,ESP,2.0,DIAMANTOPOULOU V,4 - 2,235,GRE,3:55,Blocked,0
Extra player shot,9.0,4,4,3,ESP,2.0,FORCA ARIZA J,4 - 3,197,ESP,3:17,Goal,1
5m shot,4.0,4,4,4,ESP,2.0,ORTIZ MUNOZ B,4 - 4,129,ESP,2:09,Goal,1
5m shot,9.0,4,4,4,ESP,2.0,KOTSIA C,4 - 4,100,GRE,1:40,Blocked,0
5m shot,9.0,5,4,4,ESP,2.0,KOTSIA C,5 - 4,43,GRE,0:43,Goal,1
Extra player shot,4.0,5,4,4,ESP,2.0,ORTIZ MUNOZ B,5 - 4,3,ESP,0:03,Post,0
5m shot,2.0,5,4,4,ESP,3.0,BACH PASCUAL M,5 - 4,451,ESP,7:31,Saved,0
5m shot,11.0,5,4,4,ESP,3.0,PLEVRITOU E,5 - 4,422,GRE,7:02,Saved,0
5m shot,9.0,5,4,5,ESP,3.0,FORCA ARIZA J,5 - 5,397,ESP,6:37,Goal,1
5m shot,10.0,5,4,5,ESP,3.0,MANOLIOUDAKI T,5 - 5,369,GRE,6:09,Post,0
Centre shot,10.0,5,4,5,ESP,3.0,CRESPI BARRIGA P,5 - 5,345,ESP,5:45,Missed,0
5m shot,3.0,5,4,5,ESP,3.0,ESPAR LLAQUET A,5 - 5,305,ESP,5:05,Post,0
5m shot,5.0,5,4,5,ESP,3.0,PLEVRITOU M,5 - 5,270,GRE,4:30,Saved,0
Extra player shot,4.0,5,4,6,ESP,3.0,ORTIZ MUNOZ B,5 - 6,236,ESP,3:56,Goal,1
Action shot,12.0,6,4,6,ESP,3.0,XENAKI E,6 - 6,187,GRE,3:07,Goal,1
Action shot,8.0,6,4,6,ESP,3.0,PENA CARRASCO M,6 - 6,157,ESP,2:37,Saved,0
5m shot,9.0,7,4,6,ESP,3.0,KOTSIA C,7 - 6,130,GRE,2:10,Goal,1
5m shot,9.0,7,4,6,ESP,3.0,FORCA ARIZA J,7 - 6,35,ESP,0:35,Post,0
5m shot,8.0,7,4,6,ESP,3.0,CHYDIRIOTI I,7 - 6,10,GRE,0:10,Post,0
Extra player shot,9.0,7,4,6,ESP,3.0,FORCA ARIZA J,7 - 6,1,ESP,0:01,Saved,0
Action shot,5.0,7,4,7,ESP,4.0,ORTIZ REYES M,7 - 7,462,ESP,7:42,Goal,1
Penalty shot,3.0,7,4,8,ESP,4.0,ESPAR LLAQUET A,7 - 8,427,ESP,7:07,Goal,1
5m shot,10.0,7,4,8,ESP,4.0,MANOLIOUDAKI T,7 - 8,402,GRE,6:42,Blocked,0
5m shot,6.0,8,4,8,ESP,4.0,AVRAMIDOU A,8 - 8,369,GRE,6:09,Goal,1
5m shot,9.0,8,4,8,ESP,4.0,FORCA ARIZA J,8 - 8,339,ESP,5:39,Post,0
5m shot,9.0,9,4,8,ESP,4.0,KOTSIA C,9 - 8,310,GRE,5:10,Goal,1
Extra player shot,12.0,9,4,9,ESP,4.0,LEITON ARRONES P,9 - 9,267,ESP,4:27,Goal,1
5m shot,11.0,9,4,9,ESP,4.0,PLEVRITOU E,9 - 9,217,GRE,3:37,Post,0
5m shot,11.0,9,4,9,ESP,4.0,PLEVRITOU E,9 - 9,168,GRE,2:48,Blocked,0
Action shot,4.0,9,4,9,ESP,4.0,ELEFTHERIADOU N,9 - 9,140,GRE,2:20,Saved,0
5m shot,4.0,9,4,9,ESP,4.0,ORTIZ MUNOZ B,9 - 9,114,ESP,1:54,Missed,0
Action shot,12.0,10,4,9,ESP,4.0,XENAKI E,10 - 9,91,GRE,1:31,Goal,1
5m shot,9.0,10,4,9,ESP,4.0,FORCA ARIZA J,10 - 9,65,ESP,1:05,Saved,0
Action shot,4.0,10,4,9,ESP,4.0,ELEFTHERIADOU N,10 - 9,36,GRE,0:36,Post,0
Extra player shot,9.0,10,4,10,ESP,4.0,FORCA ARIZA J,10 - 10,5,ESP,0:05,Goal,1
Centre shot,7.0,1,5,0,HUN,1.0,ASIMAKI A,0 - 1,435,GRE,7:15,Goal,1
Penalty shot,10.0,1,5,1,HUN,1.0,BUJKA B,1 - 1,414,HUN,6:54,Goal,1
5m shot,3.0,1,5,1,HUN,1.0,DIAMANTOPOULOU V,1 - 1,389,GRE,6:29,Post,0
Extra player shot,2.0,2,5,1,HUN,1.0,TSOUKALA C,1 - 2,326,GRE,5:26,Goal,1
Action shot,12.0,2,5,1,HUN,1.0,SZILAGYI D,1 - 2,301,HUN,5:01,Missed,0
Centre shot,12.0,3,5,1,HUN,1.0,XENAKI E,1 - 3,277,GRE,4:37,Goal,1
Extra player shot,10.0,3,5,1,HUN,1.0,BUJKA B,1 - 3,227,HUN,3:47,Blocked,0
Centre shot,10.0,3,5,2,HUN,1.0,BUJKA B,2 - 3,155,HUN,2:35,Goal,1
Extra player shot,2.0,4,5,2,HUN,1.0,TSOUKALA C,2 - 4,113,GRE,1:53,Goal,1
5m shot,5.0,4,5,2,HUN,1.0,SZUCS G,2 - 4,94,HUN,1:34,Post,0
Action shot,11.0,4,5,2,HUN,1.0,PLEVRITOU E,2 - 4,48,GRE,0:48,Missed,0
Extra player shot,2.0,4,5,2,HUN,1.0,TSOUKALA C,2 - 4,2,GRE,0:02,Saved,0
Action shot,11.0,4,5,2,HUN,2.0,PLEVRITOU E,2 - 4,462,GRE,7:42,Post,0
5m shot,8.0,4,5,2,HUN,2.0,KESZTHELYI R,2 - 4,436,HUN,7:16,Blocked,0
Action shot,8.0,4,5,2,HUN,2.0,KESZTHELYI R,2 - 4,333,HUN,5:33,Blocked,0
Action shot,10.0,4,5,2,HUN,2.0,MANOLIOUDAKI T,2 - 4,304,GRE,5:04,Missed,0
Action shot,12.0,4,5,2,HUN,2.0,SZILAGYI D,2 - 4,287,HUN,4:47,Saved,0
Action shot,2.0,5,5,2,HUN,2.0,TSOUKALA C,2 - 5,258,GRE,4:18,Goal,1
Extra player shot,8.0,5,5,3,HUN,2.0,KESZTHELYI R,3 - 5,221,HUN,3:41,Goal,1
Action shot,4.0,5,5,3,HUN,2.0,ELEFTHERIADOU N,3 - 5,193,GRE,3:13,Saved,0
