Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Saved,3.0,6,5,6,HUN,3.0,DIAMANTOPOULOU V,6 - 6,215,GRE,3:35
Action shot - Blocked,5.0,6,5,6,HUN,3.0,SZUCS G,6 - 6,186,HUN,3:06
Turnover foul,6.0,6,5,6,HUN,3.0,AVRAMIDOU A,6 - 6,169,GRE,2:49
Steal,6.0,6,5,6,HUN,3.0,TAKACS O,6 - 6,169,HUN,2:49
Turnover foul,6.0,6,5,6,HUN,3.0,TAKACS O,6 - 6,140,HUN,2:20
5m shot - Missed,3.0,6,5,6,HUN,3.0,DIAMANTOPOULOU V,6 - 6,120,GRE,2:00
Counter attack - Goal,4.0,6,5,7,HUN,3.0,GURISATTI G,7 - 6,111,HUN,1:51
20 sec. exclusion in centre,5.0,6,5,7,HUN,3.0,SZUCS G,7 - 6,93,HUN,1:33
Extra player shot - Saved,7.0,6,5,7,HUN,3.0,ASIMAKI A,7 - 6,75,GRE,1:15
5m shot - Goal,5.0,6,5,8,HUN,3.0,SZUCS G,8 - 6,50,HUN,0:50
Turnover foul,7.0,6,5,8,HUN,3.0,ASIMAKI A,8 - 6,27,GRE,0:27
Steal,11.0,6,5,8,HUN,3.0,CSABAI D,8 - 6,27,HUN,0:27
Time-Out,,6,5,8,HUN,3.0,,8 - 6,26,HUN,0:26
Turnover foul,3.0,6,5,8,HUN,3.0,ANTAL D,8 - 6,13,HUN,0:13
Starting goalkeeper,1.0,6,5,8,HUN,4.0,GANGL E,8 - 6,480,HUN,8:00
Starting goalkeeper,13.0,6,5,8,HUN,4.0,DIAMANTOPOULOU C,8 - 6,480,GRE,8:00
Sprint won possession,12.0,6,5,8,HUN,4.0,SZILAGYI D,8 - 6,480,HUN,8:00
5m shot - Blocked,5.0,6,5,8,HUN,4.0,SZUCS G,8 - 6,453,HUN,7:33
Action shot - Missed,11.0,6,5,8,HUN,4.0,PLEVRITOU E,8 - 6,424,GRE,7:04
5m shot - Goal,12.0,6,5,9,HUN,4.0,SZILAGYI D,9 - 6,395,HUN,6:35
Action shot - Goal,6.0,7,5,9,HUN,4.0,AVRAMIDOU A,9 - 7,377,GRE,6:17
Turnover foul,7.0,7,5,9,HUN,4.0,ILLES A,9 - 7,351,HUN,5:51
Steal,13.0,7,5,9,HUN,4.0,DIAMANTOPOULOU C,9 - 7,351,GRE,5:51
Action shot - Saved,12.0,7,5,9,HUN,4.0,XENAKI E,9 - 7,334,GRE,5:34
Turnover foul,12.0,7,5,9,HUN,4.0,XENAKI E,9 - 7,313,GRE,5:13
Steal,12.0,7,5,9,HUN,4.0,SZILAGYI D,9 - 7,313,HUN,5:13
20 sec. exclusion in field,10.0,7,5,9,HUN,4.0,MANOLIOUDAKI T,9 - 7,313,GRE,5:13
Action shot - Missed,5.0,7,5,9,HUN,4.0,SZUCS G,9 - 7,284,HUN,4:44
Turnover foul,4.0,7,5,9,HUN,4.0,ELEFTHERIADOU N,9 - 7,270,GRE,4:30
Steal,12.0,7,5,9,HUN,4.0,SZILAGYI D,9 - 7,270,HUN,4:30
Action shot - Blocked,12.0,7,5,9,HUN,4.0,SZILAGYI D,9 - 7,247,HUN,4:07
20 sec. exclusion in field,12.0,7,5,9,HUN,4.0,SZILAGYI D,9 - 7,244,HUN,4:04
Action shot - Goal,11.0,8,5,9,HUN,4.0,PLEVRITOU E,9 - 8,220,GRE,3:40
Action shot - Goal,8.0,8,5,10,HUN,4.0,KESZTHELYI R,10 - 8,197,HUN,3:17
20 sec. exclusion in centre,8.0,8,5,10,HUN,4.0,KESZTHELYI R,10 - 8,175,HUN,2:55
5m shot - Missed,10.0,8,5,10,HUN,4.0,MANOLIOUDAKI T,10 - 8,43,GRE,0:43
Time-Out,,8,5,10,HUN,4.0,,10 - 8,28,HUN,0:28
5m shot - Blocked,8.0,8,5,10,HUN,4.0,KESZTHELYI R,10 - 8,16,HUN,0:16
Time-Out,,8,5,10,HUN,4.0,,10 - 8,16,GRE,0:16
5m shot - Blocked,4.0,8,5,10,HUN,4.0,ELEFTHERIADOU N,10 - 8,1,GRE,0:01
Starting goalkeeper,1.0,0,6,0,AUS,1.0,YANITSAS L,0 - 0,480,AUS,8:00
Starting goalkeeper,13.0,0,6,0,AUS,1.0,DIAMANTOPOULOU C,0 - 0,480,GRE,8:00
Sprint won possession,11.0,0,6,0,AUS,1.0,PLEVRITOU E,0 - 0,480,GRE,8:00
5m shot - Saved,11.0,0,6,0,AUS,1.0,PLEVRITOU E,0 - 0,454,GRE,7:34
Turnover foul,5.0,0,6,0,AUS,1.0,BISHOP I,0 - 0,447,AUS,7:27
Steal,6.0,0,6,0,AUS,1.0,AVRAMIDOU A,0 - 0,447,GRE,7:27
5m shot - Missed,11.0,0,6,0,AUS,1.0,PLEVRITOU E,0 - 0,423,GRE,7:03
5m shot - Saved,7.0,0,6,0,AUS,1.0,WEBSTER R,0 - 0,394,AUS,6:34
20 sec. exclusion in centre,4.0,0,6,0,AUS,1.0,HALLIGAN B,0 - 0,368,AUS,6:08
Turnover foul,11.0,0,6,0,AUS,1.0,PLEVRITOU E,0 - 0,351,GRE,5:51
Steal,2.0,0,6,0,AUS,1.0,GOFERS K,0 - 0,351,AUS,5:51
Centre shot - Saved,7.0,0,6,0,AUS,1.0,ASIMAKI A,0 - 0,304,GRE,5:04
Action shot - Post,5.0,0,6,0,AUS,1.0,BISHOP I,0 - 0,289,AUS,4:49
Turnover foul,7.0,0,6,0,AUS,1.0,WEBSTER R,0 - 0,261,AUS,4:21
Centre shot - Post,7.0,0,6,0,AUS,1.0,ASIMAKI A,0 - 0,246,GRE,4:06
20 sec. exclusion in centre,10.0,0,6,0,AUS,1.0,MANOLIOUDAKI T,0 - 0,224,GRE,3:44
Extra player shot - Post,2.0,0,6,0,AUS,1.0,GOFERS K,0 - 0,207,AUS,3:27
Turnover foul,7.0,0,6,0,AUS,1.0,ASIMAKI A,0 - 0,184,GRE,3:04
Turnover foul,2.0,0,6,0,AUS,1.0,GOFERS K,0 - 0,168,AUS,2:48
Steal,4.0,0,6,0,AUS,1.0,ELEFTHERIADOU N,0 - 0,168,GRE,2:48
Action shot - Saved,2.0,0,6,0,AUS,1.0,TSOUKALA C,0 - 0,146,GRE,2:26
20 sec. exclusion in centre,6.0,0,6,0,AUS,1.0,RIDGE A,0 - 0,137,AUS,2:17
