Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
5m shot,7.0,3,5,KAZ,3.0,SERZHANTOVA A,12,12 - 5,1,RUS,0:01,Blocked,0
5m shot,3.0,3,5,KAZ,4.0,PROKOFYEVA E,13,13 - 5,397,RUS,6:37,Goal,1
Extra player shot,11.0,3,5,KAZ,4.0,IVANOVA E,13,13 - 5,146,RUS,2:26,Saved,0
5m shot,11.0,3,5,KAZ,4.0,MIRSHINA A,13,13 - 5,120,KAZ,2:00,Saved,0
Action shot,12.0,3,6,KAZ,4.0,RYZHKOVA D,15,15 - 6,100,RUS,1:40,Goal,1
Action shot,10.0,3,6,KAZ,4.0,MYRZABEKOVA Z,15,15 - 6,75,KAZ,1:15,Missed,0
Centre shot,2.0,3,6,KAZ,4.0,VAKHITOVA V,15,15 - 6,53,RUS,0:53,Post,0
Action shot,3,4,0,NED,1.0,PROKOFYEVA E,1,0 - 1,451,RUS,7:31,Goal,1
Extra player shot,6,4,1,NED,1.0,STOMPHORST N,1,1 - 1,417,NED,6:57,Goal,1
Action shot,6,4,1,NED,1.0,GORBUNOVA O,1,1 - 1,390,RUS,6:30,Missed,0
5m shot,10,4,1,NED,1.0,TOLKUNOVA T,1,1 - 1,333,RUS,5:33,Missed,0
Extra player shot,9,4,1,NED,1.0,MEGENS M,1,1 - 1,302,NED,5:02,Missed,0
Action shot,12,4,1,NED,1.0,RYZHKOVA D,2,1 - 2,277,RUS,4:37,Goal,1
5m shot,2,4,1,NED,1.0,SMIT Y,2,1 - 2,258,NED,4:18,Missed,0
Centre shot,9,4,1,NED,1.0,TIMOFEEVA A,3,1 - 3,238,RUS,3:58,Goal,1
5m shot,9,4,1,NED,1.0,MEGENS M,3,1 - 3,217,NED,3:37,Blocked,0
Extra player shot,12,4,1,NED,1.0,RYZHKOVA D,4,1 - 4,172,RUS,2:52,Goal,1
5m shot,3,4,1,NED,1.0,PROKOFYEVA E,4,1 - 4,127,RUS,2:07,Missed,0
Penalty shot,4,4,2,NED,1.0,van der SLOOT S,4,2 - 4,114,NED,1:54,Goal,1
Action shot,11,4,2,NED,1.0,IVANOVA E,4,2 - 4,85,RUS,1:25,Post,0
Action shot,6,4,2,NED,1.0,GORBUNOVA O,4,2 - 4,33,RUS,0:33,Post,0
Centre shot,4,4,2,NED,1.0,van der SLOOT S,4,2 - 4,10,NED,0:10,Missed,0
5m shot,3,4,2,NED,2.0,PROKOFYEVA E,5,2 - 5,457,RUS,7:37,Goal,1
Centre shot,8,4,2,NED,2.0,SEVENICH V,5,2 - 5,440,NED,7:20,Missed,0
Action shot,6,4,2,NED,2.0,GORBUNOVA O,6,2 - 6,426,RUS,7:06,Goal,1
5m shot,11,4,2,NED,2.0,KLAASSEN L,6,2 - 6,405,NED,6:45,Post,0
Extra player shot,8,4,3,NED,2.0,SEVENICH V,6,3 - 6,372,NED,6:12,Goal,1
Action shot,4,4,3,NED,2.0,KARIMOVA E,6,3 - 6,349,RUS,5:49,Saved,0
Action shot,9,4,3,NED,2.0,MEGENS M,6,3 - 6,327,NED,5:27,Blocked,0
Extra player shot,3,4,3,NED,2.0,PROKOFYEVA E,7,3 - 7,294,RUS,4:54,Goal,1
Extra player shot,6,4,4,NED,2.0,STOMPHORST N,7,4 - 7,267,NED,4:27,Goal,1
Extra player shot,11,4,4,NED,2.0,IVANOVA E,7,4 - 7,230,RUS,3:50,Post,0
Counter attack,4,4,5,NED,2.0,van der SLOOT S,7,5 - 7,218,NED,3:38,Goal,1
Action shot,4,4,5,NED,2.0,KARIMOVA E,7,5 - 7,196,RUS,3:16,Saved,0
Action shot,4,4,5,NED,2.0,KARIMOVA E,7,5 - 7,170,RUS,2:50,Missed,0
5m shot,10,4,5,NED,2.0,KOOLHAAS I,7,5 - 7,142,NED,2:22,Blocked,0
Centre shot,9,4,5,NED,2.0,TIMOFEEVA A,7,5 - 7,118,RUS,1:58,Saved,0
5m shot,10,4,5,NED,4.0,TOLKUNOVA T,7,5 - 7,176,RUS,2:56,Saved,0
Extra player shot,2,4,5,NED,4.0,SMIT Y,7,5 - 7,131,NED,2:11,Post,0
5m shot,12.0,4,5,NED,2.0,RYZHKOVA D,7,5 - 7,62,RUS,1:02,Missed,0
Action shot,11.0,4,6,NED,2.0,KLAASSEN L,7,6 - 7,31,NED,0:31,Goal,1
Action shot,2.0,4,6,NED,2.0,VAKHITOVA V,7,6 - 7,7,RUS,0:07,Saved,0
5m shot,9.0,4,6,NED,2.0,MEGENS M,7,6 - 7,2,NED,0:02,Saved,0
Action shot,6.0,4,7,NED,3.0,STOMPHORST N,7,7 - 7,464,NED,7:44,Goal,1
5m shot,6.0,4,7,NED,3.0,GORBUNOVA O,7,7 - 7,443,RUS,7:23,Post,0
Extra player shot,9.0,4,7,NED,3.0,MEGENS M,7,7 - 7,398,NED,6:38,Missed,0
5m shot,4.0,4,7,NED,3.0,KARIMOVA E,7,7 - 7,369,RUS,6:09,Blocked,0
Extra player shot,2.0,4,7,NED,3.0,SMIT Y,7,7 - 7,330,NED,5:30,Saved,0
Extra player shot,11.0,4,7,NED,3.0,KLAASSEN L,7,7 - 7,322,NED,5:22,Saved,0
Action shot,5.0,4,7,NED,3.0,BORISOVA M,7,7 - 7,282,RUS,4:42,Post,0
Action shot,3.0,4,8,NED,3.0,GENEE D,7,8 - 7,263,NED,4:23,Goal,1
5m shot,10.0,4,8,NED,3.0,TOLKUNOVA T,8,8 - 8,240,RUS,4:00,Goal,1
Action shot,9.0,4,8,NED,3.0,MEGENS M,8,8 - 8,219,NED,3:39,Saved,0
Action shot,2.0,4,8,NED,3.0,SMIT Y,8,8 - 8,202,NED,3:22,Saved,0
Counter attack,9.0,4,8,NED,3.0,TIMOFEEVA A,9,8 - 9,108,RUS,1:48,Goal,1
5m shot,11.0,4,8,NED,3.0,KLAASSEN L,9,8 - 9,86,NED,1:26,Saved,0
Centre shot,8.0,4,8,NED,3.0,SEVENICH V,9,8 - 9,74,NED,1:14,Saved,0
