Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name,Result,Goal
1.0,0:19,Action shot,1 - 3,BRA,COUTINHO G,4.0,1,3,19,5,JPN,Saved,0
1.0,0:01,5m shot,1 - 3,JPN,ADACHI S,2.0,1,3,1,5,JPN,Saved,0
2.0,6:37,Action shot,1 - 3,BRA,GUIMARAES G,11.0,1,3,397,5,JPN,Saved,0
2.0,5:47,Action shot,2 - 3,BRA,COUTINHO G,4.0,2,3,347,5,JPN,Goal,1
2.0,5:24,5m shot,2 - 3,JPN,OKAWA K,11.0,2,3,324,5,JPN,Post,0
2.0,4:59,5m shot,2 - 3,JPN,ARAI A,9.0,2,3,299,5,JPN,Missed,0
2.0,4:36,5m shot,2 - 3,BRA,GUIMARAES G,11.0,2,3,276,5,JPN,Missed,0
2.0,4:15,Extra player shot,2 - 4,JPN,SHIMIZU Y,7.0,2,4,255,5,JPN,Goal,1
2.0,3:43,5m shot,2 - 4,BRA,COUTINHO G,4.0,2,4,223,5,JPN,Blocked,0
2.0,3:22,5m shot,2 - 4,JPN,IIDA A,6.0,2,4,202,5,JPN,Saved,0
2.0,2:45,Action shot,3 - 4,BRA,FREITAS R,12.0,3,4,165,5,JPN,Goal,1
2.0,2:07,Action shot,3 - 5,JPN,ARAKI K,12.0,3,5,127,5,JPN,Goal,1
4.0,3:44,Counter attack,3 - 5,JPN,OKAWA K,11.0,3,5,224,5,JPN,Saved,0
4.0,3:07,5m shot,7 - 9,JPN,ADACHI S,2.0,7,9,187,5,JPN,Goal,1
4.0,2:31,Action shot,7 - 9,JPN,INABA K,10.0,7,9,151,5,JPN,Post,0
2.0,1:33,Extra player shot,3 - 6,JPN,IIDA A,6.0,3,6,93,5,JPN,Goal,1
2.0,0:28,Action shot,4 - 6,BRA,CARRULO H,10.0,4,6,28,5,JPN,Goal,1
2.0,0:05,Penalty shot,4 - 7,JPN,ARAI A,9.0,4,7,5,5,JPN,Goal,1
2.0,0:01,5m shot,4 - 7,BRA,GUIMARAES G,11.0,4,7,1,5,JPN,Missed,0
3.0,7:35,5m shot,4 - 7,JPN,SHIGA M,4.0,4,7,455,5,JPN,Missed,0
3.0,6:58,5m shot,4 - 7,JPN,OKAWA K,11.0,4,7,418,5,JPN,Saved,0
3.0,6:25,5m shot,4 - 7,JPN,SHIGA M,4.0,4,7,385,5,JPN,Missed,0
3.0,6:20,Extra player shot,5 - 7,BRA,FREITAS R,12.0,5,7,380,5,JPN,Goal,1
3.0,5:53,5m shot,5 - 7,JPN,OKAWA K,11.0,5,7,353,5,JPN,Saved,0
3.0,5:08,Action shot,5 - 7,JPN,ARAKI K,12.0,5,7,308,5,JPN,Missed,0
3.0,4:26,5m shot,5 - 7,JPN,ADACHI S,2.0,5,7,266,5,JPN,Saved,0
3.0,3:50,Action shot,5 - 7,JPN,ADACHI S,2.0,5,7,230,5,JPN,Saved,0
3.0,3:43,Action shot,5 - 7,JPN,TAKATA M,8.0,5,7,223,5,JPN,Saved,0
3.0,3:11,5m shot,5 - 7,BRA,COUTINHO G,4.0,5,7,191,5,JPN,Saved,0
3.0,2:35,Action shot,5 - 7,BRA,FREITAS R,12.0,5,7,155,5,JPN,Blocked,0
3.0,1:05,5m shot,5 - 7,JPN,SHIGA M,4.0,5,7,65,5,JPN,Post,0
3.0,0:35,Action shot,5 - 7,BRA,CRUZ A,2.0,5,7,35,5,JPN,Missed,0
3.0,0:22,Penalty shot,5 - 8,JPN,SHIMIZU Y,7.0,5,8,22,5,JPN,Goal,1
3.0,0:01,Action shot,5 - 8,BRA,GUIMARAES G,11.0,5,8,1,5,JPN,Saved,0
4.0,7:32,5m shot,5 - 8,BRA,COUTINHO G,4.0,5,8,452,5,JPN,Blocked,0
4.0,7:10,5m shot,6 - 8,BRA,GUIMARAES G,11.0,6,8,430,5,JPN,Goal,1
4.0,6:42,Action shot,6 - 8,JPN,SHIMIZU Y,7.0,6,8,402,5,JPN,Saved,0
4.0,6:14,5m shot,6 - 8,BRA,ROCHA B,9.0,6,8,374,5,JPN,Blocked,0
4.0,5:13,5m shot,7 - 8,BRA,COUTINHO G,4.0,7,8,313,5,JPN,Goal,1
4.0,1:12,Action shot,7 - 8,JPN,INABA K,10.0,7,8,72,5,JPN,Missed,0
4.0,0:44,5m shot,7 - 8,BRA,GUIMARAES G,11.0,7,8,44,5,JPN,Saved,0
4.0,0:04,5m shot,7 - 8,BRA,COUTINHO G,4.0,7,8,4,5,JPN,Saved,0
1.0,7:31,Centre shot,0 - 0,KAZ,RUDAY M,10.0,0,0,451,6,KAZ,Post,0
1.0,7:03,5m shot,0 - 0,BRA,CRUZ A,2.0,0,0,423,6,KAZ,Saved,0
1.0,5:58,Extra player shot,0 - 1,KAZ,MEDVEDEV Y,2.0,0,1,358,6,KAZ,Goal,1
1.0,4:59,Counter attack,0 - 2,KAZ,UKUMANOV R,9.0,0,2,299,6,KAZ,Goal,1
1.0,4:20,5m shot,0 - 3,KAZ,TURLYKHANOV B,12.0,0,3,260,6,KAZ,Goal,1
