Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
1.0,1:58,Extra player shot - Goal,2 - 2,BRA,GUIMARAES G,11.0,2,2,118,4,AUS
1.0,1:42,Penalty foul,2 - 2,BRA,ALMEIDA G,3.0,2,2,102,4,AUS
1.0,1:42,Penalty shot - Post,2 - 2,AUS,YOUNGER A,8.0,2,2,102,4,AUS
1.0,1:17,Turnover foul,2 - 2,BRA,CARRULO H,10.0,2,2,77,4,AUS
1.0,1:17,Steal,2 - 2,AUS,HRYSANTHOS A,13.0,2,2,77,4,AUS
1.0,0:47,Turnover foul,2 - 2,AUS,KAYES J,4.0,2,2,47,4,AUS
1.0,0:47,Steal,2 - 2,BRA,ALMEIDA G,3.0,2,2,47,4,AUS
1.0,0:25,Time-Out,2 - 2,AUS,,,2,2,25,4,AUS
1.0,0:08,20 sec. exclusion in field,2 - 2,BRA,COUTINHO G,4.0,2,2,8,4,AUS
1.0,0:05,Extra player shot - Post,2 - 2,AUS,KAYES J,4.0,2,2,5,4,AUS
2.0,8:00,Starting goalkeeper,2 - 2,BRA,SORO S,1.0,2,2,480,4,AUS
2.0,8:00,Starting goalkeeper,2 - 2,AUS,HRYSANTHOS A,13.0,2,2,480,4,AUS
2.0,8:00,Sprint won possession,2 - 2,AUS,GILCHRIST J,7.0,2,2,480,4,AUS
2.0,7:41,Turnover foul,2 - 2,AUS,GILCHRIST J,7.0,2,2,461,4,AUS
2.0,7:41,Steal,2 - 2,BRA,FREITAS R,12.0,2,2,461,4,AUS
2.0,7:16,Action shot - Saved,2 - 2,BRA,STELLET P,7.0,2,2,436,4,AUS
2.0,6:49,Turnover foul,2 - 2,AUS,EDWARDS L,6.0,2,2,409,4,AUS
2.0,6:49,Steal,2 - 2,BRA,ROCHA B,9.0,2,2,409,4,AUS
2.0,6:22,Action shot - Missed,2 - 2,BRA,STELLET M,8.0,2,2,382,4,AUS
2.0,6:10,20 sec. exclusion in centre,2 - 2,BRA,ROCHA B,9.0,2,2,370,4,AUS
2.0,5:47,Turnover foul,2 - 2,AUS,FORD G,3.0,2,2,347,4,AUS
2.0,5:47,Steal,2 - 2,BRA,STELLET M,8.0,2,2,347,4,AUS
2.0,5:24,Action shot - Missed,2 - 2,BRA,STELLET P,7.0,2,2,324,4,AUS
2.0,4:55,Turnover foul,2 - 2,AUS,EDWARDS L,6.0,2,2,295,4,AUS
2.0,4:55,Steal,2 - 2,BRA,CRUZ A,2.0,2,2,295,4,AUS
2.0,4:30,20 sec. exclusion in field,2 - 2,AUS,EDWARDS L,6.0,2,2,270,4,AUS
2.0,4:30,Time-Out,2 - 2,BRA,,,2,2,270,4,AUS
2.0,4:09,Turnover foul,2 - 2,BRA,COUTINHO G,4.0,2,2,249,4,AUS
2.0,4:09,Steal,2 - 2,AUS,YOUNGER A,8.0,2,2,249,4,AUS
2.0,3:46,Action shot - Goal,2 - 3,AUS,POWER N,5.0,2,3,226,4,AUS
2.0,3:21,Turnover foul,2 - 3,BRA,COUTINHO G,4.0,2,3,201,4,AUS
2.0,3:21,Steal,2 - 3,AUS,FANNON J,10.0,2,3,201,4,AUS
2.0,3:10,Counter attack - Goal,2 - 4,AUS,FANNON J,10.0,2,4,190,4,AUS
2.0,2:44,Turnover foul,2 - 4,BRA,SILVA L,5.0,2,4,164,4,AUS
2.0,2:44,Steal,2 - 4,AUS,FORD A,9.0,2,4,164,4,AUS
2.0,2:18,Turnover foul,2 - 4,AUS,KAYES J,4.0,2,4,138,4,AUS
2.0,2:18,Steal,2 - 4,BRA,CRUZ A,2.0,2,4,138,4,AUS
2.0,1:52,5m shot - Post,2 - 4,BRA,COUTINHO G,4.0,2,4,112,4,AUS
2.0,1:34,Turnover foul,2 - 4,AUS,KAYES J,4.0,2,4,94,4,AUS
2.0,1:07,5m shot - Saved,2 - 4,BRA,GUIMARAES G,11.0,2,4,67,4,AUS
2.0,1:07,Time-Out,2 - 4,AUS,,,2,4,67,4,AUS
2.0,0:06,Turnover foul,2 - 4,BRA,CARRULO H,10.0,2,4,6,4,AUS
4.0,0:16,5m shot - Goal,3 - 8,AUS,FANNON J,10.0,3,8,16,4,AUS
2.0,0:06,Steal,3 - 8,AUS,GILCHRIST J,7.0,3,8,6,4,AUS
3.0,8:00,Starting goalkeeper,3 - 8,BRA,SORO S,1.0,3,8,480,4,AUS
3.0,8:00,Starting goalkeeper,3 - 8,AUS,HRYSANTHOS A,13.0,3,8,480,4,AUS
3.0,8:00,Sprint won possession,3 - 8,AUS,GILCHRIST J,7.0,3,8,480,4,AUS
3.0,7:35,Turnover foul,3 - 8,AUS,EDWARDS L,6.0,3,8,455,4,AUS
3.0,7:15,Turnover foul,3 - 8,BRA,COUTINHO G,4.0,3,8,435,4,AUS
3.0,7:15,Steal,3 - 8,AUS,YOUNGER A,8.0,3,8,435,4,AUS
3.0,6:48,Action shot - Blocked,3 - 8,AUS,GILCHRIST J,7.0,3,8,408,4,AUS
3.0,6:22,Turnover foul,3 - 8,BRA,STELLET P,7.0,3,8,382,4,AUS
3.0,6:22,Steal,3 - 8,AUS,HRYSANTHOS A,13.0,3,8,382,4,AUS
3.0,6:21,Yellow card,3 - 8,AUS,Team Official,,3,8,381,4,AUS
3.0,6:21,20 sec. exclusion in field,3 - 8,BRA,COUTINHO G,4.0,3,8,381,4,AUS
3.0,6:21,Exclusion with substitution,3 - 8,BRA,COUTINHO G,4.0,3,8,381,4,AUS
3.0,6:21,Time-Out,3 - 8,AUS,,,3,8,381,4,AUS
3.0,6:05,Extra player shot - Goal,2 - 5,AUS,GILCHRIST J,7.0,2,5,365,4,AUS
3.0,5:43,20 sec. exclusion in centre,2 - 5,AUS,BROOKS N,12.0,2,5,343,4,AUS
3.0,5:22,Extra player shot - Blocked,2 - 5,BRA,GUIMARAES G,11.0,2,5,322,4,AUS
3.0,4:32,Action shot - Goal,2 - 6,AUS,FORD A,9.0,2,6,272,4,AUS
3.0,4:05,Action shot - Saved,2 - 6,BRA,CRUZ A,2.0,2,6,245,4,AUS
3.0,3:10,5m shot - Saved,2 - 6,AUS,YOUNGER A,8.0,2,6,190,4,AUS
3.0,2:20,20 sec. exclusion in centre,2 - 6,BRA,SILVA L,5.0,2,6,140,4,AUS
3.0,2:10,Extra player shot - Post,2 - 6,AUS,FORD A,9.0,2,6,130,4,AUS
3.0,1:44,Action shot - Saved,2 - 6,BRA,GUIMARAES G,11.0,2,6,104,4,AUS
3.0,1:30,20 sec. exclusion in centre,2 - 6,BRA,ROCHA B,9.0,2,6,90,4,AUS
3.0,1:26,Extra player shot - Saved,2 - 6,AUS,YOUNGER A,8.0,2,6,86,4,AUS
