Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,6.0,4,3,0,RSA,2.0,LANDRY S,3 - 0,268,NZL,4:28,Missed,0
Counter attack,6.0,4,3,0,RSA,2.0,LANDRY S,3 - 0,225,NZL,3:45,Saved,0
5m shot,11.0,4,3,0,RSA,2.0,O'HANLON D,3 - 0,197,RSA,3:17,Saved,0
Action shot,2.0,4,3,0,RSA,2.0,LEWIS N,3 - 0,159,NZL,2:39,Post,0
Centre shot,7.0,4,3,0,RSA,2.0,KAY K,3 - 0,136,RSA,2:16,Saved,0
Action shot,10.0,4,3,0,RSA,2.0,DANCE L,3 - 0,111,NZL,1:51,Missed,0
Action shot,3.0,4,3,0,RSA,2.0,PALEY K,3 - 0,90,RSA,1:30,Saved,0
5m shot,10.0,4,3,0,RSA,4.0,KILLEEN L,3 - 0,188,RSA,3:08,Post,0
Action shot,4.0,4,3,0,RSA,4.0,LEWIS D,3 - 0,172,NZL,2:52,Saved,0
Extra player shot,12.0,4,11,3,RSA,4.0,MYLES J,11 - 3,151,NZL,2:31,Goal,1
5m shot,10.0,4,11,3,RSA,4.0,KILLEEN L,11 - 3,126,RSA,2:06,Saved,0
Counter attack,4.0,4,11,3,RSA,4.0,LEWIS D,11 - 3,117,NZL,1:57,Saved,0
5m shot,10.0,4,11,3,RSA,2.0,DANCE L,11 - 3,69,NZL,1:09,Saved,0
Extra player shot,7.0,4,4,0,RSA,2.0,CHASE M,4 - 0,48,NZL,0:48,Goal,1
Action shot,12.0,4,4,0,RSA,2.0,WHITE K,4 - 0,21,RSA,0:21,Saved,0
Extra player shot,3.0,4,4,0,RSA,2.0,PATTISON S,4 - 0,1,NZL,0:01,Saved,0
Action shot,2.0,4,4,0,RSA,3.0,LEWIS N,4 - 0,454,NZL,7:34,Blocked,0
5m shot,2.0,4,4,0,RSA,3.0,LEWIS N,4 - 0,402,NZL,6:42,Blocked,0
Extra player shot,7.0,4,4,1,RSA,3.0,KAY K,4 - 1,377,RSA,6:17,Goal,1
Action shot,10.0,4,4,1,RSA,3.0,DANCE L,4 - 1,363,NZL,6:03,Saved,0
Extra player shot,7.0,4,4,1,RSA,3.0,KAY K,4 - 1,340,RSA,5:40,Missed,0
5m shot,4.0,4,4,1,RSA,3.0,LEWIS D,4 - 1,316,NZL,5:16,Saved,0
Action shot,10.0,4,5,1,RSA,3.0,DANCE L,5 - 1,310,NZL,5:10,Goal,1
Centre shot,12.0,4,5,2,RSA,3.0,WHITE K,5 - 2,235,RSA,3:55,Goal,1
Extra player shot,3.0,4,5,3,RSA,3.0,PALEY K,5 - 3,174,RSA,2:54,Goal,1
Action shot,12.0,4,5,3,RSA,3.0,MYLES J,5 - 3,156,NZL,2:36,Saved,0
Extra player shot,2.0,4,5,3,RSA,3.0,LEWIS N,5 - 3,142,NZL,2:22,Missed,0
5m shot,4.0,4,5,3,RSA,3.0,VERSFELD R,5 - 3,111,RSA,1:51,Saved,0
Action shot,4.0,4,5,3,RSA,3.0,LEWIS D,5 - 3,94,NZL,1:34,Blocked,0
5m shot,12.0,4,6,3,RSA,3.0,MYLES J,6 - 3,86,NZL,1:26,Goal,1
Centre shot,2.0,4,6,3,RSA,3.0,LEWIS N,6 - 3,32,NZL,0:32,Saved,0
Centre shot,2.0,4,7,3,RSA,3.0,LEWIS N,7 - 3,31,NZL,0:31,Goal,1
