Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Goal,6.0,1,6,15,CAN,4.0,MCKEE K,15 - 6,65,CAN,1:05
20 sec. exclusion in field,7.0,1,6,15,CAN,4.0,BEKHAZI J,15 - 6,51,CAN,0:51
Double exclusion,7.0,1,6,15,CAN,4.0,BEKHAZI J,15 - 6,51,CAN,0:51
Time-Out,,1,6,15,CAN,4.0,,15 - 6,51,NZL,0:51
5m shot - Saved,12.0,1,6,15,CAN,4.0,MYLES J,15 - 6,31,NZL,0:31
Starting goalkeeper,1.0,2,0,0,ESP,1.0,ESTER L,0 - 0,480,ESP,8:00
Starting goalkeeper,13.0,2,0,0,ESP,1.0,CURNOW K,0 - 0,480,NZL,8:00
Sprint won possession,6.0,2,0,0,ESP,1.0,PAREJA J,0 - 0,480,ESP,8:00
Turnover foul,6.0,2,0,0,ESP,1.0,PAREJA J,0 - 0,465,ESP,7:45
20 sec. exclusion in centre,4.0,2,0,0,ESP,1.0,LEWIS D,0 - 0,459,NZL,7:39
Extra player shot - Missed,10.0,2,0,0,ESP,1.0,TARRAGO R,0 - 0,436,ESP,7:16
20 sec. exclusion in centre,5.0,2,0,0,ESP,1.0,ORTIZ M,0 - 0,420,ESP,7:00
Extra player shot - Post,8.0,2,0,0,ESP,1.0,LOPES DA SILVA C,0 - 0,399,NZL,6:39
Turnover foul,8.0,2,0,0,ESP,1.0,PENA P,0 - 0,382,ESP,6:22
Steal,12.0,2,0,0,ESP,1.0,MYLES J,0 - 0,382,NZL,6:22
5m shot - Post,12.0,2,0,0,ESP,1.0,MYLES J,0 - 0,352,NZL,5:52
5m shot - Goal,10.0,2,0,1,ESP,1.0,TARRAGO R,1 - 0,328,ESP,5:28
Turnover foul,12.0,2,0,1,ESP,1.0,MYLES J,1 - 0,308,NZL,5:08
5m shot - Missed,3.0,2,0,1,ESP,1.0,ESPAR A,1 - 0,281,ESP,4:41
20 sec. exclusion in centre,2.0,2,0,1,ESP,1.0,BACH M,1 - 0,271,ESP,4:31
Extra player shot - Saved,2.0,2,0,1,ESP,1.0,LEWIS N,1 - 0,249,NZL,4:09
5m shot - Post,12.0,2,0,1,ESP,1.0,LOPEZ L,1 - 0,224,ESP,3:44
20 sec. exclusion in field,7.0,2,0,1,ESP,1.0,ESPAR C,1 - 0,220,ESP,3:40
Time-Out,,2,0,1,ESP,1.0,,1 - 0,218,NZL,3:38
Extra player shot - Saved,8.0,2,0,1,ESP,1.0,LOPES DA SILVA C,1 - 0,189,NZL,3:09
Action shot - Blocked,3.0,2,0,1,ESP,1.0,ESPAR A,1 - 0,173,ESP,2:53
Turnover foul,10.0,2,0,1,ESP,1.0,DANCE L,1 - 0,145,NZL,2:25
Steal,3.0,2,0,1,ESP,1.0,ESPAR A,1 - 0,145,ESP,2:25
Turnover foul,4.0,2,0,1,ESP,1.0,LEITON P,1 - 0,116,ESP,1:56
Turnover foul,12.0,2,0,1,ESP,1.0,MYLES J,1 - 0,103,NZL,1:43
Action shot - Goal,3.0,2,0,2,ESP,1.0,ESPAR A,2 - 0,79,ESP,1:19
20 sec. exclusion in centre,7.0,2,0,2,ESP,1.0,ESPAR C,2 - 0,65,ESP,1:05
Extra player shot - Blocked,12.0,2,0,2,ESP,1.0,MYLES J,2 - 0,53,NZL,0:53
Time-Out,,2,0,2,ESP,1.0,,2 - 0,50,ESP,0:50
20 sec. exclusion in centre,5.0,2,0,2,ESP,1.0,LEWIS S,2 - 0,34,NZL,0:34
Extra player shot - Goal,12.0,2,0,3,ESP,1.0,LOPEZ L,3 - 0,28,ESP,0:28
20 sec. exclusion in centre,12.0,2,0,3,ESP,1.0,LOPEZ L,3 - 0,13,ESP,0:13
Starting goalkeeper,1.0,2,0,3,ESP,2.0,ESTER L,3 - 0,480,ESP,8:00
Starting goalkeeper,13.0,2,0,3,ESP,2.0,CURNOW K,3 - 0,480,NZL,8:00
Sprint won possession,6.0,2,0,3,ESP,2.0,PAREJA J,3 - 0,480,ESP,8:00
20 sec. exclusion in centre,9.0,2,0,3,ESP,2.0,STONEMAN E,3 - 0,463,NZL,7:43
Extra player shot - Goal,11.0,2,0,4,ESP,2.0,GARCIA M,4 - 0,446,ESP,7:26
5m shot - Missed,4.0,2,0,4,ESP,2.0,LEWIS D,4 - 0,416,NZL,6:56
Action shot - Missed,4.0,2,0,4,ESP,2.0,LEITON P,4 - 0,404,ESP,6:44
5m shot - Post,12.0,2,0,4,ESP,2.0,MYLES J,4 - 0,379,NZL,6:19
5m shot - Goal,10.0,2,0,5,ESP,2.0,TARRAGO R,5 - 0,353,ESP,5:53
5m shot - Saved,6.0,2,0,5,ESP,2.0,LANDRY S,5 - 0,338,NZL,5:38
20 sec. exclusion in centre,4.0,2,0,5,ESP,2.0,LEWIS D,5 - 0,337,NZL,5:37
Extra player shot - Goal,6.0,2,0,6,ESP,2.0,PAREJA J,6 - 0,317,ESP,5:17
Turnover foul,8.0,2,0,6,ESP,2.0,LOPES DA SILVA C,6 - 0,296,NZL,4:56
Steal,9.0,2,0,6,ESP,2.0,FORCA J,6 - 0,296,ESP,4:56
Counter attack - Goal,6.0,2,0,7,ESP,2.0,PAREJA J,7 - 0,284,ESP,4:44
Turnover foul,6.0,2,0,7,ESP,2.0,LANDRY S,7 - 0,266,NZL,4:26
Steal,12.0,2,0,7,ESP,2.0,LOPEZ L,7 - 0,266,ESP,4:26
5m shot - Saved,12.0,2,0,7,ESP,2.0,LOPEZ L,7 - 0,254,ESP,4:14
5m shot - Saved,7.0,2,0,7,ESP,2.0,CHASE M,7 - 0,222,NZL,3:42
Turnover foul,9.0,2,0,7,ESP,2.0,FORCA J,7 - 0,207,ESP,3:27
20 sec. exclusion in centre,7.0,2,0,7,ESP,2.0,CHASE M,7 - 0,182,NZL,3:02
Turnover foul,11.0,2,0,7,ESP,2.0,HUDSON K,7 - 0,180,NZL,3:00
Extra player shot - Goal,12.0,2,0,8,ESP,2.0,LOPEZ L,8 - 0,170,ESP,2:50
20 sec. exclusion in centre,8.0,2,0,8,ESP,2.0,PENA P,8 - 0,143,ESP,2:23
Extra player shot - Goal,8.0,2,1,8,ESP,2.0,LOPES DA SILVA C,8 - 1,124,NZL,2:04
Turnover foul,8.0,2,1,8,ESP,2.0,PENA P,8 - 1,100,ESP,1:40
5m shot - Saved,11.0,2,1,8,ESP,2.0,HUDSON K,8 - 1,72,NZL,1:12
20 sec. exclusion in centre,11.0,2,1,8,ESP,2.0,HUDSON K,8 - 1,48,NZL,0:48
Extra player shot - Goal,10.0,2,1,9,ESP,2.0,TARRAGO R,9 - 1,33,ESP,0:33
