AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
2,Centre shot,2.0,5,2,CRO,3.0,CAMPBELL R,2 - 2,208,AUS,3:28,Saved,0
6,Action shot,7.0,5,7,CRO,ET2,MUSLIM P,7 - 6,54,CRO,0:54,Goal,1
6,Centre shot,11.0,5,7,CRO,3,SETKA A,7 - 6,189,CRO,3:09,Saved,0
3,Action shot,8.0,5,2,CRO,3,YOUNGER A,2 - 3,158,AUS,2:38,Goal,1
3,Action shot,2.0,5,2,CRO,3,CAMPBELL R,2 - 3,49,AUS,0:49,Missed,0
3,Extra player shot,12.0,5,2,CRO,3,OBRADOVIC P,2 - 3,10,CRO,0:10,Saved,0
3,Action shot,9.0,5,2,CRO,3,SUKNO S,2 - 3,1,CRO,0:01,Saved,0
4,Action shot,12.0,5,2,CRO,4,MILLER W,2 - 4,450,AUS,7:30,Goal,1
4,Counter attack,5.0,5,3,CRO,4,JOKOVIC M,3 - 4,378,CRO,6:18,Goal,1
5,Action shot,11.0,5,3,CRO,4,HOWDEN R,3 - 5,351,AUS,5:51,Goal,1
5,Action shot,4.0,5,3,CRO,4,COTTERILL J,3 - 5,297,AUS,4:57,Saved,0
5,Action shot,5.0,5,3,CRO,4,POWER N,3 - 5,276,AUS,4:36,Saved,0
5,Extra player shot,5.0,5,4,CRO,4,JOKOVIC M,4 - 5,234,CRO,3:54,Goal,1
5,Action shot,8.0,5,4,CRO,4,BUSLJE A,4 - 5,176,CRO,2:56,Post,0
5,Extra player shot,2.0,5,5,CRO,4,LONCAR L,5 - 5,121,CRO,2:01,Goal,1
5,Extra player shot,8.0,5,5,CRO,4,YOUNGER A,5 - 5,94,AUS,1:34,Saved,0
5,Centre shot,9.0,5,5,CRO,4,SWIFT J,5 - 5,64,AUS,1:04,Saved,0
5,Action shot,5.0,5,5,CRO,4,JOKOVIC M,5 - 5,42,CRO,0:42,Missed,0
5,Extra player shot,2.0,5,5,CRO,4,CAMPBELL R,5 - 5,1,AUS,0:01,Saved,0
5,Extra player shot,8.0,5,6,CRO,ET1,BUSLJE A,6 - 5,140,CRO,2:20,Goal,1
6,Action shot,2.0,5,6,CRO,ET1,CAMPBELL R,6 - 6,116,AUS,1:56,Goal,1
6,Action shot,2.0,5,6,CRO,ET1,CAMPBELL R,6 - 6,67,AUS,1:07,Saved,0
6,Extra player shot,9.0,5,6,CRO,ET1,SUKNO S,6 - 6,19,CRO,0:19,Blocked,0
6,Action shot,2.0,5,6,CRO,ET1,CAMPBELL R,6 - 6,1,AUS,0:01,Saved,0
6,5m shot,2.0,5,6,CRO,ET2,CAMPBELL R,6 - 6,154,AUS,2:34,Saved,0
6,Action shot,8.0,5,6,CRO,ET2,YOUNGER A,6 - 6,128,AUS,2:08,Saved,0
6,Action shot,8.0,5,6,CRO,ET2,YOUNGER A,6 - 6,98,AUS,1:38,Blocked,0
6,Action shot,9.0,5,6,CRO,ET2,SUKNO S,6 - 6,55,CRO,0:55,Post,0
