Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,4,6.0,3,2,BRA,2.0,CHRISTMAS K,2 - 4,452,CAN,7:32
Action shot - Blocked,4,2.0,3,2,BRA,2.0,ABLA D,2 - 4,427,BRA,7:07
Action shot - Saved,4,4.0,3,2,BRA,2.0,WRIGHT E,2 - 4,405,CAN,6:45
5m shot - Post,4,10.0,3,2,BRA,2.0,BAHIA V,2 - 4,383,BRA,6:23
Penalty foul,4,10.0,3,2,BRA,2.0,BAHIA V,2 - 4,367,BRA,6:07
Penalty shot - Saved,4,4.0,3,2,BRA,2.0,WRIGHT E,2 - 4,365,CAN,6:05
5m shot - Saved,4,9.0,3,2,BRA,2.0,McKELVEY H,2 - 4,338,CAN,5:38
Action shot - Goal,5,7.0,3,2,BRA,2.0,BEKHAZI J,2 - 5,329,CAN,5:29
Turnover foul,5,9.0,3,2,BRA,2.0,DIAS M,2 - 5,310,BRA,5:10
Steal,5,11.0,3,2,BRA,2.0,McKEE K,2 - 5,310,CAN,5:10
Counter attack - Saved,5,12.0,3,2,BRA,2.0,FOURNIER S,2 - 5,295,CAN,4:55
Action shot - Goal,6,6.0,3,2,BRA,2.0,CHRISTMAS K,2 - 6,286,CAN,4:46
20 sec. exclusion in centre,6,11.0,3,2,BRA,2.0,McKEE K,2 - 6,271,CAN,4:31
Extra player shot - Goal,6,11.0,3,3,BRA,2.0,DUARTE M,3 - 6,265,BRA,4:25
Action shot - Goal,7,2.0,3,3,BRA,2.0,ALOGBO K,3 - 7,245,CAN,4:05
20 sec. exclusion in centre,7,7.0,3,3,BRA,2.0,BEKHAZI J,3 - 7,222,CAN,3:42
Extra player shot - Saved,7,8.0,3,3,BRA,2.0,BRUZZO M,3 - 7,211,BRA,3:31
5m shot - Goal,8,6.0,3,3,BRA,2.0,CHRISTMAS K,3 - 8,183,CAN,3:03
Action shot - Goal,8,7.0,3,4,BRA,2.0,FERREIRA S,4 - 8,157,BRA,2:37
5m shot - Post,8,10.0,3,4,BRA,2.0,ROBINSON C,4 - 8,135,CAN,2:15
Steal,8,13.0,3,4,BRA,4.0,HAGE Y,4 - 8,89,CAN,1:29
Action shot - Post,8,3.0,3,4,BRA,4.0,CREVIER A,4 - 8,71,CAN,1:11
Time-Out,8,,3,4,BRA,4.0,,4 - 8,70,BRA,1:10
Turnover foul,8,5.0,3,4,BRA,4.0,AMARAL A,4 - 8,48,BRA,0:48
