Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,2.0,5,8,7,RUS,4.0,BRGULJAN D,8 - 7,407,MNE,6:47,Goal,1
5m shot,7.0,5,8,8,RUS,4.0,MERKULOV D,8 - 8,383,RUS,6:23,Goal,1
Extra player shot,6.0,5,8,8,RUS,4.0,RADOVIC A,8 - 8,366,MNE,6:06,Blocked,0
5m shot,9.0,5,8,8,RUS,4.0,SUCHKOV I,8 - 8,327,RUS,5:27,Saved,0
5m shot,6.0,5,9,8,RUS,4.0,RADOVIC A,9 - 8,303,MNE,5:03,Goal,1
5m shot,11.0,5,9,8,RUS,4.0,CUCKOVIC U,9 - 8,198,MNE,3:18,Saved,0
5m shot,6.0,5,9,8,RUS,4.0,RADOVIC A,9 - 8,39,MNE,0:39,Blocked,0
Centre shot,11.0,5,9,8,RUS,4.0,CUCKOVIC U,9 - 8,1,MNE,0:01,Saved,0
Extra player shot,2.0,6,1,0,ITA,1.0,BRGULJAN D,1 - 0,430,MNE,7:10,Goal,1
Centre shot,11.0,6,1,0,ITA,1.0,AICARDI M,1 - 0,397,ITA,6:37,Post,0
Action shot,9.0,6,1,1,ITA,1.0,RENZUTO IODICE V,1 - 1,329,ITA,5:29,Goal,1
Action shot,12.0,6,1,1,ITA,1.0,MURISIC N,1 - 1,311,MNE,5:11,Saved,0
5m shot,9.0,6,1,1,ITA,1.0,RENZUTO IODICE V,1 - 1,265,ITA,4:25,Saved,0
Action shot,12.0,6,1,1,ITA,1.0,MURISIC N,1 - 1,236,MNE,3:56,Post,0
5m shot,9.0,6,1,1,ITA,1.0,RENZUTO IODICE V,1 - 1,207,ITA,3:27,Blocked,0
Action shot,4.0,6,1,1,ITA,1.0,PETKOVIC M,1 - 1,136,MNE,2:16,Saved,0
5m shot,12.0,6,1,1,ITA,1.0,BERTOLI Z,1 - 1,106,ITA,1:46,Blocked,0
5m shot,9.0,6,1,1,ITA,1.0,RADOVIC D,1 - 1,81,MNE,1:21,Saved,0
5m shot,2.0,6,1,1,ITA,1.0,BRGULJAN D,1 - 1,35,MNE,0:35,Saved,0
Action shot,11.0,6,1,1,ITA,1.0,AICARDI M,1 - 1,9,ITA,0:09,Saved,0
5m shot,9.0,6,1,1,ITA,1.0,RENZUTO IODICE V,1 - 1,1,ITA,0:01,Blocked,0
Centre shot,7.0,6,1,1,ITA,2.0,DRASKOVIC D,1 - 1,445,MNE,7:25,Saved,0
5m shot,2.0,6,2,1,ITA,2.0,BRGULJAN D,2 - 1,409,MNE,6:49,Goal,1
Action shot,10.0,6,2,1,ITA,2.0,BODEGAS M,2 - 1,380,ITA,6:20,Post,0
5m shot,5.0,6,2,1,ITA,2.0,PRESCIUTTI N,2 - 1,333,ITA,5:33,Saved,0
5m shot,12.0,6,2,1,ITA,2.0,MURISIC N,2 - 1,298,MNE,4:58,Missed,0
5m shot,3.0,6,2,1,ITA,2.0,GITTO N,2 - 1,217,ITA,3:37,Blocked,0
5m shot,10.0,6,2,2,ITA,2.0,BODEGAS M,2 - 2,214,ITA,3:34,Goal,1
Counter attack,5.0,6,2,2,ITA,2.0,PRESCIUTTI N,2 - 2,186,ITA,3:06,Saved,0
Action shot,6.0,6,2,2,ITA,2.0,RADOVIC A,2 - 2,147,MNE,2:27,Saved,0
Action shot,2.0,6,2,2,ITA,2.0,di FULVIO F,2 - 2,129,ITA,2:09,Saved,0
Action shot,5.0,6,2,2,ITA,2.0,PRESCIUTTI N,2 - 2,79,ITA,1:19,Saved,0
5m shot,11.0,6,2,2,ITA,2.0,CUCKOVIC U,2 - 2,52,MNE,0:52,Saved,0
Action shot,9.0,6,2,2,ITA,4.0,RENZUTO IODICE V,2 - 2,106,ITA,1:46,Saved,0
5m shot,7.0,6,2,2,ITA,2.0,DRASKOVIC D,2 - 2,1,MNE,0:01,Blocked,0
Action shot,9.0,6,2,2,ITA,3.0,RENZUTO IODICE V,2 - 2,465,ITA,7:45,Saved,0
Action shot,3.0,6,2,2,ITA,3.0,BANICEVIC B,2 - 2,450,MNE,7:30,Saved,0
Action shot,9.0,6,2,2,ITA,3.0,RENZUTO IODICE V,2 - 2,412,ITA,6:52,Saved,0
Action shot,4.0,6,2,2,ITA,3.0,PETKOVIC M,2 - 2,378,MNE,6:18,Missed,0
5m shot,9.0,6,2,2,ITA,3.0,RENZUTO IODICE V,2 - 2,349,ITA,5:49,Missed,0
Extra player shot,2.0,6,3,2,ITA,3.0,BRGULJAN D,3 - 2,311,MNE,5:11,Goal,1
Action shot,2.0,6,3,2,ITA,3.0,di FULVIO F,3 - 2,289,ITA,4:49,Post,0
Action shot,7.0,6,4,2,ITA,3.0,DRASKOVIC D,4 - 2,267,MNE,4:27,Goal,1
Action shot,6.0,6,4,2,ITA,3.0,MIRARCHI C,4 - 2,243,ITA,4:03,Post,0
Extra player shot,6.0,6,4,3,ITA,3.0,MIRARCHI C,4 - 3,233,ITA,3:53,Goal,1
Action shot,2.0,6,4,3,ITA,3.0,di FULVIO F,4 - 3,201,ITA,3:21,Post,0
Counter attack,12.0,6,4,3,ITA,3.0,MURISIC N,4 - 3,190,MNE,3:10,Saved,0
5m shot,7.0,6,5,3,ITA,3.0,DRASKOVIC D,5 - 3,160,MNE,2:40,Goal,1
Action shot,2.0,6,5,3,ITA,3.0,BRGULJAN D,5 - 3,113,MNE,1:53,Saved,0
5m shot,6.0,6,5,4,ITA,3.0,MIRARCHI C,5 - 4,60,ITA,1:00,Goal,1
Action shot,10.0,6,5,4,ITA,3.0,MISIC S,5 - 4,38,MNE,0:38,Saved,0
5m shot,2.0,6,5,4,ITA,3.0,di FULVIO F,5 - 4,12,ITA,0:12,Saved,0
5m shot,9.0,6,5,4,ITA,3.0,RADOVIC D,5 - 4,1,MNE,0:01,Saved,0
Action shot,12.0,6,5,4,ITA,4.0,BERTOLI Z,5 - 4,452,ITA,7:32,Post,0
5m shot,6.0,6,5,4,ITA,4.0,MIRARCHI C,5 - 4,424,ITA,7:04,Post,0
5m shot,10.0,6,5,4,ITA,4.0,BODEGAS M,5 - 4,368,ITA,6:08,Blocked,0
Action shot,2.0,6,5,4,ITA,4.0,BRGULJAN D,5 - 4,337,MNE,5:37,Saved,0
5m shot,6.0,6,5,4,ITA,4.0,RADOVIC A,5 - 4,310,MNE,5:10,Missed,0
Action shot,6.0,6,5,4,ITA,4.0,MIRARCHI C,5 - 4,236,ITA,3:56,Missed,0
5m shot,4.0,6,5,4,ITA,4.0,PETKOVIC M,5 - 4,213,MNE,3:33,Saved,0
5m shot,9.0,6,5,4,ITA,4.0,RENZUTO IODICE V,5 - 4,193,ITA,3:13,Saved,0
5m shot,4.0,6,5,4,ITA,4.0,PETKOVIC M,5 - 4,152,MNE,2:32,Saved,0
