Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,7.0,3,3,1,RSA,1.0,ASIMAKI A,1 - 3,281,GRE,4:41,Goal,1
Extra player shot,6.0,3,3,1,RSA,1.0,AVRAMIDOU A,1 - 3,221,GRE,3:41,Saved,0
Action shot,3.0,3,3,1,RSA,1.0,CHARALAMPIDI S,1 - 3,183,GRE,3:03,Post,0
5m shot,12.0,3,3,1,RSA,1.0,WHITE K,1 - 3,168,RSA,2:48,Missed,0
Counter attack,3.0,4,3,1,RSA,1.0,CHARALAMPIDI S,1 - 4,160,GRE,2:40,Goal,1
Extra player shot,3.0,5,3,1,RSA,1.0,CHARALAMPIDI S,1 - 5,132,GRE,2:12,Goal,1
Action shot,3.0,5,3,1,RSA,1.0,PALEY K,1 - 5,105,RSA,1:45,Saved,0
5m shot,12.0,5,3,1,RSA,1.0,WHITE K,1 - 5,68,RSA,1:08,Missed,0
Action shot,2.0,5,3,1,RSA,1.0,TSOUKALA C,1 - 5,43,GRE,0:43,Saved,0
Action shot,6.0,6,3,1,RSA,2.0,AVRAMIDOU A,1 - 6,454,GRE,7:34,Goal,1
Action shot,7.0,7,3,1,RSA,2.0,ASIMAKI A,1 - 7,408,GRE,6:48,Goal,1
5m shot,12.0,7,3,1,RSA,2.0,WHITE K,1 - 7,331,RSA,5:31,Missed,0
Action shot,4.0,8,3,1,RSA,2.0,KOTSIA C,1 - 8,319,GRE,5:19,Goal,1
Action shot,7.0,9,3,1,RSA,2.0,ASIMAKI A,1 - 9,276,GRE,4:36,Goal,1
Penalty shot,11.0,9,3,1,RSA,2.0,PLEVRITOU E,1 - 9,243,GRE,4:03,Post,0
5m shot,11.0,9,3,1,RSA,2.0,PLEVRITOU E,1 - 9,198,GRE,3:18,Post,0
Extra player shot,9.0,10,3,1,RSA,2.0,CHARALAMPIDI I,1 - 10,159,GRE,2:39,Goal,1
Action shot,12.0,10,3,2,RSA,2.0,WHITE K,2 - 10,95,RSA,1:35,Goal,1
Action shot,2.0,11,3,2,RSA,2.0,TSOUKALA C,2 - 11,68,GRE,1:08,Goal,1
Action shot,11.0,11,3,2,RSA,2.0,PLEVRITOU E,2 - 11,14,GRE,0:14,Saved,0
