Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name
1.0,6:20,Turnover foul,1 - 1,RUS,KARIMOVA E,4.0,1,1,380,3,RUS
1.0,6:20,Steal,1 - 1,KAZ,TUROVA A,4.0,1,1,380,3,RUS
1.0,6:00,Turnover foul,1 - 1,KAZ,MYRZABEKOVA Z,10.0,1,1,360,3,RUS
1.0,6:00,Steal,1 - 1,RUS,KARIMOVA E,4.0,1,1,360,3,RUS
1.0,5:55,Action shot - Goal,2 - 1,RUS,SIMANOVICH A,8.0,2,1,355,3,RUS
1.0,5:35,20 sec. exclusion in field,2 - 1,RUS,RYZHKOVA D,12.0,2,1,335,3,RUS
1.0,5:05,Action shot - Missed,2 - 1,KAZ,ZAKIROVA K,5.0,2,1,305,3,RUS
1.0,5:05,Turnover foul,2 - 1,RUS,SIMANOVICH A,8.0,2,1,305,3,RUS
1.0,5:05,Steal,2 - 1,KAZ,ZAKIROVA K,5.0,2,1,305,3,RUS
1.0,4:37,5m shot - Saved,2 - 1,KAZ,MYRZABEKOVA Z,10.0,2,1,277,3,RUS
1.0,4:18,Action shot - Saved,2 - 1,RUS,GORBUNOVA O,6.0,2,1,258,3,RUS
1.0,3:45,5m shot - Post,2 - 1,KAZ,AKILBAYEVA A,3.0,2,1,225,3,RUS
1.0,3:38,Turnover foul,2 - 1,RUS,SIMANOVICH A,8.0,2,1,218,3,RUS
1.0,3:38,Steal,2 - 1,KAZ,MUSSAROVA A,12.0,2,1,218,3,RUS
1.0,3:38,Time-Out,2 - 1,KAZ,,,2,1,218,3,RUS
1.0,3:22,Turnover foul,2 - 1,KAZ,AKILBAYEVA A,3.0,2,1,202,3,RUS
1.0,3:22,Steal,2 - 1,RUS,GORBUNOVA O,6.0,2,1,202,3,RUS
1.0,3:07,5m shot - Post,2 - 1,RUS,RYZHKOVA D,12.0,2,1,187,3,RUS
1.0,2:53,Action shot - Goal,3 - 1,RUS,TIMOFEEVA A,9.0,3,1,173,3,RUS
1.0,2:24,Turnover foul,3 - 1,KAZ,TUROVA A,4.0,3,1,144,3,RUS
1.0,2:01,Centre shot - Post,3 - 1,RUS,SERZHANTOVA A,7.0,3,1,121,3,RUS
1.0,1:44,5m shot - Saved,3 - 1,KAZ,TUROVA A,4.0,3,1,104,3,RUS
1.0,1:23,Turnover foul,3 - 1,RUS,SERZHANTOVA A,7.0,3,1,83,3,RUS
1.0,1:23,Steal,3 - 1,KAZ,ROGA D,6.0,3,1,83,3,RUS
1.0,1:11,Turnover foul,3 - 1,KAZ,ZHARKIMBAYEVA A,1.0,3,1,71,3,RUS
1.0,1:11,Steal,3 - 1,RUS,RYZHKOVA D,12.0,3,1,71,3,RUS
1.0,0:59,Action shot - Goal,4 - 1,RUS,TIMOFEEVA A,9.0,4,1,59,3,RUS
1.0,0:45,20 sec. exclusion in field,4 - 1,RUS,RYZHKOVA D,12.0,4,1,45,3,RUS
1.0,0:19,Action shot - Saved,4 - 1,KAZ,ZAKIROVA K,5.0,4,1,19,3,RUS
1.0,0:04,Penalty foul,4 - 1,KAZ,SAICHUK O,8.0,4,1,4,3,RUS
1.0,0:04,Penalty shot - Goal,5 - 1,RUS,SERZHANTOVA A,7.0,5,1,4,3,RUS
1.0,0:01,5m shot - Missed,5 - 1,KAZ,ZAKIROVA K,5.0,5,1,1,3,RUS
2.0,8:00,Starting goalkeeper,5 - 1,RUS,USTIUKHINA A,1.0,5,1,480,3,RUS
2.0,8:00,Starting goalkeeper,5 - 1,KAZ,ZHARKIMBAYEVA A,1.0,5,1,480,3,RUS
2.0,8:00,Sprint won possession,5 - 1,RUS,SERZHANTOVA A,7.0,5,1,480,3,RUS
2.0,7:32,Turnover foul,5 - 1,RUS,SERZHANTOVA A,7.0,5,1,452,3,RUS
2.0,7:16,Centre shot - Missed,5 - 1,KAZ,MYRZABEKOVA Z,10.0,5,1,436,3,RUS
