Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name,Result,Goal
3.0,6:57,Centre shot,4 - 5,RSA,PALEY K,3.0,4,5,417,5,RSA,Saved,0
3.0,6:23,5m shot,4 - 5,KAZ,MIRSHINA A,11.0,4,5,383,5,RSA,Saved,0
3.0,5:45,Centre shot,4 - 5,KAZ,TUROVA A,4.0,4,5,345,5,RSA,Missed,0
3.0,5:16,5m shot,4 - 5,RSA,WHITE K,12.0,4,5,316,5,RSA,Saved,0
3.0,4:29,Centre shot,4 - 5,RSA,PALEY K,3.0,4,5,269,5,RSA,Saved,0
3.0,3:41,Centre shot,4 - 5,RSA,SMIT Z,9.0,4,5,221,5,RSA,Post,0
3.0,2:59,Counter attack,4 - 4,RSA,BARRETT N,11.0,4,4,179,5,RSA,Goal,1
4.0,7:42,Centre shot,4 - 4,RSA,SMIT Z,9.0,4,4,462,5,RSA,Saved,0
4.0,7:12,5m shot,4 - 4,KAZ,ZAKIROVA K,5.0,4,4,432,5,RSA,Saved,0
4.0,6:36,Extra player shot,4 - 4,KAZ,ROGA D,6.0,4,4,396,5,RSA,Missed,0
4.0,6:13,Action shot,4 - 4,RSA,HALLENDORFF A,6.0,4,4,373,5,RSA,Saved,0
4.0,5:42,5m shot,4 - 4,KAZ,AKILBAYEVA A,3.0,4,4,342,5,RSA,Saved,0
4.0,4:39,Action shot,4 - 4,RSA,SCHOOLING M,5.0,4,4,279,5,RSA,Missed,0
4.0,0:50,Extra player shot,4 - 4,RSA,PALEY K,3.0,4,4,50,5,RSA,Saved,0
4.0,0:01,5m shot,4 - 6,KAZ,MUSSAROVA A,12.0,4,6,1,5,RSA,Goal,1
