Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Penalty foul,4.0,2,2,8,ITA,3.0,REAL J,8 - 2,305,GER,5:05
Penalty shot - Saved,8.0,2,2,8,ITA,3.0,GALLO V,8 - 2,305,ITA,5:05
Turnover foul,9.0,2,2,8,ITA,3.0,STAMM M,8 - 2,278,GER,4:38
5m shot - Saved,7.0,2,2,8,ITA,3.0,FIGARI N,8 - 2,258,ITA,4:18
Turnover foul,2.0,2,2,8,ITA,3.0,PEREZ A,8 - 2,244,ITA,4:04
5m shot - Goal,7.0,3,2,8,ITA,3.0,NOSSEK H,8 - 3,231,GER,3:51
Action shot - Saved,4.0,3,2,8,ITA,3.0,FIGLIOLI P,8 - 3,205,ITA,3:25
20 sec. exclusion in centre,11.0,3,2,8,ITA,3.0,AICARDI M,8 - 3,193,ITA,3:13
Extra player shot - Blocked,6.0,3,2,8,ITA,3.0,JUENGLING M,8 - 3,178,GER,2:58
Action shot - Goal,3.0,4,2,8,ITA,3.0,MIERS E,8 - 4,170,GER,2:50
5m shot - Post,4.0,4,2,8,ITA,3.0,FIGLIOLI P,8 - 4,140,ITA,2:20
20 sec. exclusion in field,9.0,4,2,8,ITA,3.0,STAMM M,8 - 4,107,GER,1:47
Time-Out,,4,2,8,ITA,3.0,,8 - 4,107,ITA,1:47
Action shot - Blocked,5.0,4,2,8,ITA,3.0,GIORGETTI A,8 - 4,84,ITA,1:24
5m shot - Post,8.0,4,2,8,ITA,3.0,GALLO V,8 - 4,55,ITA,0:55
5m shot - Goal,4.0,5,2,8,ITA,3.0,REAL J,8 - 5,26,GER,0:26
5m shot - Goal,8.0,5,2,9,ITA,3.0,GALLO V,9 - 5,5,ITA,0:05
5m shot - Saved,12.0,5,2,9,ITA,3.0,EIDNER D,9 - 5,1,GER,0:01
Starting goalkeeper,13.0,5,2,9,ITA,4.0,SCHENKEL M,9 - 5,480,GER,8:00
Starting goalkeeper,1.0,5,2,9,ITA,4.0,TEMPESTI S,9 - 5,480,ITA,8:00
Sprint won possession,4.0,5,2,9,ITA,4.0,FIGLIOLI P,9 - 5,480,ITA,8:00
Turnover foul,6.0,5,2,9,ITA,4.0,FELUGO M,9 - 5,459,ITA,7:39
Steal,9.0,5,2,9,ITA,4.0,STAMM M,9 - 5,459,GER,7:39
Turnover foul,12.0,5,2,9,ITA,4.0,EIDNER D,9 - 5,434,GER,7:14
Counter attack - Post,9.0,5,2,9,ITA,4.0,PRESCIUTTI C,9 - 5,420,ITA,7:00
5m shot - Saved,4.0,5,2,9,ITA,4.0,FIGLIOLI P,9 - 5,391,ITA,6:31
5m shot - Missed,6.0,5,2,9,ITA,4.0,FELUGO M,9 - 5,363,ITA,6:03
Turnover foul,10.0,5,2,9,ITA,4.0,OELER M,9 - 5,345,GER,5:45
