Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,5.0,5,1,3,KAZ,2.0,SHAKENOV M,5 - 3,202,KAZ,3:22,Post,0
Extra player shot,3.0,5,1,3,KAZ,2.0,MIERS E,5 - 3,163,GER,2:43,Post,0
Centre shot,11.0,5,1,3,KAZ,2.0,MANAFOV R,5 - 3,141,KAZ,2:21,Saved,0
5m shot,8.0,6,1,3,KAZ,2.0,SCHUELER P,6 - 3,118,GER,1:58,Goal,1
Extra player shot,9.0,6,1,3,KAZ,2.0,UKUMANOV R,6 - 3,73,KAZ,1:13,Saved,0
5m shot,7.0,6,1,3,KAZ,2.0,NOSSEK H,6 - 3,13,GER,0:13,Saved,0
5m shot,2.0,6,1,3,KAZ,3.0,BUKOWSKI E,6 - 3,450,GER,7:30,Missed,0
Extra player shot,2.0,6,1,4,KAZ,3.0,GUBAREV S,6 - 4,414,KAZ,6:54,Goal,1
5m shot,4.0,6,1,4,KAZ,3.0,REAL J,6 - 4,292,GER,4:52,Saved,0
5m shot,10.0,7,1,4,KAZ,3.0,OELER M,7 - 4,244,GER,4:04,Goal,1
Action shot,5.0,7,1,4,KAZ,3.0,SHAKENOV M,7 - 4,203,KAZ,3:23,Saved,0
Action shot,6.0,7,1,4,KAZ,3.0,JUENGLING M,7 - 4,177,GER,2:57,Blocked,0
5m shot,2.0,7,1,4,KAZ,3.0,BUKOWSKI E,7 - 4,134,GER,2:14,Post,0
5m shot,3.0,7,1,4,KAZ,3.0,MEDVEDEV Y,7 - 4,104,KAZ,1:44,Blocked,0
5m shot,12.0,7,1,4,KAZ,3.0,EIDNER D,7 - 4,86,GER,1:26,Blocked,0
5m shot,7.0,7,1,4,KAZ,3.0,USHAKOV V,7 - 4,47,KAZ,0:47,Saved,0
Penalty shot,7.0,8,1,4,KAZ,3.0,NOSSEK H,8 - 4,36,GER,0:36,Goal,1
Centre shot,9.0,9,1,4,KAZ,3.0,STAMM M,9 - 4,8,GER,0:08,Goal,1
5m shot,7.0,9,1,4,KAZ,3.0,USHAKOV V,9 - 4,2,KAZ,0:02,Saved,0
5m shot,9.0,9,1,4,KAZ,4.0,UKUMANOV R,9 - 4,393,KAZ,6:33,Post,0
Centre shot,11.0,9,1,4,KAZ,4.0,SCHLOTTERBECK A,9 - 4,365,GER,6:05,Saved,0
5m shot,10.0,9,1,4,KAZ,4.0,OELER M,9 - 4,269,GER,4:29,Saved,0
5m shot,7.0,9,1,5,KAZ,4.0,USHAKOV V,9 - 5,240,KAZ,4:00,Goal,1
5m shot,7.0,9,1,5,KAZ,4.0,NOSSEK H,9 - 5,192,GER,3:12,Saved,0
Counter attack,2.0,9,1,6,KAZ,4.0,GUBAREV S,9 - 6,178,KAZ,2:58,Goal,1
Counter attack,4.0,9,1,7,KAZ,4.0,PILIPENKO R,9 - 7,148,KAZ,2:28,Goal,1
5m shot,10.0,9,1,7,KAZ,4.0,OELER M,9 - 7,119,GER,1:59,Saved,0
