Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,5,9,7,GRE,4.0,XENAKI E,9 - 7,334,GRE,5:34,Saved,0
Action shot,5.0,5,9,7,GRE,4.0,SZUCS G,9 - 7,284,HUN,4:44,Missed,0
Action shot,12.0,5,9,7,GRE,4.0,SZILAGYI D,9 - 7,247,HUN,4:07,Blocked,0
Action shot,11.0,5,9,8,GRE,4.0,PLEVRITOU E,9 - 8,220,GRE,3:40,Goal,1
Action shot,8.0,5,10,8,GRE,4.0,KESZTHELYI R,10 - 8,197,HUN,3:17,Goal,1
5m shot,10.0,5,10,8,GRE,4.0,MANOLIOUDAKI T,10 - 8,43,GRE,0:43,Missed,0
5m shot,8.0,5,10,8,GRE,4.0,KESZTHELYI R,10 - 8,16,HUN,0:16,Blocked,0
5m shot,4.0,5,10,8,GRE,4.0,ELEFTHERIADOU N,10 - 8,1,GRE,0:01,Blocked,0
5m shot,5,6,0,0,ITA,1.0,RADICCHI F,0 - 0,451,ITA,7:31,Saved,0
5m shot,8,6,0,0,ITA,1.0,BIANCONI R,0 - 0,395,ITA,6:35,Post,0
Action shot,10,6,1,0,ITA,1.0,BUJKA B,0 - 1,372,HUN,6:12,Goal,1
Extra player shot,8,6,1,1,ITA,1.0,BIANCONI R,1 - 1,342,ITA,5:42,Goal,1
5m shot,5,6,1,1,ITA,1.0,RADICCHI F,1 - 1,294,ITA,4:54,Saved,0
Action shot,8,6,1,1,ITA,1.0,KESZTHELYI R,1 - 1,281,HUN,4:41,Saved,0
Extra player shot,12,6,2,1,ITA,1.0,SZILAGYI D,1 - 2,250,HUN,4:10,Goal,1
Action shot,10,6,2,1,ITA,1.0,BUJKA B,1 - 2,188,HUN,3:08,Saved,0
5m shot,9,6,2,1,ITA,1.0,EMMOLO G,1 - 2,146,ITA,2:26,Blocked,0
5m shot,8,6,2,1,ITA,1.0,KESZTHELYI R,1 - 2,117,HUN,1:57,Saved,0
Action shot,3,6,3,1,ITA,1.0,ANTAL D,1 - 3,73,HUN,1:13,Goal,1
5m shot,8,6,3,2,ITA,1.0,BIANCONI R,2 - 3,13,ITA,0:13,Goal,1
5m shot,10,6,3,2,ITA,1.0,BUJKA B,2 - 3,1,HUN,0:01,Post,0
Counter attack,8,6,4,2,ITA,2.0,KESZTHELYI R,2 - 4,415,HUN,6:55,Goal,1
5m shot,4,6,4,2,ITA,2.0,QUEIROLO E,2 - 4,393,ITA,6:33,Blocked,0
5m shot,2,6,4,2,ITA,2.0,CZIGANY D,2 - 4,370,HUN,6:10,Saved,0
Action shot,9,6,4,2,ITA,2.0,EMMOLO G,2 - 4,321,ITA,5:21,Saved,0
Action shot,3,6,4,3,ITA,2.0,GARIBOTTI A,3 - 4,314,ITA,5:14,Goal,1
5m shot,8,6,5,3,ITA,2.0,KESZTHELYI R,3 - 5,249,HUN,4:09,Goal,1
5m shot,11,6,5,3,ITA,2.0,COTTI A,3 - 5,224,ITA,3:44,Saved,0
5m shot,7,6,5,3,ITA,2.0,ILLES A,3 - 5,171,HUN,2:51,Post,0
Action shot,12,6,5,3,ITA,4.0,SZILAGYI D,3 - 5,115,HUN,1:55,Saved,0
Extra player shot,3.0,6,5,4,ITA,2.0,GARIBOTTI A,4 - 5,107,ITA,1:47,Goal,1
Action shot,4.0,6,6,4,ITA,2.0,GURISATTI G,4 - 6,79,HUN,1:19,Goal,1
5m shot,11.0,6,6,4,ITA,2.0,COTTI A,4 - 6,52,ITA,0:52,Saved,0
Action shot,2.0,6,6,4,ITA,2.0,CZIGANY D,4 - 6,36,HUN,0:36,Post,0
5m shot,8.0,6,6,4,ITA,2.0,KESZTHELYI R,4 - 6,7,HUN,0:07,Post,0
5m shot,11.0,6,6,4,ITA,2.0,COTTI A,4 - 6,1,ITA,0:01,Missed,0
Extra player shot,12.0,6,7,4,ITA,3.0,SZILAGYI D,4 - 7,441,HUN,7:21,Goal,1
5m shot,3.0,6,7,4,ITA,3.0,GARIBOTTI A,4 - 7,415,ITA,6:55,Saved,0
Action shot,8.0,6,7,4,ITA,3.0,KESZTHELYI R,4 - 7,392,HUN,6:32,Missed,0
Action shot,3.0,6,7,4,ITA,3.0,GARIBOTTI A,4 - 7,352,ITA,5:52,Saved,0
5m shot,12.0,6,7,4,ITA,3.0,SZILAGYI D,4 - 7,323,HUN,5:23,Post,0
Penalty shot,8.0,6,7,5,ITA,3.0,BIANCONI R,5 - 7,307,ITA,5:07,Goal,1
Action shot,10.0,6,7,5,ITA,3.0,BUJKA B,5 - 7,278,HUN,4:38,Blocked,0
5m shot,2.0,6,7,5,ITA,3.0,TABANI C,5 - 7,247,ITA,4:07,Saved,0
5m shot,2.0,6,7,5,ITA,3.0,CZIGANY D,5 - 7,221,HUN,3:41,Saved,0
Action shot,4.0,6,7,5,ITA,3.0,QUEIROLO E,5 - 7,157,ITA,2:37,Blocked,0
Action shot,2.0,6,7,5,ITA,3.0,TABANI C,5 - 7,129,ITA,2:09,Post,0
Extra player shot,3.0,6,7,6,ITA,3.0,GARIBOTTI A,6 - 7,80,ITA,1:20,Goal,1
Action shot,8.0,6,8,6,ITA,3.0,KESZTHELYI R,6 - 8,44,HUN,0:44,Goal,1
Action shot,6.0,6,8,6,ITA,3.0,AIELLO R,6 - 8,16,ITA,0:16,Saved,0
Action shot,5.0,6,8,6,ITA,3.0,SZUCS G,6 - 8,7,HUN,0:07,Missed,0
5m shot,8.0,6,8,6,ITA,4.0,BIANCONI R,6 - 8,460,ITA,7:40,Post,0
Action shot,12.0,6,8,6,ITA,4.0,SZILAGYI D,6 - 8,439,HUN,7:19,Post,0
5m shot,9.0,6,8,6,ITA,4.0,EMMOLO G,6 - 8,409,ITA,6:49,Blocked,0
Extra player shot,11.0,6,9,6,ITA,4.0,CSABAI D,6 - 9,336,HUN,5:36,Goal,1
5m shot,3.0,6,9,7,ITA,4.0,GARIBOTTI A,7 - 9,313,ITA,5:13,Goal,1
Action shot,2.0,6,10,7,ITA,4.0,CZIGANY D,7 - 10,283,HUN,4:43,Goal,1
Extra player shot,7.0,6,10,7,ITA,4.0,PICOZZI D,7 - 10,242,ITA,4:02,Saved,0
5m shot,8.0,6,10,7,ITA,4.0,BIANCONI R,7 - 10,227,ITA,3:47,Post,0
5m shot,2.0,6,10,7,ITA,4.0,CZIGANY D,7 - 10,198,HUN,3:18,Missed,0
Penalty shot,8.0,6,10,8,ITA,4.0,BIANCONI R,8 - 10,190,ITA,3:10,Goal,1
Action shot,2.0,6,10,8,ITA,4.0,CZIGANY D,8 - 10,159,HUN,2:39,Missed,0
5m shot,ITA 8,6,10,8,ITA,4.0,BIANCONI R,8 - 10,44,,0:44,Saved,0
