Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Penalty shot,2.0,3,9,11,USA,4.0,DI FULVIO F,11 - 9,66,ITA,1:06,Goal,1
Extra player shot,2.0,3,9,11,USA,4.0,DI FULVIO F,11 - 9,6,ITA,0:06,Saved,0
5m shot,2.0,4,0,0,CAN,1.0,KUDABA C,0 - 0,432,CAN,7:12,Post,0
Action shot,2.0,4,0,0,CAN,1.0,KUDABA C,0 - 0,296,CAN,4:56,Missed,0
5m shot,8.0,4,0,0,CAN,1.0,GRAHAM K,0 - 0,215,CAN,3:35,Saved,0
5m shot,2.0,4,0,0,CAN,1.0,KUDABA C,0 - 0,188,CAN,3:08,Blocked,0
Extra player shot,9.0,4,1,0,CAN,1.0,GITTO N,0 - 1,160,ITA,2:40,Goal,1
Extra player shot,12.0,4,1,0,CAN,1.0,MCELROY J,0 - 1,133,CAN,2:13,Saved,0
Action shot,4.0,4,1,0,CAN,1.0,FIGLIOLI P,0 - 1,108,ITA,1:48,Blocked,0
Action shot,8.0,4,1,0,CAN,1.0,GRAHAM K,0 - 1,80,CAN,1:20,Saved,0
Counter attack,8.0,4,1,0,CAN,1.0,PRESCIUTTI N,0 - 1,55,ITA,0:55,Saved,0
5m shot,8.0,4,1,0,CAN,1.0,GRAHAM K,0 - 1,37,CAN,0:37,Saved,0
Centre shot,5.0,4,2,0,CAN,1.0,GIORGETTI A,0 - 2,20,ITA,0:20,Goal,1
5m shot,10.0,4,2,0,CAN,1.0,CONWAY J,0 - 2,5,CAN,0:05,Post,0
5m shot,2.0,4,2,0,CAN,1.0,DI FULVIO F,0 - 2,0,ITA,0:00,Saved,0
Penalty shot,10.0,4,2,0,CAN,2.0,CONWAY J,0 - 2,439,CAN,7:19,Saved,0
5m shot,11.0,4,2,0,CAN,2.0,TORAKIS G,0 - 2,381,CAN,6:21,Saved,0
5m shot,11.0,4,2,1,CAN,2.0,TORAKIS G,1 - 2,361,CAN,6:01,Goal,1
Extra player shot,3.0,4,2,1,CAN,2.0,VELOTTO A,1 - 2,319,ITA,5:19,Saved,0
5m shot,5.0,4,2,1,CAN,2.0,GIORGETTI A,1 - 2,265,ITA,4:25,Missed,0
5m shot,10.0,4,2,1,CAN,2.0,LUONGO S,1 - 2,220,ITA,3:40,Post,0
Action shot,10.0,4,2,1,CAN,2.0,CONWAY J,1 - 2,149,CAN,2:29,Saved,0
5m shot,11.0,4,2,1,CAN,2.0,TORAKIS G,1 - 2,124,CAN,2:04,Post,0
Centre shot,11.0,4,3,1,CAN,2.0,AICARDI M,1 - 3,97,ITA,1:37,Goal,1
5m shot,5.0,4,3,1,CAN,2.0,BOYD J,1 - 3,70,CAN,1:10,Post,0
5m shot,8.0,4,3,1,CAN,2.0,GRAHAM K,1 - 3,2,CAN,0:02,Post,0
5m shot,5.0,4,3,1,CAN,3.0,BOYD J,1 - 3,429,CAN,7:09,Saved,0
5m shot,10.0,4,3,1,CAN,3.0,LUONGO S,1 - 3,382,ITA,6:22,Missed,0
Extra player shot,5.0,4,3,1,CAN,3.0,BOYD J,1 - 3,350,CAN,5:50,Saved,0
5m shot,11.0,4,3,1,CAN,3.0,TORAKIS G,1 - 3,264,CAN,4:24,Blocked,0
Action shot,11.0,4,3,1,CAN,3.0,AICARDI M,1 - 3,243,ITA,4:03,Saved,0
Extra player shot,2.0,4,3,2,CAN,3.0,KUDABA C,2 - 3,214,CAN,3:34,Goal,1
Action shot,5.0,4,3,2,CAN,3.0,GIORGETTI A,2 - 3,191,ITA,3:11,Saved,0
Action shot,5.0,4,4,2,CAN,3.0,GIORGETTI A,2 - 4,132,ITA,2:12,Goal,1
5m shot,4.0,4,5,2,CAN,3.0,FIGLIOLI P,2 - 5,95,ITA,1:35,Goal,1
Action shot,10.0,4,5,2,CAN,3.0,CONWAY J,2 - 5,1,CAN,0:01,Missed,0
5m shot,9.0,4,5,2,CAN,4.0,GITTO N,2 - 5,451,ITA,7:31,Post,0
Extra player shot,12.0,4,5,2,CAN,4.0,MCELROY J,2 - 5,421,CAN,7:01,Post,0
Extra player shot,9.0,4,6,2,CAN,4.0,GITTO N,2 - 6,393,ITA,6:33,Goal,1
5m shot,5.0,4,6,2,CAN,4.0,BOYD J,2 - 6,370,CAN,6:10,Saved,0
Action shot,8.0,4,6,2,CAN,4.0,GRAHAM K,2 - 6,351,CAN,5:51,Blocked,0
Action shot,12.0,4,7,2,CAN,4.0,BARALDI F,2 - 7,324,ITA,5:24,Goal,1
Penalty shot,12.0,4,7,2,CAN,4.0,MCELROY J,2 - 7,296,CAN,4:56,Saved,0
5m shot,9.0,4,7,2,CAN,4.0,HALAJIAN M,2 - 7,279,CAN,4:39,Saved,0
5m shot,6.0,4,7,2,CAN,4.0,FONDELLI A,2 - 7,245,ITA,4:05,Post,0
5m shot,10.0,4,7,2,CAN,4.0,LUONGO S,2 - 7,149,ITA,2:29,Saved,0
Action shot,7.0,4,7,2,CAN,4.0,TASCHEREAU A,2 - 7,72,CAN,1:12,Missed,0
Extra player shot,3.0,4,8,2,CAN,4.0,VELOTTO A,2 - 8,52,ITA,0:52,Goal,1
Action shot,6.0,4,8,2,CAN,4.0,FONDELLI A,2 - 8,8,ITA,0:08,Post,0
Action shot,4.0,5,0,0,HUN,1.0,FIGLIOLI P,0 - 0,442,ITA,7:22,Saved,0
Extra player shot,10.0,5,0,1,HUN,1.0,VARGA D,1 - 0,360,HUN,6:00,Goal,1
5m shot,7.0,5,0,1,HUN,1.0,GIACOPPO M,1 - 0,330,ITA,5:30,Saved,0
5m shot,4.0,5,0,1,HUN,1.0,FIGLIOLI P,1 - 0,272,ITA,4:32,Missed,0
5m shot,9.0,5,0,1,HUN,1.0,VARGA D,1 - 0,251,HUN,4:11,Missed,0
Action shot,4.0,5,0,1,HUN,1.0,FIGLIOLI P,1 - 0,223,ITA,3:43,Saved,0
5m shot,5.0,5,0,1,HUN,1.0,VAMOS M,1 - 0,193,HUN,3:13,Blocked,0
Extra player shot,4.0,5,0,2,HUN,1.0,ERDELYI B,2 - 0,115,HUN,1:55,Goal,1
Extra player shot,5.0,5,1,2,HUN,1.0,GIORGETTI A,2 - 1,85,ITA,1:25,Goal,1
Extra player shot,3.0,5,1,2,HUN,1.0,MADARAS N,2 - 1,44,HUN,0:44,Blocked,0
Extra player shot,12.0,5,2,2,HUN,1.0,BARALDI F,2 - 2,1,ITA,0:01,Goal,1
Extra player shot,9.0,5,2,3,HUN,2.0,VARGA D,3 - 2,405,HUN,6:45,Goal,1
Extra player shot,2.0,5,3,3,HUN,2.0,DI FULVIO F,3 - 3,370,ITA,6:10,Goal,1
Action shot,2.0,5,3,3,HUN,2.0,DI FULVIO F,3 - 3,318,ITA,5:18,Saved,0
Action shot,9.0,5,3,3,HUN,2.0,VARGA D,3 - 3,296,HUN,4:56,Post,0
Extra player shot,6.0,5,3,3,HUN,2.0,FONDELLI A,3 - 3,252,ITA,4:12,Blocked,0
Extra player shot,9.0,5,3,4,HUN,2.0,VARGA D,4 - 3,222,HUN,3:42,Goal,1
Extra player shot,5.0,5,3,4,HUN,2.0,GIORGETTI A,4 - 3,190,ITA,3:10,Post,0
Extra player shot,6.0,5,3,4,HUN,2.0,HOSNYANSZKY N,4 - 3,159,HUN,2:39,Blocked,0
Action shot,11.0,5,3,4,HUN,2.0,AICARDI M,4 - 3,131,ITA,2:11,Saved,0
5m shot,8.0,5,3,4,HUN,2.0,SZIVOS M,4 - 3,102,HUN,1:42,Blocked,0
5m shot,6.0,5,3,4,HUN,2.0,HOSNYANSZKY N,4 - 3,77,HUN,1:17,Saved,0
Action shot,8.0,5,3,4,HUN,2.0,PRESCIUTTI N,4 - 3,46,ITA,0:46,Saved,0
Extra player shot,2.0,5,3,4,HUN,2.0,DI FULVIO F,4 - 3,1,ITA,0:01,Post,0
Action shot,2.0,5,3,4,HUN,3.0,DI FULVIO F,4 - 3,451,ITA,7:31,Saved,0
Action shot,12.0,5,3,4,HUN,3.0,HARAI B,4 - 3,405,HUN,6:45,Saved,0
5m shot,6.0,5,3,4,HUN,3.0,FONDELLI A,4 - 3,373,ITA,6:13,Post,0
5m shot,6.0,5,3,4,HUN,3.0,HOSNYANSZKY N,4 - 3,352,HUN,5:52,Missed,0
5m shot,2.0,5,3,4,HUN,3.0,DI FULVIO F,4 - 3,322,ITA,5:22,Saved,0
5m shot,9.0,5,3,4,HUN,3.0,VARGA D,4 - 3,260,HUN,4:20,Saved,0
Extra player shot,4.0,5,3,4,HUN,3.0,FIGLIOLI P,4 - 3,222,ITA,3:42,Blocked,0
Counter attack,3.0,5,3,4,HUN,3.0,MADARAS N,4 - 3,201,HUN,3:21,Saved,0
Extra player shot,9.0,5,3,5,HUN,3.0,VARGA D,5 - 3,165,HUN,2:45,Goal,1
Action shot,10.0,5,3,5,HUN,3.0,VARGA D,5 - 3,117,HUN,1:57,Saved,0
Extra player shot,4.0,5,4,5,HUN,3.0,FIGLIOLI P,5 - 4,70,ITA,1:10,Goal,1
5m shot,10.0,5,5,5,HUN,3.0,LUONGO S,5 - 5,1,ITA,0:01,Goal,1
5m shot,9.0,5,5,5,HUN,4.0,VARGA D,5 - 5,455,HUN,7:35,Saved,0
Action shot,2.0,5,5,5,HUN,4.0,GOR-NAGY M,5 - 5,425,HUN,7:05,Saved,0
Extra player shot,2.0,5,6,5,HUN,4.0,DI FULVIO F,5 - 6,373,ITA,6:13,Goal,1
Extra player shot,12.0,5,6,6,HUN,4.0,HARAI B,6 - 6,335,HUN,5:35,Goal,1
Extra player shot,8.0,5,7,6,HUN,4.0,PRESCIUTTI N,6 - 7,298,ITA,4:58,Goal,1
Extra player shot,4.0,5,7,6,HUN,4.0,ERDELYI B,6 - 7,263,HUN,4:23,Post,0
Extra player shot,10.0,5,8,6,HUN,4.0,LUONGO S,6 - 8,220,ITA,3:40,Goal,1
Extra player shot,6.0,5,8,7,HUN,4.0,HOSNYANSZKY N,7 - 8,181,HUN,3:01,Goal,1
Action shot,11.0,5,8,7,HUN,4.0,AICARDI M,7 - 8,156,ITA,2:36,Saved,0
5m shot,10.0,5,8,7,HUN,4.0,LUONGO S,7 - 8,107,ITA,1:47,Saved,0
Action shot,8.0,5,8,7,HUN,4.0,SZIVOS M,7 - 8,36,HUN,0:36,Saved,0
Extra player shot,7.0,6,0,0,SRB,1.0,GIACOPPO M,0 - 0,443,ITA,7:23,Post,0
5m shot,4.0,6,0,0,SRB,1.0,FIGLIOLI P,0 - 0,426,ITA,7:06,Post,0
Extra player shot,11.0,6,0,1,SRB,1.0,PRLAINOVIC A,0 - 1,393,SRB,6:33,Goal,1
Extra player shot,2.0,6,0,1,SRB,1.0,DI FULVIO F,0 - 1,305,ITA,5:05,Post,0
Action shot,2.0,6,0,1,SRB,1.0,DI FULVIO F,0 - 1,296,ITA,4:56,Saved,0
Counter attack,5.0,6,0,2,SRB,1.0,CUK M,0 - 2,279,SRB,4:39,Goal,1
Centre shot,12.0,6,0,3,SRB,1.0,MITROVIC S,0 - 3,235,SRB,3:55,Goal,1
Extra player shot,10.0,6,0,3,SRB,1.0,FILIPOVIC F,0 - 3,190,SRB,3:10,Saved,0
Action shot,2.0,6,0,4,SRB,1.0,MANDIC D,0 - 4,186,SRB,3:06,Goal,1
