Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
5m shot,2.0,4,10,USA,3.0,HOOPER J,4,4 - 10,4,USA,0:04,Saved,0
5m shot,7.0,4,10,USA,3.0,RABIE L,4,4 - 10,1,RSA,0:01,Saved,0
5m shot,12.0,4,10,USA,4.0,OLVER R,4,4 - 10,420,RSA,7:00,Saved,0
Centre shot,11.0,4,11,USA,4.0,ROELSE A,4,4 - 11,408,USA,6:48,Goal,1
5m shot,12.0,4,11,USA,4.0,OLVER R,4,4 - 11,342,RSA,5:42,Missed,0
Action shot,8.0,4,11,USA,4.0,CARNIGLIA N,4,4 - 11,317,USA,5:17,Saved,0
Action shot,5.0,4,11,USA,4.0,HALLOCK B,4,4 - 11,152,USA,2:32,Saved,0
5m shot,11.0,4,11,USA,4.0,MOLYNEUX N,4,4 - 11,70,RSA,1:10,Missed,0
Action shot,2.0,4,11,USA,4.0,HOOPER J,4,4 - 11,57,USA,0:57,Post,0
5m shot,2.0,4,11,USA,4.0,le ROUX E,4,4 - 11,28,RSA,0:28,Blocked,0
Action shot,4.0,4,13,USA,4.0,OBERT A,4,4 - 13,3,USA,0:03,Goal,1
5m shot,8.0,5,0,CAN,1.0,RODDA N,1,0 - 1,453,RSA,7:33,Goal,1
Penalty shot,12.0,5,0,CAN,1.0,THUMWOOD D,1,0 - 1,438,CAN,7:18,Missed,0
Action shot,2.0,5,0,CAN,1.0,le ROUX E,2,0 - 2,357,RSA,5:57,Goal,1
Centre shot,4.0,5,1,CAN,1.0,CONSTANTIN-BICARI,2,1 - 2,337,CAN,5:37,Goal,1
Action shot,2.0,5,1,CAN,1.0,le ROUX E,2,1 - 2,310,RSA,5:10,Missed,0
5m shot,10.0,5,1,CAN,1.0,SOLEIMANIPAK A,2,1 - 2,293,CAN,4:53,Saved,0
Action shot,7.0,5,1,CAN,1.0,RABIE L,2,1 - 2,271,RSA,4:31,Saved,0
5m shot,7.0,5,1,CAN,1.0,D'SOUZA R,2,1 - 2,218,CAN,3:38,Blocked,0
Action shot,5.0,5,1,CAN,1.0,BROWN C,2,1 - 2,199,RSA,3:19,Saved,0
5m shot,8.0,5,1,CAN,1.0,LAPINS D,2,1 - 2,170,CAN,2:50,Blocked,0
5m shot,6.0,5,1,CAN,1.0,de CARVALHO J,2,1 - 2,141,RSA,2:21,Missed,0
Action shot,8.0,5,1,CAN,1.0,RODDA N,2,1 - 2,102,RSA,1:42,Blocked,0
Action shot,6.0,5,1,CAN,1.0,ROBINSON S,2,1 - 2,81,CAN,1:21,Saved,0
5m shot,10.0,5,1,CAN,1.0,SOLEIMANIPAK A,2,1 - 2,60,CAN,1:00,Saved,0
Action shot,10.0,5,1,CAN,1.0,SOLEIMANIPAK A,2,1 - 2,36,CAN,0:36,Post,0
5m shot,12.0,5,1,CAN,1.0,OLVER R,2,1 - 2,11,RSA,0:11,Saved,0
5m shot,2.0,5,1,CAN,1.0,PATTERSON G,2,1 - 2,1,CAN,0:01,Saved,0
Centre shot,4.0,5,1,CAN,2.0,CONSTANTIN-BICARI,2,1 - 2,428,CAN,7:08,Saved,0
5m shot,2.0,5,1,CAN,2.0,le ROUX E,2,1 - 2,393,RSA,6:33,Blocked,0
Centre shot,3.0,5,1,CAN,2.0,CARD D,2,1 - 2,375,RSA,6:15,Saved,0
Extra player shot,12.0,5,1,CAN,2.0,THUMWOOD D,2,1 - 2,300,CAN,5:00,Saved,0
Action shot,4.0,5,2,CAN,2.0,CONSTANTIN-BICARI,2,2 - 2,289,CAN,4:49,Goal,1
Extra player shot,10.0,5,2,CAN,2.0,le ROUX P,3,2 - 3,264,RSA,4:24,Goal,1
Penalty shot,11.0,5,3,CAN,2.0,TORAKIS G,3,3 - 3,250,CAN,4:10,Goal,1
Extra player shot,2.0,5,3,CAN,2.0,PATTERSON G,3,3 - 3,198,CAN,3:18,Saved,0
5m shot,12.0,5,3,CAN,2.0,THUMWOOD D,3,3 - 3,191,CAN,3:11,Blocked,0
Action shot,7.0,5,3,CAN,2.0,RABIE L,3,3 - 3,164,RSA,2:44,Saved,0
Centre shot,4.0,5,4,CAN,2.0,CONSTANTIN-BICARI,3,4 - 3,135,CAN,2:15,Goal,1
Counter attack,4.0,5,5,CAN,2.0,CONSTANTIN-BICARI,3,5 - 3,110,CAN,1:50,Goal,1
Extra player shot,10.0,5,5,CAN,2.0,le ROUX P,3,5 - 3,76,RSA,1:16,Missed,0
5m shot,11.0,5,5,CAN,2.0,TORAKIS G,3,5 - 3,65,CAN,1:05,Missed,0
5m shot,7.0,5,5,CAN,4.0,RABIE L,3,5 - 3,264,RSA,4:24,Saved,0
Action shot,8.0,5,5,CAN,4.0,RODDA N,3,5 - 3,187,RSA,3:07,Saved,0
Extra player shot,2.0,5,9,CAN,4.0,le ROUX E,5,9 - 5,165,RSA,2:45,Goal,1
Centre shot,8.0,5,9,CAN,2.0,RODDA N,5,9 - 5,16,RSA,0:16,Post,0
5m shot,2.0,5,9,CAN,3.0,le ROUX E,5,9 - 5,431,RSA,7:11,Saved,0
Extra player shot,9.0,5,6,CAN,3.0,RADOJCIC D,3,6 - 3,401,CAN,6:41,Goal,1
Extra player shot,8.0,5,6,CAN,3.0,RODDA N,3,6 - 3,353,RSA,5:53,Post,0
Centre shot,4.0,5,6,CAN,3.0,CONSTANTIN-BICARI,3,6 - 3,333,CAN,5:33,Saved,0
5m shot,4.0,5,6,CAN,3.0,BADENHORST N,3,6 - 3,303,RSA,5:03,Saved,0
Counter attack,4.0,5,6,CAN,3.0,CONSTANTIN-BICARI,3,6 - 3,248,CAN,4:08,Saved,0
Action shot,4.0,5,6,CAN,3.0,CONSTANTIN-BICARI,3,6 - 3,193,CAN,3:13,Saved,0
Action shot,5.0,5,6,CAN,3.0,HALAJIAN M,3,6 - 3,174,CAN,2:54,Saved,0
Centre shot,4.0,5,6,CAN,3.0,CONSTANTIN-BICARI,3,6 - 3,155,CAN,2:35,Saved,0
Extra player shot,7.0,5,7,CAN,3.0,D'SOUZA R,3,7 - 3,131,CAN,2:11,Goal,1
Action shot,7.0,5,7,CAN,3.0,D'SOUZA R,3,7 - 3,51,CAN,0:51,Saved,0
Action shot,11.0,5,7,CAN,3.0,TORAKIS G,3,7 - 3,29,CAN,0:29,Saved,0
Extra player shot,9.0,5,7,CAN,3.0,WHYTE D,4,7 - 4,1,RSA,0:01,Goal,1
Extra player shot,8.0,5,7,CAN,4.0,LAPINS D,4,7 - 4,430,CAN,7:10,Post,0
Centre shot,4.0,5,8,CAN,4.0,CONSTANTIN-BICARI,4,8 - 4,418,CAN,6:58,Goal,1
Action shot,10.0,5,9,CAN,4.0,SOLEIMANIPAK A,4,9 - 4,372,CAN,6:12,Goal,1
Penalty shot,10.0,5,9,CAN,4.0,le ROUX P,4,9 - 4,347,RSA,5:47,Saved,0
Action shot,12.0,5,9,CAN,4.0,THUMWOOD D,4,9 - 4,322,CAN,5:22,Missed,0
Action shot,4.0,5,9,CAN,4.0,CONSTANTIN-BICARI,4,9 - 4,280,CAN,4:40,Missed,0
5m shot,11.0,5,9,CAN,4.0,TORAKIS G,4,9 - 4,140,CAN,2:20,Missed,0
Action shot,12.0,5,9,CAN,4.0,OLVER R,4,9 - 4,89,RSA,1:29,Saved,0
5m shot,5.0,5,9,CAN,4.0,HALAJIAN M,4,9 - 4,63,CAN,1:03,Missed,0
Centre shot,3.0,5,9,CAN,4.0,CARD D,6,9 - 6,47,RSA,0:47,Goal,1
5m shot,11.0,5,9,CAN,4.0,TORAKIS G,6,9 - 6,18,CAN,0:18,Missed,0
5m shot,5.0,5,9,CAN,4.0,BROWN C,6,9 - 6,3,RSA,0:03,Post,0
