Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Goal,5,7.0,6,11,NED,4.0,NIJHUIS M,11 - 5,382,NED,6:22
Action shot - Post,5,9.0,6,11,NED,4.0,MEGENS M,11 - 5,342,NED,5:42
Time-Out,5,,6,11,NED,4.0,,11 - 5,332,CHN,5:32
Turnover foul,5,5.0,6,11,NED,4.0,NIU G,11 - 5,318,CHN,5:18
Steal,5,3.0,6,11,NED,4.0,GENEE D,11 - 5,318,NED,5:18
Centre shot - Goal,5,8.0,6,12,NED,4.0,SEVENICH V,12 - 5,296,NED,4:56
Turnover foul,5,4.0,6,12,NED,4.0,XIONG D,12 - 5,282,CHN,4:42
Action shot - Saved,5,3.0,6,12,NED,4.0,GENEE D,12 - 5,270,NED,4:30
Turnover foul,5,13.0,6,12,NED,4.0,SHEN Y,12 - 5,259,CHN,4:19
Steal,5,10.0,6,12,NED,4.0,KOOLHAAS I,12 - 5,259,NED,4:19
Action shot - Saved,5,12.0,6,12,NED,4.0,JOUSTRA K,12 - 5,248,NED,4:08
5m shot - Goal,6,2.0,6,12,NED,4.0,BI Y,12 - 6,227,CHN,3:47
5m shot - Goal,6,9.0,6,13,NED,4.0,MEGENS M,13 - 6,205,NED,3:25
Centre shot - Saved,6,4.0,6,13,NED,4.0,XIONG D,13 - 6,182,CHN,3:02
5m shot - Post,6,9.0,6,13,NED,4.0,MEGENS M,13 - 6,164,NED,2:44
Turnover foul,6,4.0,6,13,NED,4.0,XIONG D,13 - 6,140,CHN,2:20
5m shot - Post,6,11.0,6,13,NED,4.0,KLAASSEN L,13 - 6,128,NED,2:08
Action shot - Missed,6,2.0,6,13,NED,4.0,SMIT Y,13 - 6,21,NED,0:21
20 sec. exclusion in field,6,2.0,6,13,NED,4.0,SMIT Y,13 - 6,12,NED,0:12
Extra player shot - Post,6,11.0,6,13,NED,4.0,CHEN X,13 - 6,1,CHN,0:01
