Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,7.0,8,6,6,JPN,3.0,SHIMIZU Y,6 - 8,411,JPN,6:51
5m shot - Missed,2.0,8,6,6,JPN,3.0,MUNARRIZ EGANA A,6 - 8,386,ESP,6:26
Penalty foul,10.0,8,6,6,JPN,3.0,FERNANDEZ MIRANDA,6 - 8,366,ESP,6:06
Penalty shot - Saved,2.0,8,6,6,JPN,3.0,ADACHI S,6 - 8,366,JPN,6:06
Centre shot - Post,2.0,8,6,6,JPN,3.0,ADACHI S,6 - 8,345,JPN,5:45
Turnover foul,6.0,8,6,6,JPN,3.0,MINGUELL ALFEREZ M,6 - 8,325,ESP,5:25
Action shot - Goal,11.0,8,6,7,JPN,3.0,OKAWA K,7 - 8,311,JPN,5:11
Centre shot - Saved,8.0,8,6,7,JPN,3.0,ESPANOL LIFANTE A,7 - 8,293,ESP,4:53
Centre shot - Missed,11.0,8,6,7,JPN,3.0,MALLARACH GUELL B,7 - 8,274,ESP,4:34
Turnover foul,5.0,8,6,7,JPN,3.0,YOSHIDA T,7 - 8,259,JPN,4:19
Steal,2.0,8,6,7,JPN,3.0,MUNARRIZ EGANA A,7 - 8,259,ESP,4:19
5m shot - Saved,5.0,8,6,7,JPN,3.0,BUSTOS SANCHEZ A,7 - 8,234,ESP,3:54
Action shot - Saved,2.0,8,6,7,JPN,3.0,ADACHI S,7 - 8,216,JPN,3:36
20 sec. exclusion in centre,10.0,8,6,7,JPN,3.0,INABA K,7 - 8,187,JPN,3:07
Time-Out,,8,6,7,JPN,3.0,,7 - 8,187,ESP,3:07
Action shot - Goal,2.0,9,6,7,JPN,3.0,MUNARRIZ EGANA A,7 - 9,164,ESP,2:44
20 sec. exclusion in field,3.0,9,6,7,JPN,3.0,GRANADOS ORTEGA A,7 - 9,140,ESP,2:20
20 sec. exclusion in centre,5.0,9,6,7,JPN,3.0,BUSTOS SANCHEZ A,7 - 9,130,ESP,2:10
Extra player shot - Goal,9.0,9,6,8,JPN,3.0,ARAI A,8 - 9,111,JPN,1:51
Action shot - Goal,12.0,10,6,8,JPN,3.0,GUTIERREZ SANTIAGO,8 - 10,88,ESP,1:28
Turnover foul,4.0,10,6,8,JPN,3.0,SHIGA M,8 - 10,69,JPN,1:09
Steal,10.0,10,6,8,JPN,3.0,FERNANDEZ MIRANDA,8 - 10,69,ESP,1:09
Turnover foul,12.0,10,6,8,JPN,3.0,GUTIERREZ SANTIAGO,8 - 10,46,ESP,0:46
Penalty foul,6.0,10,6,8,JPN,3.0,MINGUELL ALFEREZ M,8 - 10,35,ESP,0:35
Penalty shot - Goal,11.0,10,6,9,JPN,3.0,OKAWA K,9 - 10,35,JPN,0:35
5m shot - Saved,11.0,10,6,9,JPN,3.0,MALLARACH GUELL B,9 - 10,13,ESP,0:13
20 sec. exclusion in centre,4.0,10,6,9,JPN,3.0,SHIGA M,9 - 10,6,JPN,0:06
Penalty foul,11.0,10,6,9,JPN,3.0,OKAWA K,9 - 10,1,JPN,0:01
Penalty shot - Goal,8.0,11,6,9,JPN,3.0,ESPANOL LIFANTE A,9 - 11,1,ESP,0:01
Starting goalkeeper,1.0,11,6,9,JPN,4.0,TANAMURA K,9 - 11,480,JPN,8:00
Starting goalkeeper,13.0,11,6,9,JPN,4.0,MOTOS MARTIN J,9 - 11,480,ESP,8:00
Sprint won possession,2.0,11,6,9,JPN,4.0,ADACHI S,9 - 11,480,JPN,8:00
5m shot - Saved,11.0,11,6,9,JPN,4.0,OKAWA K,9 - 11,461,JPN,7:41
Turnover foul,12.0,11,6,9,JPN,4.0,ARAKI K,9 - 11,444,JPN,7:24
Centre shot - Saved,9.0,11,6,9,JPN,4.0,TAHULL COMPTE R,9 - 11,420,ESP,7:00
Turnover foul,12.0,11,6,9,JPN,4.0,ARAKI K,9 - 11,404,JPN,6:44
Steal,2.0,11,6,9,JPN,4.0,MUNARRIZ EGANA A,9 - 11,404,ESP,6:44
Centre shot - Goal,9.0,12,6,9,JPN,4.0,TAHULL COMPTE R,9 - 12,390,ESP,6:30
Turnover foul,8.0,12,6,9,JPN,4.0,TAKATA M,9 - 12,360,JPN,6:00
Steal,2.0,12,6,9,JPN,4.0,MUNARRIZ EGANA A,9 - 12,360,ESP,6:00
Action shot - Goal,8.0,13,6,9,JPN,4.0,ESPANOL LIFANTE A,9 - 13,347,ESP,5:47
