Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,6.0,0,7,1,USA,1.0,STEFFENS M,1 - 0,196,USA,3:16,Saved,0
Action shot,4.0,1,7,1,USA,1.0,ORTIZ MUNOZ B,1 - 1,151,ESP,2:31,Goal,1
Action shot,7.0,1,7,2,USA,1.0,RANEY J,2 - 1,131,USA,2:11,Goal,1
Action shot,3.0,1,7,2,USA,1.0,SEIDEMANN M,2 - 1,2,USA,0:02,Saved,0
Penalty shot,3.0,2,7,2,USA,2.0,ESPAR LLAQUET A,2 - 2,463,ESP,7:43,Goal,1
Extra player shot,2.0,2,7,2,USA,2.0,MUSSELMAN M,2 - 2,433,USA,7:13,Blocked,0
Centre shot,12.0,2,7,2,USA,2.0,LEITON ARRONES P,2 - 2,403,ESP,6:43,Saved,0
Extra player shot,8.0,2,7,3,USA,2.0,NEUSHUL K,3 - 2,386,USA,6:26,Goal,1
Extra player shot,4.0,3,7,3,USA,2.0,ORTIZ MUNOZ B,3 - 3,354,ESP,5:54,Goal,1
Extra player shot,8.0,3,7,4,USA,2.0,NEUSHUL K,4 - 3,327,USA,5:27,Goal,1
5m shot,3.0,3,7,4,USA,2.0,ESPAR LLAQUET A,4 - 3,298,ESP,4:58,Post,0
Extra player shot,2.0,3,7,5,USA,2.0,MUSSELMAN M,5 - 3,273,USA,4:33,Goal,1
5m shot,11.0,3,7,5,USA,2.0,GUAL ROVIROSA A,5 - 3,247,ESP,4:07,Blocked,0
Centre shot,9.0,3,7,5,USA,2.0,FISCHER A,5 - 3,171,USA,2:51,Saved,0
Centre shot,10.0,3,7,5,USA,2.0,CRESPI BARRIGA P,5 - 3,81,ESP,1:21,Saved,0
5m shot,8.0,3,7,5,USA,2.0,NEUSHUL K,5 - 3,53,USA,0:53,Post,0
Action shot,3.0,3,7,5,USA,2.0,ESPAR LLAQUET A,5 - 3,25,ESP,0:25,Post,0
Action shot,2.0,3,7,5,USA,2.0,MUSSELMAN M,5 - 3,10,USA,0:10,Saved,0
5m shot,12.0,3,7,5,USA,2.0,LEITON ARRONES P,5 - 3,1,ESP,0:01,Saved,0
5m shot,3.0,4,7,5,USA,3.0,ESPAR LLAQUET A,5 - 4,453,ESP,7:33,Goal,1
Extra player shot,4.0,4,7,6,USA,3.0,FATTAL R,6 - 4,428,USA,7:08,Goal,1
Extra player shot,8.0,4,7,7,USA,3.0,NEUSHUL K,7 - 4,365,USA,6:05,Goal,1
Action shot,11.0,4,7,7,USA,3.0,FISCHER M,7 - 4,312,USA,5:12,Missed,0
Action shot,6.0,4,7,7,USA,3.0,LLORET GOMEZ H,7 - 4,283,ESP,4:43,Saved,0
5m shot,4.0,4,7,7,USA,3.0,ORTIZ MUNOZ B,7 - 4,256,ESP,4:16,Post,0
Extra player shot,6.0,4,7,8,USA,3.0,STEFFENS M,8 - 4,211,USA,3:31,Goal,1
5m shot,9.0,4,7,8,USA,3.0,FORCA ARIZA J,8 - 4,188,ESP,3:08,Missed,0
Centre shot,3.0,4,7,8,USA,3.0,ESPAR LLAQUET A,8 - 4,146,ESP,2:26,Missed,0
Extra player shot,11.0,4,7,9,USA,3.0,FISCHER M,9 - 4,115,USA,1:55,Goal,1
5m shot,9.0,4,7,9,USA,3.0,FORCA ARIZA J,9 - 4,85,ESP,1:25,Post,0
Extra player shot,12.0,5,7,9,USA,3.0,LEITON ARRONES P,9 - 5,25,ESP,0:25,Goal,1
Centre shot,2.0,5,7,10,USA,3.0,MUSSELMAN M,10 - 5,1,USA,0:01,Goal,1
5m shot,4.0,5,7,10,USA,4.0,FATTAL R,10 - 5,452,USA,7:32,Missed,0
5m shot,9.0,5,7,10,USA,4.0,FORCA ARIZA J,10 - 5,424,ESP,7:04,Blocked,0
5m shot,6.0,5,7,11,USA,4.0,STEFFENS M,11 - 5,394,USA,6:34,Goal,1
Extra player shot,8.0,5,7,12,USA,4.0,NEUSHUL K,12 - 5,334,USA,5:34,Goal,1
Action shot,11.0,5,7,12,USA,4.0,GUAL ROVIROSA A,12 - 5,252,ESP,4:12,Missed,0
Extra player shot,2.0,5,7,13,USA,4.0,MUSSELMAN M,13 - 5,222,USA,3:42,Goal,1
5m shot,4.0,5,7,13,USA,4.0,ORTIZ MUNOZ B,13 - 5,193,ESP,3:13,Missed,0
Extra player shot,5.0,5,7,13,USA,4.0,HAUSCHILD P,13 - 5,151,USA,2:31,Blocked,0
Action shot,12.0,5,7,13,USA,4.0,WILLIAMS A,13 - 5,121,USA,2:01,Post,0
5m shot,3.0,6,7,13,USA,4.0,ESPAR LLAQUET A,13 - 6,96,ESP,1:36,Goal,1
Centre shot,9.0,6,7,13,USA,4.0,FISCHER A,13 - 6,67,USA,1:07,Saved,0
5m shot,3.0,6,7,13,USA,4.0,ESPAR LLAQUET A,13 - 6,38,ESP,0:38,Missed,0
