Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,UZB,Result,Goal
5m shot,9.0,2,7,NED,1.0,SLAGTER C,1 - 7,24,NED,0:24,1,Saved,0
Centre shot,8.0,2,7,NED,1.0,SEVENICH V,1 - 7,4,NED,0:04,1,Post,0
Centre shot,12.0,2,8,NED,2.0,van der MOLEN l,1 - 8,453,NED,7:33,1,Goal,1
5m shot,7.0,2,8,NED,2.0,van BELKUM I,1 - 8,414,NED,6:54,1,Saved,0
Extra player shot,5.0,2,8,NED,2.0,van der SLOOT S,1 - 8,386,NED,6:26,1,Post,0
Action shot,5.0,2,8,NED,2.0,van der SLOOT S,1 - 8,376,NED,6:16,1,Post,0
Centre shot,12.0,2,9,NED,2.0,van der MOLEN l,1 - 9,336,NED,5:36,1,Goal,1
Action shot,4.0,2,9,NED,2.0,HAKHVERDIAN B,1 - 9,295,NED,4:55,1,Post,0
Action shot,4.0,2,10,NED,2.0,HAKHVERDIAN B,1 - 10,245,NED,4:05,1,Goal,1
Action shot,9.0,2,10,NED,2.0,SLAGTER C,1 - 10,211,NED,3:31,1,Saved,0
Centre shot,3.0,2,11,NED,2.0,NIJHUIS M,1 - 11,194,NED,3:14,1,Goal,1
Action shot,9.0,2,12,NED,2.0,SLAGTER C,1 - 12,162,NED,2:42,1,Goal,1
5m shot,7.0,2,12,NED,2.0,PLYUSOVA N,1 - 12,134,UZB,2:14,1,Missed,0
Action shot,9.0,2,13,NED,2.0,SLAGTER C,1 - 13,123,NED,2:03,1,Goal,1
Action shot,7.0,2,14,NED,2.0,van BELKUM I,1 - 14,89,NED,1:29,1,Goal,1
Action shot,10.0,2,15,NED,2.0,GENEE D,1 - 15,51,NED,0:51,1,Goal,1
5m shot,9.0,2,15,NED,2.0,HALIKOVA R,1 - 15,26,UZB,0:26,1,Saved,0
Action shot,5.0,2,16,NED,2.0,van der SLOOT S,1 - 16,12,NED,0:12,1,Goal,1
Extra player shot,11.0,2,17,NED,3.0,KLAASSEN L,1 - 17,423,NED,7:03,1,Goal,1
Extra player shot,7.0,2,17,NED,3.0,PLYUSOVA N,1 - 17,384,UZB,6:24,1,Post,0
Action shot,7.0,2,17,NED,3.0,PLYUSOVA N,2 - 17,380,UZB,6:20,2,Goal,1
Action shot,5.0,2,17,NED,3.0,van der SLOOT S,2 - 17,359,NED,5:59,2,Post,0
Centre shot,3.0,2,17,NED,3.0,SARANCHA A,2 - 17,346,UZB,5:46,2,Saved,0
5m shot,10.0,2,17,NED,3.0,ZINUROVA A,2 - 17,304,UZB,5:04,2,Saved,0
Action shot,6.0,2,17,NED,3.0,STOMPHORST N,2 - 17,292,NED,4:52,2,Post,0
Action shot,2.0,2,18,NED,3.0,SMIT Y,2 - 18,290,NED,4:50,2,Goal,1
5m shot,10.0,2,18,NED,3.0,ZINUROVA A,2 - 18,267,UZB,4:27,2,Post,0
5m shot,11.0,2,18,NED,3.0,KLAASSEN L,2 - 18,245,NED,4:05,2,Missed,0
Action shot,5.0,2,18,NED,3.0,van der SLOOT S,2 - 18,198,NED,3:18,2,Saved,0
Action shot,11.0,2,19,NED,3.0,KLAASSEN L,2 - 19,159,NED,2:39,2,Goal,1
5m shot,10.0,2,20,NED,3.0,GENEE D,2 - 20,116,NED,1:56,2,Goal,1
5m shot,8.0,2,21,NED,3.0,SEVENICH V,2 - 21,92,NED,1:32,2,Goal,1
Action shot,9.0,2,22,NED,3.0,SLAGTER C,2 - 22,51,NED,0:51,2,Goal,1
Extra player shot,9.0,2,22,NED,3.0,HALIKOVA R,2 - 22,9,UZB,0:09,2,Post,0
Extra player shot,2.0,2,22,NED,3.0,SMIT Y,2 - 22,2,NED,0:02,2,Saved,0
5m shot,11.0,2,23,NED,4.0,KLAASSEN L,2 - 23,460,NED,7:40,2,Goal,1
Centre shot,8.0,2,23,NED,4.0,SEVENICH V,2 - 23,412,NED,6:52,2,Missed,0
5m shot,2.0,2,23,NED,4.0,DADABAEVA D,2 - 23,384,UZB,6:24,2,Post,0
Action shot,4.0,2,24,NED,4.0,HAKHVERDIAN B,2 - 24,367,NED,6:07,2,Goal,1
5m shot,4.0,2,24,NED,4.0,DJUMALIEVA A,3 - 24,341,UZB,5:41,3,Goal,1
Penalty shot,11.0,2,25,NED,4.0,KLAASSEN L,3 - 25,325,NED,5:25,3,Goal,1
Centre shot,3.0,2,25,NED,4.0,SARANCHA A,3 - 25,301,UZB,5:01,3,Missed,0
Action shot,9.0,2,25,NED,4.0,SLAGTER C,3 - 25,290,NED,4:50,3,Post,0
5m shot,10.0,2,25,NED,4.0,ZINUROVA A,3 - 25,262,UZB,4:22,3,Saved,0
Action shot,11.0,2,26,NED,4.0,KLAASSEN L,3 - 26,243,NED,4:03,3,Goal,1
Centre shot,4.0,2,26,NED,4.0,DJUMALIEVA A,3 - 26,233,UZB,3:53,3,Saved,0
Extra player shot,5.0,2,27,NED,4.0,van der SLOOT S,3 - 27,193,NED,3:13,3,Goal,1
5m shot,6.0,2,27,NED,4.0,MOROZOVA E,3 - 27,169,UZB,2:49,3,Missed,0
5m shot,9.0,2,27,NED,4.0,SLAGTER C,3 - 27,161,NED,2:41,3,Missed,0
5m shot,3.0,2,27,NED,4.0,SARANCHA A,3 - 27,138,UZB,2:18,3,Blocked,0
Action shot,6.0,2,28,NED,4.0,STOMPHORST N,3 - 28,119,NED,1:59,3,Goal,1
Centre shot,3.0,2,28,NED,4.0,SARANCHA A,3 - 28,100,UZB,1:40,3,Post,0
Action shot,8.0,2,29,NED,4.0,SEVENICH V,3 - 29,77,NED,1:17,3,Goal,1
Action shot,10.0,2,29,NED,4.0,GENEE D,3 - 29,48,NED,0:48,3,Post,0
Action shot,5.0,2,30,NED,4.0,van der SLOOT S,3 - 30,6,NED,0:06,3,Goal,1
Penalty shot,6.0,3,1,ESP,1.0,PAREJA J,1 - 0,468,ESP,7:48,0,Goal,1
Action shot,10.0,3,1,ESP,1.0,ZINUROVA A,1 - 0,444,UZB,7:24,0,Missed,0
Action shot,8.0,3,2,ESP,1.0,PENA P,2 - 0,429,ESP,7:09,0,Goal,1
Action shot,3.0,3,2,ESP,1.0,ESPAR A,2 - 0,385,ESP,6:25,0,Blocked,0
Action shot,9.0,3,2,ESP,1.0,HALIKOVA R,2 - 1,340,UZB,5:40,1,Goal,1
Centre shot,9.0,3,3,ESP,1.0,BLAS A,3 - 1,329,ESP,5:29,1,Goal,1
Centre shot,3.0,3,3,ESP,1.0,SARANCHA A,3 - 1,315,UZB,5:15,1,Saved,0
