Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,UZB
Action shot - Post,7.0,3,4,ESP,1.0,MIRANDA L,4 - 1,192,ESP,3:12,1
Centre shot - Goal,9.0,3,5,ESP,1.0,BLAS A,5 - 1,144,ESP,2:24,1
Turnover foul,4.0,3,5,ESP,1.0,DJUMALIEVA A,5 - 1,131,UZB,2:11,1
Steal,7.0,3,5,ESP,1.0,MIRANDA L,5 - 1,131,ESP,2:11,1
20 sec. exclusion in field,7.0,3,5,ESP,1.0,PLYUSOVA N,5 - 1,120,UZB,2:00,1
Extra player shot - Goal,9.0,3,6,ESP,1.0,BLAS A,6 - 1,105,ESP,1:45,1
Turnover foul,4.0,3,6,ESP,1.0,DJUMALIEVA A,6 - 1,89,UZB,1:29,1
Steal,7.0,3,6,ESP,1.0,MIRANDA L,6 - 1,89,ESP,1:29,1
Action shot - Goal,10.0,3,7,ESP,1.0,MESEGUER O,7 - 1,74,ESP,1:14,1
Turnover foul,3.0,3,7,ESP,1.0,SARANCHA A,7 - 1,55,UZB,0:55,1
Steal,4.0,3,7,ESP,1.0,TARRAGO R,7 - 1,55,ESP,0:55,1
20 sec. exclusion in field,3.0,3,7,ESP,1.0,SARANCHA A,7 - 1,50,UZB,0:50,1
Action shot - Goal,3.0,3,8,ESP,1.0,ESPAR A,8 - 1,27,ESP,0:27,1
Turnover foul,11.0,3,8,ESP,1.0,HAMITOVA G,8 - 1,11,UZB,0:11,1
Turnover foul,3.0,3,8,ESP,1.0,ESPAR A,8 - 1,4,ESP,0:04,1
Starting goalkeeper,13.0,3,8,ESP,2.0,HERRERA P,8 - 1,480,ESP,8:00,1
Starting goalkeeper,1.0,3,8,ESP,2.0,DUKHANOVA E,8 - 1,480,UZB,8:00,1
Sprint won possession,6.0,3,8,ESP,2.0,PAREJA J,8 - 1,480,ESP,8:00,1
20 sec. exclusion in centre,8.0,3,8,ESP,2.0,SHCHEGLOVA A,8 - 1,463,UZB,7:43,1
Extra player shot - Missed,5.0,3,8,ESP,2.0,ORTIZ M,8 - 1,452,ESP,7:32,1
Turnover foul,5.0,3,8,ESP,2.0,IVANOVA E,8 - 1,436,UZB,7:16,1
Steal,12.0,3,8,ESP,2.0,LOPEZ L,8 - 1,436,ESP,7:16,1
Counter attack - Saved,8.0,3,8,ESP,2.0,PENA P,8 - 1,420,ESP,7:00,1
Turnover foul,8.0,3,8,ESP,2.0,PENA P,8 - 1,387,ESP,6:27,1
20 sec. exclusion in field,6.0,3,8,ESP,2.0,PAREJA J,8 - 1,383,ESP,6:23,1
Extra player shot - Blocked,9.0,3,8,ESP,2.0,HALIKOVA R,8 - 1,364,UZB,6:04,1
Action shot - Saved,6.0,3,8,ESP,2.0,PAREJA J,8 - 1,348,ESP,5:48,1
5m shot - Saved,8.0,3,8,ESP,2.0,SHCHEGLOVA A,8 - 1,318,UZB,5:18,1
20 sec. exclusion in field,3.0,3,8,ESP,2.0,SARANCHA A,8 - 1,316,UZB,5:16,1
Exclusion with substitution,3.0,3,8,ESP,2.0,SARANCHA A,8 - 1,316,UZB,5:16,1
Extra player shot - Goal,11.0,3,9,ESP,2.0,GARCIA GODOY M,9 - 1,298,ESP,4:58,1
Turnover foul,8.0,3,9,ESP,2.0,SHCHEGLOVA A,9 - 1,283,UZB,4:43,1
Steal,2.0,3,9,ESP,2.0,BACH M,9 - 1,283,ESP,4:43,1
Centre shot - Saved,9.0,3,9,ESP,2.0,BLAS A,9 - 1,265,ESP,4:25,1
Centre shot - Goal,9.0,3,10,ESP,2.0,BLAS A,10 - 1,264,ESP,4:24,1
Turnover foul,8.0,3,10,ESP,2.0,SHCHEGLOVA A,10 - 1,247,UZB,4:07,1
Centre shot - Goal,9.0,3,11,ESP,2.0,BLAS A,11 - 1,236,ESP,3:56,1
Turnover foul,7.0,3,11,ESP,2.0,PLYUSOVA N,11 - 1,215,UZB,3:35,1
Action shot - Post,2.0,3,11,ESP,2.0,BACH M,11 - 1,205,ESP,3:25,1
Steal,12.0,3,11,ESP,2.0,PLYUSOVA A,11 - 1,195,UZB,3:15,1
20 sec. exclusion in centre,5.0,3,11,ESP,2.0,ORTIZ M,11 - 1,180,ESP,3:00,1
Time-Out,,3,11,ESP,2.0,,11 - 1,180,UZB,3:00,1
Steal,12.0,3,11,ESP,4.0,PLYUSOVA A,11 - 1,278,UZB,4:38,1
Turnover foul,8.0,3,11,ESP,4.0,SHCHEGLOVA A,11 - 1,254,UZB,4:14,1
Steal,9.0,3,11,ESP,4.0,BLAS A,11 - 1,254,ESP,4:14,1
5m shot - Post,5.0,3,11,ESP,4.0,ORTIZ M,11 - 1,229,ESP,3:49,1
20 sec. exclusion in field,8.0,3,11,ESP,4.0,PENA P,11 - 1,200,ESP,3:20,1
Action shot - Blocked,7.0,3,11,ESP,4.0,PLYUSOVA N,11 - 1,172,UZB,2:52,1
5m shot - Goal,9.0,3,19,ESP,4.0,HALIKOVA R,19 - 3,166,UZB,2:46,3
Action shot - Saved,2.0,3,19,ESP,4.0,BACH M,19 - 3,139,ESP,2:19,3
Turnover foul,11.0,3,19,ESP,4.0,HAMITOVA G,19 - 3,121,UZB,2:01,3
Extra player shot - Saved,7.0,3,19,ESP,2.0,PLYUSOVA N,19 - 3,164,UZB,2:44,3
Turnover foul,3.0,3,19,ESP,2.0,ESPAR A,19 - 3,139,ESP,2:19,3
Steal,7.0,3,19,ESP,2.0,PLYUSOVA N,19 - 3,139,UZB,2:19,3
Turnover foul,12.0,3,19,ESP,2.0,PLYUSOVA A,19 - 3,111,UZB,1:51,3
Steal,3.0,3,19,ESP,2.0,ESPAR A,19 - 3,111,ESP,1:51,3
5m shot - Post,2.0,3,19,ESP,2.0,BACH M,19 - 3,85,ESP,1:25,3
Turnover foul,10.0,3,19,ESP,2.0,ZINUROVA A,19 - 3,69,UZB,1:09,3
Steal,4.0,3,19,ESP,2.0,TARRAGO R,19 - 3,69,ESP,1:09,3
Action shot - Saved,3.0,3,19,ESP,2.0,ESPAR A,19 - 3,53,ESP,0:53,3
Centre shot - Saved,9.0,3,19,ESP,2.0,BLAS A,19 - 3,46,ESP,0:46,3
Turnover foul,4.0,3,19,ESP,2.0,DJUMALIEVA A,19 - 3,30,UZB,0:30,3
Steal,2.0,3,19,ESP,2.0,BACH M,19 - 3,30,ESP,0:30,3
Centre shot - Saved,9.0,3,19,ESP,2.0,BLAS A,19 - 3,16,ESP,0:16,3
Starting goalkeeper,13.0,3,19,ESP,3.0,HERRERA P,19 - 3,480,ESP,8:00,3
Starting goalkeeper,1.0,3,19,ESP,3.0,DUKHANOVA E,19 - 3,480,UZB,8:00,3
Sprint won possession,6.0,3,19,ESP,3.0,PAREJA J,19 - 3,480,ESP,8:00,3
Action shot - Goal,3.0,3,12,ESP,3.0,ESPAR A,12 - 1,456,ESP,7:36,1
Turnover foul,8.0,3,12,ESP,3.0,SHCHEGLOVA A,12 - 1,435,UZB,7:15,1
Steal,6.0,3,12,ESP,3.0,PAREJA J,12 - 1,435,ESP,7:15,1
Centre shot - Goal,11.0,3,13,ESP,3.0,GARCIA GODOY M,13 - 1,413,ESP,6:53,1
20 sec. exclusion in centre,7.0,3,13,ESP,3.0,MIRANDA L,13 - 1,392,ESP,6:32,1
Extra player shot - Missed,11.0,3,13,ESP,3.0,HAMITOVA G,13 - 1,373,UZB,6:13,1
Turnover foul,3.0,3,13,ESP,3.0,ESPAR A,13 - 1,355,ESP,5:55,1
Steal,1.0,3,13,ESP,3.0,DUKHANOVA E,13 - 1,355,UZB,5:55,1
Counter attack - Goal,8.0,3,14,ESP,3.0,PENA P,14 - 1,315,ESP,5:15,1
Turnover foul,10.0,3,14,ESP,3.0,ZINUROVA A,14 - 1,296,UZB,4:56,1
Steal,12.0,3,14,ESP,3.0,LOPEZ L,14 - 1,296,ESP,4:56,1
Counter attack - Saved,12.0,3,14,ESP,3.0,LOPEZ L,14 - 1,282,ESP,4:42,1
Penalty foul,6.0,3,14,ESP,3.0,PAREJA J,14 - 1,268,ESP,4:28,1
Exclusion with substitution,6.0,3,14,ESP,3.0,PAREJA J,14 - 1,268,ESP,4:28,1
Penalty shot - Post,9.0,3,14,ESP,3.0,HALIKOVA R,14 - 1,268,UZB,4:28,1
5m shot - Goal,4.0,3,15,ESP,3.0,TARRAGO R,15 - 1,252,ESP,4:12,1
Centre shot - Post,8.0,3,15,ESP,3.0,SHCHEGLOVA A,15 - 1,226,UZB,3:46,1
Centre shot - Post,9.0,3,15,ESP,3.0,BLAS A,15 - 1,200,ESP,3:20,1
5m shot - Saved,7.0,3,15,ESP,3.0,MIRANDA L,15 - 1,151,ESP,2:31,1
Turnover foul,12.0,3,15,ESP,3.0,PLYUSOVA A,15 - 1,135,UZB,2:15,1
Steal,7.0,3,15,ESP,3.0,MIRANDA L,15 - 1,135,ESP,2:15,1
20 sec. exclusion in centre,2.0,3,15,ESP,3.0,DADABAEVA D,15 - 1,118,UZB,1:58,1
Extra player shot - Saved,9.0,3,15,ESP,3.0,BLAS A,15 - 1,116,ESP,1:56,1
20 sec. exclusion in field,12.0,3,15,ESP,3.0,PLYUSOVA A,15 - 1,107,UZB,1:47,1
Extra player shot - Goal,7.0,3,16,ESP,3.0,MIRANDA L,16 - 1,105,ESP,1:45,1
5m shot - Saved,9.0,3,16,ESP,3.0,HALIKOVA R,16 - 1,73,UZB,1:13,1
20 sec. exclusion in field,11.0,3,16,ESP,3.0,HAMITOVA G,16 - 1,63,UZB,1:03,1
Extra player shot - Goal,5.0,3,17,ESP,3.0,ORTIZ M,17 - 1,46,ESP,0:46,1
Turnover foul,4.0,3,17,ESP,3.0,DJUMALIEVA A,17 - 1,18,UZB,0:18,1
Steal,2.0,3,17,ESP,3.0,BACH M,17 - 1,18,ESP,0:18,1
Starting goalkeeper,13.0,3,17,ESP,4.0,HERRERA P,17 - 1,480,ESP,8:00,1
Starting goalkeeper,1.0,3,17,ESP,4.0,DUKHANOVA E,17 - 1,480,UZB,8:00,1
Sprint won possession,4.0,3,17,ESP,4.0,TARRAGO R,17 - 1,480,ESP,8:00,1
20 sec. exclusion in centre,6.0,3,17,ESP,4.0,MOROZOVA E,17 - 1,458,UZB,7:38,1
Extra player shot - Goal,9.0,3,18,ESP,4.0,BLAS A,18 - 1,456,ESP,7:36,1
Turnover foul,4.0,3,18,ESP,4.0,DJUMALIEVA A,18 - 1,440,UZB,7:20,1
Steal,7.0,3,18,ESP,4.0,MIRANDA L,18 - 1,440,ESP,7:20,1
Action shot - Goal,10.0,3,19,ESP,4.0,MESEGUER O,19 - 1,416,ESP,6:56,1
Turnover foul,8.0,3,19,ESP,4.0,SHCHEGLOVA A,19 - 1,395,UZB,6:35,1
Counter attack - Saved,5.0,3,19,ESP,4.0,ORTIZ M,19 - 1,384,ESP,6:24,1
5m shot - Saved,10.0,3,19,ESP,4.0,ZINUROVA A,19 - 1,358,UZB,5:58,1
20 sec. exclusion in field,4.0,3,19,ESP,4.0,TARRAGO R,19 - 1,351,ESP,5:51,1
Time-Out,,3,19,ESP,4.0,,19 - 1,350,UZB,5:50,1
Extra player shot - Goal,7.0,3,19,ESP,4.0,PLYUSOVA N,19 - 2,334,UZB,5:34,2
Action shot - Saved,8.0,3,19,ESP,4.0,PENA P,19 - 2,309,ESP,5:09,2
Turnover foul,12.0,3,19,ESP,4.0,PLYUSOVA A,19 - 2,291,UZB,4:51,2
Turnover foul,2.0,3,19,ESP,4.0,BACH M,19 - 2,278,ESP,4:38,2
Steal,5.0,3,19,ESP,4.0,ORTIZ M,19 - 2,121,ESP,2:01,2
20 sec. exclusion in centre,6.0,3,19,ESP,4.0,MOROZOVA E,19 - 2,107,UZB,1:47,2
Extra player shot - Saved,12.0,3,19,ESP,4.0,LOPEZ L,19 - 2,94,ESP,1:34,2
5m shot - Saved,7.0,3,19,ESP,4.0,PLYUSOVA N,19 - 2,65,UZB,1:05,2
Action shot - Saved,8.0,3,19,ESP,4.0,PENA P,19 - 2,42,ESP,0:42,2
20 sec. exclusion in centre,6.0,3,19,ESP,4.0,MOROZOVA E,19 - 2,34,UZB,0:34,2
Exclusion with substitution,6.0,3,19,ESP,4.0,MOROZOVA E,19 - 2,34,UZB,0:34,2
Extra player shot - Goal,2.0,3,20,ESP,4.0,BACH M,20 - 3,21,ESP,0:21,3
5m shot - Goal,7.0,3,20,ESP,4.0,PLYUSOVA N,20 - 4,0,UZB,0:00,4
Starting goalkeeper,13.0,4,0,AUS,1.0,WAKEFIELD K,0 - 0,480,AUS,8:00,0
Starting goalkeeper,1.0,4,0,AUS,1.0,DUKHANOVA E,0 - 0,480,UZB,8:00,0
Sprint won possession,12.0,4,0,AUS,1.0,ZAGAME N,0 - 0,480,AUS,8:00,0
Turnover foul,4.0,4,0,AUS,1.0,LINCOLN-SMITH H,0 - 0,451,AUS,7:31,0
Steal,3.0,4,0,AUS,1.0,SARANCHA A,0 - 0,451,UZB,7:31,0
Action shot - Missed,9.0,4,0,AUS,1.0,HALIKOVA R,0 - 0,428,UZB,7:08,0
Centre shot - Goal,6.0,4,1,AUS,1.0,KNOX B,1 - 0,409,AUS,6:49,0
Turnover foul,9.0,4,1,AUS,1.0,HALIKOVA R,1 - 0,382,UZB,6:22,0
Steal,6.0,4,1,AUS,1.0,KNOX B,1 - 0,382,AUS,6:22,0
Turnover foul,12.0,4,1,AUS,1.0,ZAGAME N,1 - 0,373,AUS,6:13,0
Steal,1.0,4,1,AUS,1.0,DUKHANOVA E,1 - 0,373,UZB,6:13,0
20 sec. exclusion in centre,6.0,4,1,AUS,1.0,KNOX B,1 - 0,356,AUS,5:56,0
Action shot - Blocked,3.0,4,1,AUS,1.0,SARANCHA A,1 - 0,333,UZB,5:33,0
Centre shot - Goal,4.0,4,2,AUS,1.0,LINCOLN-SMITH H,2 - 0,307,AUS,5:07,0
Turnover foul,11.0,4,2,AUS,1.0,HAMITOVA G,2 - 0,294,UZB,4:54,0
Steal,9.0,4,2,AUS,1.0,ARANCINI Z,2 - 0,294,AUS,4:54,0
Centre shot - Goal,7.0,4,3,AUS,1.0,WEBSTER R,3 - 0,285,AUS,4:45,0
Action shot - Goal,9.0,4,4,AUS,1.0,ARANCINI Z,4 - 0,238,AUS,3:58,0
Turnover foul,11.0,4,4,AUS,1.0,HAMITOVA G,4 - 0,210,UZB,3:30,0
Steal,9.0,4,4,AUS,1.0,ARANCINI Z,4 - 0,210,AUS,3:30,0
Action shot - Post,8.0,4,4,AUS,1.0,McGHIE G,4 - 0,188,AUS,3:08,0
Action shot - Post,7.0,4,4,AUS,1.0,WEBSTER R,4 - 0,170,AUS,2:50,0
5m shot - Missed,3.0,4,4,AUS,1.0,SARANCHA A,4 - 0,143,UZB,2:23,0
Penalty foul,2.0,4,4,AUS,1.0,DADABAEVA D,4 - 0,122,UZB,2:02,0
Penalty shot - Goal,7.0,4,5,AUS,1.0,WEBSTER R,5 - 0,122,AUS,2:02,0
Turnover foul,3.0,4,5,AUS,1.0,SARANCHA A,5 - 0,94,UZB,1:34,0
Steal,7.0,4,5,AUS,1.0,WEBSTER R,5 - 0,94,AUS,1:34,0
Centre shot - Goal,4.0,4,6,AUS,1.0,LINCOLN-SMITH H,6 - 0,79,AUS,1:19,0
Turnover foul,9.0,4,6,AUS,1.0,HALIKOVA R,6 - 0,58,UZB,0:58,0
Steal,6.0,4,6,AUS,1.0,KNOX B,6 - 0,58,AUS,0:58,0
Centre shot - Saved,12.0,4,6,AUS,1.0,ZAGAME N,6 - 0,36,AUS,0:36,0
Turnover foul,4.0,4,6,AUS,1.0,LINCOLN-SMITH H,6 - 0,22,AUS,0:22,0
Starting goalkeeper,13.0,4,6,AUS,2.0,WAKEFIELD K,6 - 0,480,AUS,8:00,0
Starting goalkeeper,1.0,4,6,AUS,2.0,DUKHANOVA E,6 - 0,480,UZB,8:00,0
Sprint won possession,7.0,4,6,AUS,2.0,PLYUSOVA N,6 - 0,480,UZB,8:00,0
Turnover foul,10.0,4,6,AUS,2.0,SOUTHERN A,6 - 0,441,AUS,7:21,0
Turnover foul,7.0,4,6,AUS,2.0,PLYUSOVA N,6 - 0,416,UZB,6:56,0
Steal,3.0,4,6,AUS,2.0,BUCKLING H,6 - 0,416,AUS,6:56,0
Turnover foul,11.0,4,6,AUS,2.0,GOFERS K,6 - 0,406,AUS,6:46,0
Steal,10.0,4,6,AUS,2.0,ZINUROVA A,6 - 0,406,UZB,6:46,0
Action shot - Goal,3.0,4,7,AUS,2.0,BUCKLING H,7 - 0,365,AUS,6:05,0
Penalty foul,10.0,4,7,AUS,2.0,SOUTHERN A,7 - 0,343,AUS,5:43,0
Penalty shot - Goal,3.0,4,7,AUS,2.0,SARANCHA A,7 - 1,343,UZB,5:43,1
Action shot - Goal,9.0,4,8,AUS,2.0,ARANCINI Z,8 - 1,328,AUS,5:28,1
Action shot - Saved,4.0,4,8,AUS,2.0,DJUMALIEVA A,8 - 1,299,UZB,4:59,1
Action shot - Saved,11.0,4,8,AUS,2.0,GOFERS K,8 - 1,273,AUS,4:33,1
Action shot - Saved,11.0,4,8,AUS,2.0,GOFERS K,8 - 1,264,AUS,4:24,1
Action shot - Goal,3.0,4,9,AUS,2.0,BUCKLING H,9 - 1,257,AUS,4:17,1
Turnover foul,7.0,4,9,AUS,2.0,PLYUSOVA N,9 - 1,231,UZB,3:51,1
Steal,11.0,4,9,AUS,2.0,GOFERS K,9 - 1,231,AUS,3:51,1
20 sec. exclusion in field,10.0,4,9,AUS,2.0,ZINUROVA A,9 - 1,210,UZB,3:30,1
Extra player shot - Goal,5.0,4,10,AUS,2.0,BISHOP I,10 - 1,202,AUS,3:22,1
Turnover foul,2.0,4,10,AUS,2.0,APPEL J,10 - 1,167,AUS,2:47,1
5m shot - Post,7.0,4,10,AUS,2.0,PLYUSOVA N,10 - 1,157,UZB,2:37,1
Turnover foul,2.0,4,10,AUS,2.0,APPEL J,10 - 1,139,AUS,2:19,1
Steal,1.0,4,10,AUS,2.0,DUKHANOVA E,10 - 1,139,UZB,2:19,1
Turnover foul,7.0,4,10,AUS,2.0,PLYUSOVA N,10 - 1,110,UZB,1:50,1
Steal,9.0,4,10,AUS,2.0,ARANCINI Z,10 - 1,110,AUS,1:50,1
Action shot - Goal,5.0,4,11,AUS,2.0,BISHOP I,11 - 1,95,AUS,1:35,1
20 sec. exclusion in centre,2.0,4,11,AUS,2.0,APPEL J,11 - 1,77,AUS,1:17,1
Action shot - Missed,9.0,4,11,AUS,2.0,HALIKOVA R,11 - 1,55,UZB,0:55,1
Centre shot - Saved,11.0,4,11,AUS,2.0,GOFERS K,11 - 1,44,AUS,0:44,1
Action shot - Blocked,10.0,4,11,AUS,2.0,SOUTHERN A,11 - 1,26,AUS,0:26,1
Counter attack - Goal,10.0,4,24,AUS,4.0,SOUTHERN A,24 - 2,70,AUS,1:10,2
Action shot - Goal,9.0,4,25,AUS,4.0,ARANCINI Z,25 - 2,22,AUS,0:22,2
Starting goalkeeper,1.0,4,25,AUS,3.0,BARTA L,25 - 2,480,AUS,8:00,2
Starting goalkeeper,1.0,4,25,AUS,3.0,DUKHANOVA E,25 - 2,480,UZB,8:00,2
Sprint won possession,12.0,4,25,AUS,3.0,ZAGAME N,25 - 2,480,AUS,8:00,2
Penalty foul,3.0,4,25,AUS,3.0,SARANCHA A,25 - 2,458,UZB,7:38,2
Penalty shot - Goal,3.0,4,12,AUS,3.0,BUCKLING H,12 - 1,458,AUS,7:38,1
Turnover foul,4.0,4,12,AUS,3.0,DJUMALIEVA A,12 - 1,433,UZB,7:13,1
Action shot - Blocked,7.0,4,12,AUS,3.0,WEBSTER R,12 - 1,404,AUS,6:44,1
Turnover foul,6.0,4,12,AUS,3.0,KNOX B,12 - 1,364,AUS,6:04,1
Steal,5.0,4,12,AUS,3.0,IVANOVA E,12 - 1,364,UZB,6:04,1
Centre shot - Goal,3.0,4,12,AUS,3.0,SARANCHA A,12 - 2,337,UZB,5:37,2
Centre shot - Missed,7.0,4,12,AUS,3.0,WEBSTER R,12 - 2,319,AUS,5:19,2
5m shot - Blocked,7.0,4,12,AUS,3.0,PLYUSOVA N,12 - 2,289,UZB,4:49,2
Action shot - Goal,3.0,4,13,AUS,3.0,BUCKLING H,13 - 2,274,AUS,4:34,2
Action shot - Goal,6.0,4,14,AUS,3.0,KNOX B,14 - 2,224,AUS,3:44,2
Centre shot - Goal,4.0,4,15,AUS,3.0,LINCOLN-SMITH H,15 - 2,177,AUS,2:57,2
Turnover foul,9.0,4,15,AUS,3.0,HALIKOVA R,15 - 2,150,UZB,2:30,2
Steal,7.0,4,15,AUS,3.0,WEBSTER R,15 - 2,150,AUS,2:30,2
Turnover foul,6.0,4,15,AUS,3.0,KNOX B,15 - 2,134,AUS,2:14,2
Turnover foul,10.0,4,15,AUS,3.0,ZINUROVA A,15 - 2,119,UZB,1:59,2
Steal,3.0,4,15,AUS,3.0,BUCKLING H,15 - 2,119,AUS,1:59,2
Action shot - Post,8.0,4,15,AUS,3.0,McGHIE G,15 - 2,96,AUS,1:36,2
Turnover foul,10.0,4,15,AUS,3.0,ZINUROVA A,15 - 2,81,UZB,1:21,2
Steal,7.0,4,15,AUS,3.0,WEBSTER R,15 - 2,81,AUS,1:21,2
20 sec. exclusion in field,10.0,4,15,AUS,3.0,ZINUROVA A,15 - 2,78,UZB,1:18,2
Extra player shot - Post,4.0,4,15,AUS,3.0,LINCOLN-SMITH H,15 - 2,63,AUS,1:03,2
Turnover foul,8.0,4,15,AUS,3.0,SHCHEGLOVA A,15 - 2,40,UZB,0:40,2
Steal,8.0,4,15,AUS,3.0,McGHIE G,15 - 2,40,AUS,0:40,2
Action shot - Goal,6.0,4,16,AUS,3.0,KNOX B,16 - 2,11,AUS,0:11,2
Starting goalkeeper,1.0,4,16,AUS,4.0,BARTA L,16 - 2,480,AUS,8:00,2
Starting goalkeeper,1.0,4,16,AUS,4.0,DUKHANOVA E,16 - 2,480,UZB,8:00,2
Sprint won possession,11.0,4,16,AUS,4.0,GOFERS K,16 - 2,480,AUS,8:00,2
Centre shot - Goal,2.0,4,17,AUS,4.0,APPEL J,17 - 2,465,AUS,7:45,2
Turnover foul,10.0,4,17,AUS,4.0,ZINUROVA A,17 - 2,448,UZB,7:28,2
Steal,11.0,4,17,AUS,4.0,GOFERS K,17 - 2,448,AUS,7:28,2
Counter attack - Saved,11.0,4,17,AUS,4.0,GOFERS K,17 - 2,434,AUS,7:14,2
Turnover foul,8.0,4,17,AUS,4.0,SHCHEGLOVA A,17 - 2,420,UZB,7:00,2
Steal,5.0,4,17,AUS,4.0,BISHOP I,17 - 2,420,AUS,7:00,2
Action shot - Goal,10.0,4,18,AUS,4.0,SOUTHERN A,18 - 2,394,AUS,6:34,2
Turnover foul,10.0,4,18,AUS,4.0,ZINUROVA A,18 - 2,366,UZB,6:06,2
Steal,1.0,4,18,AUS,4.0,BARTA L,18 - 2,366,AUS,6:06,2
Turnover foul,2.0,4,18,AUS,4.0,APPEL J,18 - 2,339,AUS,5:39,2
Steal,3.0,4,18,AUS,4.0,SARANCHA A,18 - 2,339,UZB,5:39,2
Turnover foul,8.0,4,18,AUS,4.0,SHCHEGLOVA A,18 - 2,312,UZB,5:12,2
Steal,10.0,4,18,AUS,4.0,SOUTHERN A,18 - 2,312,AUS,5:12,2
20 sec. exclusion in centre,9.0,4,18,AUS,4.0,HALIKOVA R,18 - 2,293,UZB,4:53,2
Extra player shot - Goal,11.0,4,19,AUS,4.0,GOFERS K,19 - 2,280,AUS,4:40,2
Centre shot - Saved,7.0,4,19,AUS,4.0,PLYUSOVA N,19 - 2,262,UZB,4:22,2
Action shot - Goal,3.0,4,20,AUS,4.0,BUCKLING H,20 - 2,246,AUS,4:06,2
Turnover foul,3.0,4,20,AUS,4.0,SARANCHA A,20 - 2,220,UZB,3:40,2
Action shot - Saved,10.0,4,20,AUS,4.0,SOUTHERN A,20 - 2,206,AUS,3:26,2
Turnover foul,3.0,4,20,AUS,4.0,SARANCHA A,20 - 2,190,UZB,3:10,2
Steal,2.0,4,20,AUS,4.0,APPEL J,20 - 2,190,AUS,3:10,2
Centre shot - Goal,5.0,4,21,AUS,4.0,BISHOP I,21 - 2,167,AUS,2:47,2
Time-Out,,4,21,AUS,4.0,,21 - 2,167,UZB,2:47,2
Turnover foul,4.0,4,21,AUS,4.0,DJUMALIEVA A,21 - 2,154,UZB,2:34,2
Steal,5.0,4,21,AUS,4.0,BISHOP I,21 - 2,154,AUS,2:34,2
Action shot - Saved,9.0,4,21,AUS,4.0,ARANCINI Z,21 - 2,140,AUS,2:20,2
Centre shot - Goal,3.0,4,22,AUS,4.0,BUCKLING H,22 - 2,138,AUS,2:18,2
20 sec. exclusion in field,10.0,4,22,AUS,4.0,ZINUROVA A,22 - 2,108,UZB,1:48,2
Exclusion with substitution,10.0,4,22,AUS,4.0,ZINUROVA A,22 - 2,108,UZB,1:48,2
Action shot - Goal,10.0,4,23,AUS,4.0,SOUTHERN A,23 - 2,87,AUS,1:27,2
Turnover foul,4.0,4,23,AUS,4.0,DJUMALIEVA A,23 - 2,79,UZB,1:19,2
Steal,2.0,4,23,AUS,4.0,APPEL J,23 - 2,79,AUS,1:19,2
5m shot - Saved,7.0,4,23,AUS,4.0,PLYUSOVA N,23 - 2,1,UZB,0:01,2
