Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Penalty shot,2.0,3,1,9,HUN,2.0,ILLES A,9 - 1,415,HUN,6:55,Goal,1
Extra player shot,2.0,3,1,9,HUN,2.0,SHEPELINA N,9 - 1,385,KAZ,6:25,Saved,0
5m shot,11.0,3,1,9,HUN,2.0,GARDA K,9 - 1,358,HUN,5:58,Blocked,0
Action shot,7.0,3,1,10,HUN,2.0,MISKOLCZI I,10 - 1,308,HUN,5:08,Goal,1
Action shot,2.0,3,1,10,HUN,2.0,SHEPELINA N,10 - 1,268,KAZ,4:28,Saved,0
Centre shot,2.0,3,1,11,HUN,2.0,ILLES A,11 - 1,254,HUN,4:14,Goal,1
Extra player shot,10.0,3,1,11,HUN,2.0,GRITSENKO M,11 - 1,202,KAZ,3:22,Missed,0
Action shot,3.0,3,1,11,HUN,2.0,ANTAL D,11 - 1,173,HUN,2:53,Post,0
Centre shot,9.0,3,2,11,HUN,2.0,JAKAYEVA A,11 - 2,148,KAZ,2:28,Goal,1
Action shot,8.0,3,2,11,HUN,2.0,KESZTHELYI R,11 - 2,139,HUN,2:19,Blocked,0
Centre shot,10.0,3,2,12,HUN,2.0,BUJKA B,12 - 2,103,HUN,1:43,Goal,1
Extra player shot,3.0,3,3,12,HUN,2.0,AKILBAYEVA A,12 - 3,67,KAZ,1:07,Goal,1
Centre shot,8.0,3,3,12,HUN,2.0,KESZTHELYI R,12 - 3,47,HUN,0:47,Saved,0
Action shot,5.0,3,3,12,HUN,2.0,SZUCS G,12 - 3,8,HUN,0:08,Post,0
5m shot,3.0,3,3,12,HUN,2.0,AKILBAYEVA A,12 - 3,2,KAZ,0:02,Missed,0
Action shot,11.0,3,3,12,HUN,3.0,GARDA K,12 - 3,456,HUN,7:36,Blocked,0
Extra player shot,4.0,3,3,13,HUN,3.0,KISTELEKI D,13 - 3,392,HUN,6:32,Goal,1
Action shot,2.0,3,3,13,HUN,3.0,SHEPELINA N,13 - 3,357,KAZ,5:57,Missed,0
Counter attack,9.0,3,4,13,HUN,3.0,JAKAYEVA A,13 - 4,336,KAZ,5:36,Goal,1
Action shot,11.0,3,4,14,HUN,3.0,GARDA K,14 - 4,312,HUN,5:12,Goal,1
