Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,7.0,2,1,0,BRA,1.0,ALEXANDROVA N,1 - 0,334,KAZ,5:34
20 sec. exclusion in field,8.0,2,1,0,BRA,1.0,CHIAPPINI I,1 - 0,330,BRA,5:30
Action shot - Blocked,10.0,2,1,0,BRA,1.0,GRITSENKO M,1 - 0,300,KAZ,5:00
Action shot - Goal,3.0,2,1,1,BRA,1.0,ZABLITH M,1 - 1,284,BRA,4:44
Action shot - Post,7.0,2,1,1,BRA,1.0,ALEXANDROVA N,1 - 1,266,KAZ,4:26
5m shot - Blocked,12.0,2,1,1,BRA,1.0,BAHIA V,1 - 1,236,BRA,3:56
20 sec. exclusion in field,6.0,2,1,1,BRA,1.0,ZUBKOVA A,1 - 1,223,KAZ,3:43
Extra player shot - Goal,3.0,2,1,2,BRA,1.0,ZABLITH M,1 - 2,203,BRA,3:23
Centre shot - Saved,9.0,2,1,2,BRA,1.0,JAKAYEVA A,1 - 2,173,KAZ,2:53
Turnover foul,12.0,2,1,2,BRA,1.0,BAHIA V,1 - 2,155,BRA,2:35
Turnover foul,9.0,2,1,2,BRA,1.0,JAKAYEVA A,1 - 2,130,KAZ,2:10
Centre shot - Post,4.0,2,1,2,BRA,1.0,CANETTI M,1 - 2,111,BRA,1:51
20 sec. exclusion in field,3.0,2,1,2,BRA,1.0,ZABLITH M,1 - 2,93,BRA,1:33
Extra player shot - Post,10.0,2,1,2,BRA,1.0,GRITSENKO M,1 - 2,76,KAZ,1:16
Turnover foul,4.0,2,1,2,BRA,1.0,TUROVA A,1 - 2,70,KAZ,1:10
Steal,5.0,2,1,2,BRA,1.0,MAIA L,1 - 2,70,BRA,1:10
Turnover foul,4.0,2,1,2,BRA,1.0,CANETTI M,1 - 2,45,BRA,0:45
Penalty foul,7.0,2,1,2,BRA,1.0,DIAS M,1 - 2,34,BRA,0:34
Penalty shot - Goal,10.0,2,2,2,BRA,1.0,GRITSENKO M,2 - 2,34,KAZ,0:34
20 sec. exclusion in field,7.0,2,2,2,BRA,1.0,ALEXANDROVA N,2 - 2,19,KAZ,0:19
Extra player shot - Saved,3.0,2,2,2,BRA,1.0,ZABLITH M,2 - 2,2,BRA,0:02
Starting goalkeeper,1.0,2,2,2,BRA,2.0,ZHARKOVA A,2 - 2,480,KAZ,8:00
Starting goalkeeper,1.0,2,2,2,BRA,2.0,CANETTI M,2 - 2,480,BRA,8:00
Sprint won possession,3.0,2,2,2,BRA,2.0,ZABLITH M,2 - 2,480,BRA,8:00
Turnover foul,11.0,2,2,2,BRA,2.0,COUTINHO M,2 - 2,458,BRA,7:38
20 sec. exclusion in centre,7.0,2,2,2,BRA,2.0,DIAS M,2 - 2,445,BRA,7:25
Extra player shot - Goal,9.0,2,3,2,BRA,2.0,JAKAYEVA A,3 - 2,442,KAZ,7:22
5m shot - Saved,12.0,2,3,2,BRA,2.0,BAHIA V,3 - 2,417,BRA,6:57
Turnover foul,12.0,2,3,2,BRA,2.0,BAHIA V,3 - 2,400,BRA,6:40
Steal,4.0,2,3,2,BRA,2.0,TUROVA A,3 - 2,400,KAZ,6:40
20 sec. exclusion in field,12.0,2,3,2,BRA,2.0,BAHIA V,3 - 2,398,BRA,6:38
Extra player shot - Post,2.0,2,3,2,BRA,2.0,SHEPELINA N,3 - 2,383,KAZ,6:23
Action shot - Saved,3.0,2,3,2,BRA,2.0,AKILBAYEVA A,3 - 2,339,KAZ,5:39
Centre shot - Saved,3.0,2,3,2,BRA,2.0,ZABLITH M,3 - 2,318,BRA,5:18
Turnover foul,4.0,2,3,2,BRA,2.0,TUROVA A,3 - 2,289,KAZ,4:49
Turnover foul,4.0,2,3,2,BRA,2.0,CANETTI M,3 - 2,279,BRA,4:39
Turnover foul,7.0,2,3,2,BRA,2.0,ALEXANDROVA N,3 - 2,274,KAZ,4:34
Turnover foul,5.0,2,3,2,BRA,2.0,MAIA L,3 - 2,249,BRA,4:09
Steal,7.0,2,3,2,BRA,2.0,ALEXANDROVA N,3 - 2,249,KAZ,4:09
20 sec. exclusion in field,12.0,2,3,2,BRA,2.0,BAHIA V,3 - 2,241,BRA,4:01
Extra player shot - Goal,2.0,2,4,2,BRA,2.0,SHEPELINA N,4 - 2,223,KAZ,3:43
Turnover foul,11.0,2,4,2,BRA,2.0,COUTINHO M,4 - 2,209,BRA,3:29
Turnover foul,4.0,2,4,2,BRA,2.0,TUROVA A,4 - 2,191,KAZ,3:11
Steal,10.0,2,4,2,BRA,2.0,VIGNA F,4 - 2,191,BRA,3:11
5m shot - Saved,10.0,2,4,2,BRA,2.0,VIGNA F,4 - 2,163,BRA,2:43
Turnover foul,10.0,2,4,2,BRA,2.0,GRITSENKO M,4 - 2,150,KAZ,2:30
Centre shot - Goal,4.0,2,5,2,BRA,2.0,TUROVA A,5 - 2,98,KAZ,1:38
Turnover foul,9.0,2,5,2,BRA,2.0,MURATORE V,5 - 2,83,BRA,1:23
Turnover foul,3.0,2,5,2,BRA,2.0,AKILBAYEVA A,5 - 2,68,KAZ,1:08
Steal,5.0,2,5,2,BRA,2.0,MAIA L,5 - 2,68,BRA,1:08
Counter attack - Goal,8.0,2,9,5,BRA,4.0,CHIAPPINI I,9 - 5,176,BRA,2:56
Time-Out,,2,9,5,BRA,4.0,,9 - 5,176,KAZ,2:56
Turnover foul,4.0,2,9,5,BRA,4.0,CANETTI M,9 - 5,137,BRA,2:17
Steal,10.0,2,9,5,BRA,4.0,GRITSENKO M,9 - 5,137,KAZ,2:17
Action shot - Saved,3.0,2,9,5,BRA,4.0,AKILBAYEVA A,9 - 5,109,KAZ,1:49
Turnover foul,3.0,2,9,5,BRA,4.0,ZABLITH M,9 - 5,87,BRA,1:27
20 sec. exclusion in field,11.0,2,9,5,BRA,4.0,COUTINHO M,9 - 5,63,BRA,1:03
20 sec. exclusion in centre,4.0,2,9,5,BRA,2.0,TUROVA A,9 - 5,53,KAZ,0:53
Action shot - Post,4.0,2,9,5,BRA,2.0,CANETTI M,9 - 5,23,BRA,0:23
5m shot - Saved,3.0,2,9,5,BRA,2.0,AKILBAYEVA A,9 - 5,2,KAZ,0:02
20 sec. exclusion in field,3.0,2,9,5,BRA,2.0,ZABLITH M,9 - 5,1,BRA,0:01
Starting goalkeeper,1.0,2,9,5,BRA,3.0,ZHARKOVA A,9 - 5,480,KAZ,8:00
Starting goalkeeper,1.0,2,9,5,BRA,3.0,CANETTI M,9 - 5,480,BRA,8:00
Sprint won possession,8.0,2,9,5,BRA,3.0,CHIAPPINI I,9 - 5,480,BRA,8:00
5m shot - Missed,7.0,2,9,5,BRA,3.0,DIAS M,9 - 5,453,BRA,7:33
Turnover foul,10.0,2,9,5,BRA,3.0,GRITSENKO M,9 - 5,441,KAZ,7:21
Penalty foul,6.0,2,9,5,BRA,3.0,ZUBKOVA A,9 - 5,433,KAZ,7:13
Penalty shot - Missed,11.0,2,9,5,BRA,3.0,COUTINHO M,9 - 5,433,BRA,7:13
20 sec. exclusion in centre,7.0,2,9,5,BRA,3.0,DIAS M,9 - 5,421,BRA,7:01
Exclusion with substitution,7.0,2,9,5,BRA,3.0,DIAS M,9 - 5,421,BRA,7:01
Extra player shot - Post,2.0,2,9,5,BRA,3.0,SHEPELINA N,9 - 5,410,KAZ,6:50
Centre shot - Goal,9.0,2,6,2,BRA,3.0,JAKAYEVA A,6 - 2,400,KAZ,6:40
Turnover foul,10.0,2,6,2,BRA,3.0,VIGNA F,6 - 2,374,BRA,6:14
Steal,10.0,2,6,2,BRA,3.0,GRITSENKO M,6 - 2,374,KAZ,6:14
Centre shot - Post,9.0,2,6,2,BRA,3.0,JAKAYEVA A,6 - 2,351,KAZ,5:51
20 sec. exclusion in field,4.0,2,6,2,BRA,3.0,TUROVA A,6 - 2,342,KAZ,5:42
Extra player shot - Saved,8.0,2,6,2,BRA,3.0,CHIAPPINI I,6 - 2,323,BRA,5:23
20 sec. exclusion in field,4.0,2,6,2,BRA,3.0,CANETTI M,6 - 2,304,BRA,5:04
Time-Out,,2,6,2,BRA,3.0,,6 - 2,304,KAZ,5:04
Action shot - Goal,10.0,2,7,2,BRA,3.0,GRITSENKO M,7 - 2,280,KAZ,4:40
20 sec. exclusion in field,7.0,2,7,2,BRA,3.0,ALEXANDROVA N,7 - 2,271,KAZ,4:31
Action shot - Blocked,8.0,2,7,2,BRA,3.0,CHIAPPINI I,7 - 2,250,BRA,4:10
5m shot - Missed,10.0,2,7,2,BRA,3.0,GRITSENKO M,7 - 2,224,KAZ,3:44
Turnover foul,5.0,2,7,2,BRA,3.0,MAIA L,7 - 2,198,BRA,3:18
Steal,12.0,2,7,2,BRA,3.0,MUSSAROVA A,7 - 2,198,KAZ,3:18
Action shot - Post,2.0,2,7,2,BRA,3.0,SHEPELINA N,7 - 2,180,KAZ,3:00
Turnover foul,8.0,2,7,2,BRA,3.0,GLUSHKOVA Y,7 - 2,162,KAZ,2:42
Steal,1.0,2,7,2,BRA,3.0,CANETTI M,7 - 2,162,BRA,2:42
Action shot - Blocked,8.0,2,7,2,BRA,3.0,CHIAPPINI I,7 - 2,140,BRA,2:20
Turnover foul,3.0,2,7,2,BRA,3.0,AKILBAYEVA A,7 - 2,127,KAZ,2:07
Steal,5.0,2,7,2,BRA,3.0,MAIA L,7 - 2,127,BRA,2:07
Turnover foul,4.0,2,7,2,BRA,3.0,CANETTI M,7 - 2,105,BRA,1:45
Steal,12.0,2,7,2,BRA,3.0,MUSSAROVA A,7 - 2,105,KAZ,1:45
Turnover foul,8.0,2,7,2,BRA,3.0,GLUSHKOVA Y,7 - 2,87,KAZ,1:27
20 sec. exclusion in field,4.0,2,7,2,BRA,3.0,TUROVA A,7 - 2,77,KAZ,1:17
Exclusion with substitution,4.0,2,7,2,BRA,3.0,TUROVA A,7 - 2,77,KAZ,1:17
Time-Out,,2,7,2,BRA,3.0,,7 - 2,74,BRA,1:14
Goalkeeper substitution,13.0,2,7,2,BRA,3.0,CHAMORRO V,7 - 2,74,BRA,1:14
Turnover foul,12.0,2,7,2,BRA,3.0,BAHIA V,7 - 2,64,BRA,1:04
20 sec. exclusion in field,2.0,2,7,2,BRA,3.0,ABLA D,7 - 2,40,BRA,0:40
Turnover foul,8.0,2,7,2,BRA,3.0,GLUSHKOVA Y,7 - 2,12,KAZ,0:12
Starting goalkeeper,1.0,2,7,2,BRA,4.0,ZHARKOVA A,7 - 2,480,KAZ,8:00
Starting goalkeeper,13.0,2,7,2,BRA,4.0,CHAMORRO V,7 - 2,480,BRA,8:00
Sprint won possession,8.0,2,7,2,BRA,4.0,CHIAPPINI I,7 - 2,480,BRA,8:00
Turnover foul,4.0,2,7,2,BRA,4.0,CANETTI M,7 - 2,459,BRA,7:39
Steal,12.0,2,7,2,BRA,4.0,MUSSAROVA A,7 - 2,459,KAZ,7:39
Action shot - Post,10.0,2,7,2,BRA,4.0,GRITSENKO M,7 - 2,442,KAZ,7:22
Centre shot - Goal,8.0,2,8,2,BRA,4.0,GLUSHKOVA Y,8 - 2,441,KAZ,7:21
5m shot - Saved,10.0,2,8,2,BRA,4.0,VIGNA F,8 - 2,417,BRA,6:57
