Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
5m shot - Missed,6.0,2,7,NZL,3.0,DOYLE B,6,7 - 6,280,NZL,4:40
Time-Out,,2,7,NZL,3.0,,6,7 - 6,279,RSA,4:39
Turnover foul,12.0,2,7,NZL,3.0,WHITE K,6,7 - 6,256,RSA,4:16
Steal,1.0,2,7,NZL,3.0,MILICICH J,6,7 - 6,256,NZL,4:16
5m shot - Saved,9.0,2,7,NZL,3.0,STONEMAN E,6,7 - 6,230,NZL,3:50
20 sec. exclusion in field,12.0,2,7,NZL,3.0,PYE B,6,7 - 6,229,NZL,3:49
5m shot - Saved,2.0,2,7,NZL,3.0,PENNEY A,6,7 - 6,202,RSA,3:22
5m shot - Saved,3.0,2,7,NZL,3.0,MASON K,6,7 - 6,179,NZL,2:59
Centre shot - Missed,3.0,2,7,NZL,3.0,MASON K,6,7 - 6,165,NZL,2:45
Turnover foul,3.0,2,7,NZL,3.0,PALEY K,6,7 - 6,146,RSA,2:26
Steal,9.0,2,7,NZL,3.0,STONEMAN E,6,7 - 6,146,NZL,2:26
5m shot - Goal,11.0,2,4,NZL,3.0,HUDSON K,3,4 - 3,124,NZL,2:04
20 sec. exclusion in field,4.0,2,4,NZL,3.0,FERIGO R,3,4 - 3,104,NZL,1:44
Extra player shot - Goal,5.0,2,4,NZL,3.0,SCHOOLING M,4,4 - 4,86,RSA,1:26
5m shot - Blocked,11.0,2,4,NZL,3.0,HUDSON K,4,4 - 4,58,NZL,0:58
Turnover foul,9.0,2,4,NZL,3.0,SMIT Z,4,4 - 4,41,RSA,0:41
Steal,4.0,2,4,NZL,3.0,FERIGO R,4,4 - 4,41,NZL,0:41
5m shot - Saved,11.0,2,4,NZL,3.0,HUDSON K,4,4 - 4,23,NZL,0:23
Time-Out,,2,4,NZL,3.0,,4,4 - 4,22,NZL,0:22
Starting goalkeeper,1.0,2,4,NZL,4.0,MILICICH J,4,4 - 4,480,NZL,8:00
Starting goalkeeper,1.0,2,4,NZL,4.0,THOMAS R,4,4 - 4,480,RSA,8:00
Sprint won possession,8.0,2,4,NZL,4.0,KEEVY A,4,4 - 4,480,RSA,8:00
Centre shot - Goal,5.0,2,4,NZL,4.0,SCHOOLING M,5,4 - 5,455,RSA,7:35
Action shot - Saved,11.0,2,4,NZL,4.0,HUDSON K,5,4 - 5,425,NZL,7:05
Turnover foul,12.0,2,4,NZL,4.0,WHITE K,5,4 - 5,391,RSA,6:31
Steal,11.0,2,4,NZL,4.0,HUDSON K,5,4 - 5,391,NZL,6:31
5m shot - Missed,3.0,2,4,NZL,4.0,MASON K,5,4 - 5,375,NZL,6:15
Action shot - Goal,7.0,2,4,NZL,4.0,WESSELS C,6,4 - 6,358,RSA,5:58
5m shot - Missed,11.0,2,4,NZL,4.0,HUDSON K,6,4 - 6,333,NZL,5:33
20 sec. exclusion in centre,11.0,2,4,NZL,4.0,HUDSON K,6,4 - 6,315,NZL,5:15
Extra player shot - Missed,7.0,2,4,NZL,4.0,WESSELS C,6,4 - 6,308,RSA,5:08
5m shot - Saved,11.0,2,4,NZL,4.0,HUDSON K,6,4 - 6,290,NZL,4:50
5m shot - Goal,12.0,2,5,NZL,4.0,PYE B,6,5 - 6,278,NZL,4:38
Turnover foul,12.0,2,5,NZL,4.0,WHITE K,6,5 - 6,263,RSA,4:23
Steal,3.0,2,5,NZL,4.0,MASON K,6,5 - 6,263,NZL,4:23
20 sec. exclusion in centre,5.0,2,5,NZL,4.0,SCHOOLING M,6,5 - 6,235,RSA,3:55
5m shot - Goal,3.0,2,6,NZL,4.0,MASON K,6,6 - 6,216,NZL,3:36
Turnover foul,9.0,2,6,NZL,4.0,SMIT Z,6,6 - 6,191,RSA,3:11
Steal,8.0,2,6,NZL,4.0,LOPES da SILVA C,6,6 - 6,191,NZL,3:11
Action shot - Blocked,12.0,2,6,NZL,4.0,PYE B,6,6 - 6,163,NZL,2:43
5m shot - Missed,8.0,2,6,NZL,4.0,LOPES da SILVA C,6,6 - 6,133,NZL,2:13
Time-Out,,2,6,NZL,4.0,,6,6 - 6,133,RSA,2:13
Turnover foul,12.0,2,6,NZL,4.0,WHITE K,6,6 - 6,97,RSA,1:37
20 sec. exclusion in centre,6.0,2,6,NZL,4.0,HALLENDORFF A,6,6 - 6,52,RSA,0:52
Time-Out,,2,6,NZL,4.0,,6,6 - 6,52,NZL,0:52
