Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,10,11.0,5,10,SRB,4.0,PRLAINOVIC A,10 - 10,318,SRB,5:18,Saved,0
Extra player shot,11,7.0,5,10,SRB,4.0,VUKICEVIC A,10 - 11,291,CRO,4:51,Goal,1
5m shot,11,2.0,5,11,SRB,4.0,MANDIC D,11 - 11,208,SRB,3:28,Goal,1
Extra player shot,12,5.0,5,11,SRB,4.0,JOKOVIC M,11 - 12,179,CRO,2:59,Goal,1
5m shot,12,11.0,5,11,SRB,4.0,PRLAINOVIC A,11 - 12,3,SRB,0:03,Saved,0
Centre shot,1,9.0,6,0,HUN,1.0,SUKNO S,0 - 1,435,CRO,7:15,Goal,1
5m shot,1,6.0,6,0,HUN,1.0,HOSNYANSZKY N,0 - 1,410,HUN,6:50,Saved,0
Centre shot,1,8.0,6,0,HUN,1.0,GOR-NAGY M,0 - 1,333,HUN,5:33,Saved,0
Extra player shot,2,4.0,6,0,HUN,1.0,LONCAR L,0 - 2,315,CRO,5:15,Goal,1
Extra player shot,2,3.0,6,0,HUN,1.0,MANHERCZ K,0 - 2,271,HUN,4:31,Post,0
Action shot,2,10.0,6,0,HUN,1.0,VARGA D,0 - 2,264,HUN,4:24,Saved,0
5m shot,2,11.0,6,0,HUN,1.0,SETKA A,0 - 2,235,CRO,3:55,Saved,0
5m shot,2,10.0,6,0,HUN,1.0,VARGA D,0 - 2,184,HUN,3:04,Missed,0
Centre shot,3,5.0,6,0,HUN,1.0,JOKOVIC M,0 - 3,172,CRO,2:52,Goal,1
5m shot,3,8.0,6,0,HUN,1.0,BUSLJE A,0 - 3,130,CRO,2:10,Blocked,0
Extra player shot,3,4.0,6,0,HUN,1.0,ZALANKI G,0 - 3,63,HUN,1:03,Saved,0
Extra player shot,4,2.0,6,0,HUN,1.0,MACAN M,0 - 4,23,CRO,0:23,Goal,1
5m shot,4,3.0,6,0,HUN,1.0,MANHERCZ K,0 - 4,1,HUN,0:01,Missed,0
5m shot,4,5.0,6,1,HUN,2.0,VAMOS M,1 - 4,455,HUN,7:35,Goal,1
Extra player shot,4,9.0,6,1,HUN,2.0,SUKNO S,1 - 4,413,CRO,6:53,Saved,0
Action shot,4,12.0,6,1,HUN,2.0,GARCIA GADEA J,1 - 4,353,CRO,5:53,Post,0
5m shot,4,2.0,6,2,HUN,2.0,TOROK B,2 - 4,332,HUN,5:32,Goal,1
Action shot,4,9.0,6,2,HUN,2.0,SUKNO S,2 - 4,312,CRO,5:12,Blocked,0
Action shot,4,8.0,6,2,HUN,2.0,BUSLJE A,2 - 4,255,CRO,4:15,Saved,0
Action shot,4,8.0,6,2,HUN,2.0,BUSLJE A,2 - 4,172,CRO,2:52,Post,0
5m shot,4,7.0,6,2,HUN,2.0,VUKICEVIC A,2 - 4,144,CRO,2:24,Post,0
Extra player shot,4,3.0,6,2,HUN,2.0,MANHERCZ K,2 - 4,111,HUN,1:51,Saved,0
5m shot,4,9.0,6,2,HUN,2.0,SUKNO S,2 - 4,82,CRO,1:22,Saved,0
Action shot,4,12.0,6,2,HUN,2.0,GARCIA GADEA J,2 - 4,31,CRO,0:31,Saved,0
5m shot,4,5.0,6,2,HUN,3.0,JOKOVIC M,2 - 4,451,CRO,7:31,Saved,0
Extra player shot,4,9.0,6,3,HUN,3.0,ERDELYI B,3 - 4,406,HUN,6:46,Goal,1
Extra player shot,4,12.0,6,3,HUN,3.0,GARCIA GADEA J,3 - 4,363,CRO,6:03,Post,0
Action shot,4,5.0,6,3,HUN,3.0,JOKOVIC M,3 - 4,326,CRO,5:26,Post,0
5m shot,4,10.0,6,3,HUN,3.0,VARGA D,3 - 4,301,HUN,5:01,Post,0
Action shot,4,2.0,6,3,HUN,3.0,TOROK B,3 - 4,248,HUN,4:08,Saved,0
Action shot,4,5.0,6,3,HUN,3.0,JOKOVIC M,3 - 4,227,CRO,3:47,Saved,0
Action shot,4,3.0,6,4,HUN,3.0,MANHERCZ K,4 - 4,180,HUN,3:00,Goal,1
Action shot,5,12.0,6,4,HUN,3.0,GARCIA GADEA J,4 - 5,132,CRO,2:12,Goal,1
5m shot,6,12.0,6,4,HUN,3.0,GARCIA GADEA J,4 - 6,89,CRO,1:29,Goal,1
Extra player shot,6,10.0,6,4,HUN,3.0,VARGA D,4 - 6,59,HUN,0:59,Saved,0
Action shot,6,6.0,6,4,HUN,3.0,BULJUBASIC I,4 - 6,32,CRO,0:32,Post,0
5m shot,6,10.0,6,4,HUN,3.0,VARGA D,4 - 6,5,HUN,0:05,Saved,0
5m shot,6,11.0,6,4,HUN,3.0,SETKA A,4 - 6,1,CRO,0:01,Saved,0
5m shot,6,3.0,6,4,HUN,4.0,MANHERCZ K,4 - 6,454,HUN,7:34,Saved,0
Action shot,6,5.0,6,4,HUN,4.0,JOKOVIC M,4 - 6,425,CRO,7:05,Saved,0
5m shot,6,8.0,6,4,HUN,4.0,BUSLJE A,4 - 6,366,CRO,6:06,Saved,0
5m shot,6,4.0,6,4,HUN,4.0,ZALANKI G,4 - 6,338,HUN,5:38,Saved,0
Extra player shot,6,4.0,6,4,HUN,4.0,LONCAR L,4 - 6,306,CRO,5:06,Saved,0
Extra player shot,7,9.0,6,4,HUN,4.0,SUKNO S,4 - 7,297,CRO,4:57,Goal,1
Extra player shot,7,5.0,6,5,HUN,4.0,VAMOS M,5 - 7,279,HUN,4:39,Goal,1
5m shot,7,12.0,6,5,HUN,4.0,GARCIA GADEA J,5 - 7,250,CRO,4:10,Saved,0
Action shot,7,3.0,6,5,HUN,4.0,MANHERCZ K,5 - 7,230,HUN,3:50,Blocked,0
5m shot,7,11.0,6,5,HUN,4.0,SETKA A,5 - 7,203,CRO,3:23,Post,0
Extra player shot,7,5.0,6,6,HUN,4.0,VAMOS M,6 - 7,164,HUN,2:44,Goal,1
5m shot,8,9.0,6,6,HUN,4.0,SUKNO S,6 - 8,143,CRO,2:23,Goal,1
5m shot,8,5.0,6,6,HUN,4.0,VAMOS M,6 - 8,118,HUN,1:58,Saved,0
Extra player shot,8,5.0,6,6,HUN,4.0,VAMOS M,6 - 8,73,HUN,1:13,Missed,0
5m shot,8,11.0,6,6,HUN,4.0,SETKA A,6 - 8,44,CRO,0:44,Missed,0
