Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name
4.0,5:59,5m shot - Post,6 - 10,NZL,MYLES A,12.0,6,10,359,2,RSA
4.0,5:38,Turnover foul,6 - 10,RSA,WHITE K,12.0,6,10,338,2,RSA
4.0,5:38,Steal,6 - 10,NZL,MILLAR B,1.0,6,10,338,2,RSA
4.0,5:16,Turnover foul,6 - 10,NZL,LEWIS N,4.0,6,10,316,2,RSA
4.0,4:57,Action shot - Missed,6 - 10,RSA,KEET M,10.0,6,10,297,2,RSA
4.0,4:33,Turnover foul,6 - 10,NZL,SMITH L,6.0,6,10,273,2,RSA
4.0,4:33,Steal,6 - 10,RSA,KAY K,7.0,6,10,273,2,RSA
4.0,4:02,20 sec. exclusion in field,6 - 10,RSA,KEET M,10.0,6,10,242,2,RSA
4.0,4:02,Exclusion with substitution,6 - 10,RSA,KEET M,10.0,6,10,242,2,RSA
4.0,3:39,Action shot - Goal,6 - 11,NZL,HUDSON K,11.0,6,11,219,2,RSA
4.0,3:28,Turnover foul,6 - 11,RSA,PALEY K,3.0,6,11,208,2,RSA
4.0,3:28,Steal,6 - 11,NZL,MILLAR B,1.0,6,11,208,2,RSA
2.0,2:48,Extra player shot - Saved,6 - 11,NZL,SMITH L,6.0,6,11,168,2,RSA
2.0,2:18,Action shot - Saved,6 - 11,RSA,KEET L,8.0,6,11,138,2,RSA
2.0,1:55,Action shot - Goal,3 - 6,NZL,HUDSON K,11.0,3,6,115,2,RSA
2.0,1:35,Turnover foul,3 - 6,RSA,WHITE K,12.0,3,6,95,2,RSA
2.0,1:23,Action shot - Saved,3 - 6,NZL,MYLES A,12.0,3,6,83,2,RSA
2.0,1:03,Turnover foul,3 - 6,NZL,LEWIS N,4.0,3,6,63,2,RSA
2.0,1:03,Steal,3 - 6,RSA,KEET L,8.0,3,6,63,2,RSA
2.0,0:42,Turnover foul,3 - 6,RSA,RAWSTRON C,4.0,3,6,42,2,RSA
2.0,0:24,5m shot - Post,3 - 6,NZL,MASON K,3.0,3,6,24,2,RSA
2.0,0:01,Turnover foul,3 - 6,RSA,KEET L,8.0,3,6,1,2,RSA
2.0,0:01,Steal,3 - 6,NZL,MILLAR B,1.0,3,6,1,2,RSA
3.0,8:00,Starting goalkeeper,3 - 6,NZL,MILLAR B,1.0,3,6,480,2,RSA
3.0,8:00,Starting goalkeeper,3 - 6,RSA,JACOBS A,1.0,3,6,480,2,RSA
3.0,8:00,Sprint won possession,3 - 6,RSA,KAY K,7.0,3,6,480,2,RSA
3.0,7:44,20 sec. exclusion in centre,3 - 6,NZL,MASON K,3.0,3,6,464,2,RSA
3.0,7:19,Action shot - Saved,3 - 6,RSA,WHITE K,12.0,3,6,439,2,RSA
3.0,7:10,Turnover foul,3 - 6,RSA,SCHOOLING M,5.0,3,6,430,2,RSA
3.0,6:51,20 sec. exclusion in centre,3 - 6,RSA,SCHOOLING T,6.0,3,6,411,2,RSA
3.0,6:33,Extra player shot - Saved,3 - 6,NZL,MASON K,3.0,3,6,393,2,RSA
3.0,6:13,Turnover foul,3 - 6,RSA,WHITE K,12.0,3,6,373,2,RSA
3.0,6:13,Steal,3 - 6,NZL,MILLAR B,1.0,3,6,373,2,RSA
3.0,5:56,20 sec. exclusion in centre,3 - 6,RSA,WHITE K,12.0,3,6,356,2,RSA
3.0,5:42,Extra player shot - Blocked,3 - 6,NZL,BOWRY C,10.0,3,6,342,2,RSA
3.0,5:41,20 sec. exclusion in field,3 - 6,NZL,LEWIS D,8.0,3,6,341,2,RSA
3.0,5:41,Time-Out,3 - 6,RSA,,,3,6,341,2,RSA
3.0,5:15,Turnover foul,3 - 6,RSA,PALEY K,3.0,3,6,315,2,RSA
3.0,5:15,Steal,3 - 6,NZL,MYLES A,12.0,3,6,315,2,RSA
3.0,4:50,Action shot - Missed,3 - 6,NZL,MASON K,3.0,3,6,290,2,RSA
3.0,4:29,Turnover foul,3 - 6,RSA,KAY K,7.0,3,6,269,2,RSA
3.0,4:12,Turnover foul,3 - 6,NZL,MASON K,3.0,3,6,252,2,RSA
3.0,4:12,Steal,3 - 6,RSA,KAY K,7.0,3,6,252,2,RSA
3.0,4:06,Turnover foul,3 - 6,RSA,KAY K,7.0,3,6,246,2,RSA
3.0,4:04,Centre shot - Saved,3 - 6,NZL,LEWIS N,4.0,3,6,244,2,RSA
3.0,3:52,Action shot - Goal,4 - 6,RSA,KEET M,10.0,4,6,232,2,RSA
3.0,3:26,Turnover foul,4 - 6,NZL,COX E,2.0,4,6,206,2,RSA
3.0,3:26,Steal,4 - 6,RSA,CHRISTIAN D,9.0,4,6,206,2,RSA
3.0,3:16,Turnover foul,4 - 6,RSA,KEET M,10.0,4,6,196,2,RSA
3.0,3:10,Action shot - Goal,4 - 7,NZL,MYLES A,12.0,4,7,190,2,RSA
3.0,2:55,20 sec. exclusion in centre,4 - 7,NZL,LEWIS D,8.0,4,7,175,2,RSA
