Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name,Result,Goal
1.0,0:55,Penalty shot,5 - 1,ESP,TARRAGO R,4.0,5,1,55,4,ESP,Goal,1
1.0,0:17,5m shot,5 - 1,NZL,MYLES A,12.0,5,1,17,4,ESP,Saved,0
2.0,7:27,Extra player shot,6 - 1,ESP,GARCIA GODOY M,11.0,6,1,447,4,ESP,Goal,1
2.0,7:00,Action shot,6 - 1,ESP,TARRAGO R,4.0,6,1,420,4,ESP,Blocked,0
2.0,6:07,Action shot,6 - 1,NZL,SIEPRATH L,9.0,6,1,367,4,ESP,Post,0
2.0,5:40,Penalty shot,7 - 1,ESP,PAREJA J,6.0,7,1,340,4,ESP,Goal,1
2.0,4:59,Extra player shot,7 - 2,NZL,LEWIS N,4.0,7,2,299,4,ESP,Goal,1
2.0,4:34,Extra player shot,7 - 2,ESP,ORTIZ M,5.0,7,2,274,4,ESP,Post,0
2.0,4:02,Action shot,7 - 2,ESP,ORTIZ M,5.0,7,2,242,4,ESP,Post,0
2.0,3:52,Action shot,7 - 2,ESP,PAREJA J,6.0,7,2,232,4,ESP,Saved,0
2.0,2:59,Penalty shot,8 - 2,ESP,TARRAGO R,4.0,8,2,179,4,ESP,Goal,1
2.0,2:18,Action shot,9 - 2,ESP,GARCIA GODOY M,11.0,9,2,138,4,ESP,Goal,1
2.0,1:50,5m shot,9 - 2,NZL,MASON K,3.0,9,2,110,4,ESP,Missed,0
4.0,3:55,5m shot,14 - 6,NZL,SIEPRATH L,9.0,14,6,235,4,ESP,Goal,1
4.0,3:37,Action shot,15 - 6,ESP,LOPEZ L,12.0,15,6,217,4,ESP,Goal,1
4.0,3:02,Extra player shot,15 - 6,NZL,BOWRY C,10.0,15,6,182,4,ESP,Blocked,0
4.0,2:40,Penalty shot,16 - 6,ESP,LOPEZ L,12.0,16,6,160,4,ESP,Goal,1
4.0,2:19,5m shot,16 - 6,NZL,MYLES A,12.0,16,6,139,4,ESP,Saved,0
2.0,0:31,5m shot,16 - 6,NZL,SMITH L,6.0,16,6,31,4,ESP,Saved,0
2.0,0:05,Extra player shot,9 - 3,NZL,MYLES A,12.0,9,3,5,4,ESP,Goal,1
2.0,0:01,5m shot,9 - 3,ESP,PAREJA J,6.0,9,3,1,4,ESP,Missed,0
3.0,7:33,Action shot,10 - 3,ESP,LOPEZ L,12.0,10,3,453,4,ESP,Goal,1
3.0,7:02,Extra player shot,10 - 3,NZL,MASON K,3.0,10,3,422,4,ESP,Saved,0
3.0,6:25,Extra player shot,11 - 3,ESP,TARRAGO R,4.0,11,3,385,4,ESP,Goal,1
3.0,4:24,Extra player shot,11 - 3,NZL,HUDSON K,11.0,11,3,264,4,ESP,Saved,0
3.0,4:15,Action shot,11 - 3,NZL,BOWRY C,10.0,11,3,255,4,ESP,Saved,0
3.0,3:37,Penalty shot,11 - 4,NZL,HUDSON K,11.0,11,4,217,4,ESP,Goal,1
3.0,3:15,5m shot,11 - 4,ESP,MIRANDA L,7.0,11,4,195,4,ESP,Post,0
3.0,2:54,Action shot,11 - 4,ESP,LOPEZ L,12.0,11,4,174,4,ESP,Saved,0
3.0,1:31,Extra player shot,11 - 5,NZL,MYLES A,12.0,11,5,91,4,ESP,Goal,1
3.0,1:00,Extra player shot,12 - 5,ESP,BLAS A,9.0,12,5,60,4,ESP,Goal,1
3.0,0:03,Extra player shot,12 - 5,NZL,HUDSON K,11.0,12,5,3,4,ESP,Saved,0
3.0,0:01,Extra player shot,12 - 5,NZL,LANDRY S,7.0,12,5,1,4,ESP,Blocked,0
4.0,7:47,Action shot,13 - 5,ESP,PAREJA J,6.0,13,5,467,4,ESP,Goal,1
4.0,7:08,Action shot,13 - 5,ESP,TARRAGO R,4.0,13,5,428,4,ESP,Saved,0
4.0,6:44,Action shot,13 - 5,NZL,MYLES A,12.0,13,5,404,4,ESP,Blocked,0
4.0,6:16,Action shot,13 - 5,ESP,PAREJA J,6.0,13,5,376,4,ESP,Saved,0
4.0,5:35,Extra player shot,13 - 5,NZL,HUDSON K,11.0,13,5,335,4,ESP,Blocked,0
4.0,4:31,Action shot,14 - 5,ESP,TARRAGO R,4.0,14,5,271,4,ESP,Goal,1
4.0,2:10,Penalty shot,17 - 6,ESP,PAREJA J,6.0,17,6,130,4,ESP,Goal,1
4.0,1:22,Extra player shot,17 - 6,NZL,MASON K,3.0,17,6,82,4,ESP,Saved,0
4.0,0:35,Action shot,17 - 6,ESP,MESEGUER O,10.0,17,6,35,4,ESP,Blocked,0
4.0,0:01,Extra player shot,18 - 6,ESP,PENA P,8.0,18,6,1,4,ESP,Goal,1
