Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,6.0,5,7,3,AUS,4.0,KNOX B,3 - 5,138,AUS,2:18
Steal,3.0,5,7,3,AUS,4.0,ESPAR A,3 - 5,138,ESP,2:18
5m shot - Saved,4.0,5,7,3,AUS,4.0,TARRAGO R,3 - 5,108,ESP,1:48
Sprint won possession,6.0,5,7,3,AUS,3.0,PAREJA J,3 - 5,480,ESP,8:00
5m shot - Goal,12.0,6,7,3,AUS,3.0,LOPEZ L,3 - 6,457,ESP,7:37
20 sec. exclusion in centre,5.0,6,7,3,AUS,3.0,ORTIZ M,3 - 6,434,ESP,7:14
Extra player shot - Missed,7.0,6,7,3,AUS,3.0,WEBSTER R,3 - 6,422,AUS,7:02
Turnover foul,6.0,6,7,3,AUS,3.0,PAREJA J,3 - 6,407,ESP,6:47
Steal,12.0,6,7,3,AUS,3.0,ZAGAME N,3 - 6,407,AUS,6:47
Turnover foul,4.0,6,7,3,AUS,3.0,LINCOLN-SMITH H,3 - 6,381,AUS,6:21
Steal,2.0,6,7,3,AUS,3.0,BACH M,3 - 6,381,ESP,6:21
Turnover foul,11.0,6,7,3,AUS,3.0,GARCIA GODOY M,3 - 6,364,ESP,6:04
20 sec. exclusion in field,11.0,6,7,3,AUS,3.0,GARCIA GODOY M,3 - 6,364,ESP,6:04
Time-Out,,6,7,3,AUS,3.0,,3 - 6,364,AUS,6:04
Action shot - Blocked,7.0,6,7,3,AUS,3.0,WEBSTER R,3 - 6,340,AUS,5:40
20 sec. exclusion in centre,7.0,6,7,3,AUS,3.0,WEBSTER R,3 - 6,318,AUS,5:18
Extra player shot - Blocked,6.0,6,7,3,AUS,3.0,PAREJA J,3 - 6,299,ESP,4:59
Centre shot - Missed,6.0,6,7,3,AUS,3.0,KNOX B,3 - 6,273,AUS,4:33
Turnover foul,4.0,6,7,3,AUS,3.0,TARRAGO R,3 - 6,253,ESP,4:13
Steal,6.0,6,7,3,AUS,3.0,KNOX B,3 - 6,253,AUS,4:13
Centre shot - Saved,7.0,6,7,3,AUS,3.0,WEBSTER R,3 - 6,228,AUS,3:48
Centre shot - Missed,9.0,6,7,3,AUS,3.0,BLAS A,3 - 6,204,ESP,3:24
20 sec. exclusion in centre,7.0,6,7,3,AUS,3.0,MIRANDA L,3 - 6,184,ESP,3:04
Action shot - Goal,10.0,6,7,4,AUS,3.0,SOUTHERN A,4 - 6,161,AUS,2:41
20 sec. exclusion in centre,3.0,6,7,4,AUS,3.0,BUCKLING H,4 - 6,143,AUS,2:23
20 sec. exclusion in field,10.0,6,7,4,AUS,3.0,SOUTHERN A,4 - 6,134,AUS,2:14
Extra player shot - Blocked,12.0,6,7,4,AUS,3.0,LOPEZ L,4 - 6,127,ESP,2:07
Turnover foul,9.0,6,7,4,AUS,3.0,ARANCINI Z,4 - 6,111,AUS,1:51
Steal,12.0,6,7,4,AUS,3.0,LOPEZ L,4 - 6,111,ESP,1:51
Turnover foul,11.0,6,7,4,AUS,3.0,GARCIA GODOY M,4 - 6,92,ESP,1:32
20 sec. exclusion in field,2.0,6,7,4,AUS,3.0,BACH M,4 - 6,82,ESP,1:22
Extra player shot - Blocked,3.0,6,7,4,AUS,3.0,BUCKLING H,4 - 6,64,AUS,1:04
Turnover foul,3.0,6,7,4,AUS,3.0,BUCKLING H,4 - 6,57,AUS,0:57
Action shot - Saved,10.0,6,7,4,AUS,3.0,MESEGUER O,4 - 6,38,ESP,0:38
20 sec. exclusion in field,7.0,6,7,4,AUS,3.0,WEBSTER R,4 - 6,36,AUS,0:36
Exclusion with substitution,7.0,6,7,4,AUS,3.0,WEBSTER R,4 - 6,36,AUS,0:36
Turnover foul,5.0,6,7,4,AUS,3.0,ORTIZ M,4 - 6,21,ESP,0:21
Double exclusion,6.0,6,7,4,AUS,3.0,PAREJA J,4 - 6,8,ESP,0:08
Double exclusion,2.0,6,7,4,AUS,3.0,APPEL J,4 - 6,8,AUS,0:08
Turnover foul,12.0,6,7,4,AUS,3.0,ZAGAME N,4 - 6,2,AUS,0:02
Starting goalkeeper,1.0,6,7,4,AUS,4.0,ESTER L,4 - 6,480,ESP,8:00
Starting goalkeeper,13.0,6,7,4,AUS,4.0,WAKEFIELD K,4 - 6,480,AUS,8:00
Sprint won possession,4.0,6,7,4,AUS,4.0,TARRAGO R,4 - 6,480,ESP,8:00
Turnover foul,11.0,6,7,4,AUS,4.0,GARCIA GODOY M,4 - 6,456,ESP,7:36
Steal,4.0,6,7,4,AUS,4.0,LINCOLN-SMITH H,4 - 6,456,AUS,7:36
Turnover foul,6.0,6,7,4,AUS,4.0,PAREJA J,4 - 6,399,ESP,6:39
Steal,3.0,6,7,4,AUS,4.0,BUCKLING H,4 - 6,399,AUS,6:39
5m shot - Missed,6.0,6,7,4,AUS,4.0,KNOX B,4 - 6,386,AUS,6:26
20 sec. exclusion in centre,12.0,6,7,4,AUS,4.0,ZAGAME N,4 - 6,369,AUS,6:09
Extra player shot - Goal,11.0,7,7,4,AUS,4.0,GARCIA GODOY M,4 - 7,353,ESP,5:53
5m shot - Goal,4.0,7,7,5,AUS,4.0,LINCOLN-SMITH H,5 - 7,328,AUS,5:28
