Action,Cap,Game,Period,Player,Score,Team,Time,Result,Goal
Extra player shot,2.0,4,4.0,GOFERS K,7 - 4,AUS,2:10,Goal,1
Extra player shot,3.0,4,4.0,SEIDEMANN M,7 - 4,USA,1:43,Saved,0
Penalty shot,7.0,4,4.0,WEBSTER R,7 - 5,AUS,1:29,Goal,1
5m shot,7.0,4,4.0,WEBSTER R,7 - 5,AUS,0:01,Missed,0
Centre shot,8.0,5,1.0,SIMANOVICH A,1 - 0,RUS,7:10,Goal,1
Action shot,11.0,5,1.0,FISCHER M,1 - 0,USA,5:53,Saved,0
5m shot,3.0,5,1.0,PROKOFYEVA E,2 - 0,RUS,4:54,Goal,1
Action shot,2.0,5,1.0,MUSSELMAN M,2 - 1,USA,4:27,Goal,1
Extra player shot,4.0,5,1.0,FATTAL R,2 - 2,USA,3:35,Goal,1
5m shot,3.0,5,1.0,PROKOFYEVA E,3 - 2,RUS,2:58,Goal,1
Action shot,6.0,5,1.0,STEFFENS M,3 - 2,USA,2:29,Post,0
Penalty shot,5.0,5,1.0,BORISOVA M,4 - 2,RUS,2:10,Goal,1
5m shot,6.0,5,1.0,STEFFENS M,4 - 3,USA,1:46,Goal,1
5m shot,11.0,5,1.0,FISCHER M,4 - 3,USA,1:07,Post,0
Action shot,4.0,5,1.0,FATTAL R,4 - 4,USA,0:48,Goal,1
Action shot,4.0,5,1.0,FATTAL R,4 - 5,USA,0:08,Goal,1
5m shot,3.0,5,1.0,PROKOFYEVA E,4 - 5,RUS,0:04,Missed,0
Action shot,2.0,5,2.0,MUSSELMAN M,4 - 6,USA,7:29,Goal,1
Centre shot,8.0,5,2.0,SIMANOVICH A,5 - 6,RUS,7:16,Goal,1
Action shot,2.0,5,2.0,MUSSELMAN M,5 - 7,USA,6:52,Goal,1
Action shot,6.0,5,2.0,STEFFENS M,5 - 8,USA,6:05,Goal,1
5m shot,3.0,5,2.0,PROKOFYEVA E,5 - 8,RUS,5:10,Saved,0
Action shot,4.0,5,2.0,FATTAL R,5 - 8,USA,4:31,Blocked,0
Action shot,2.0,5,2.0,MUSSELMAN M,5 - 9,USA,3:54,Goal,1
Extra player shot,11.0,5,2.0,IVANOVA E,5 - 9,RUS,3:11,Saved,0
5m shot,10.0,5,2.0,TOLKUNOVA T,5 - 9,RUS,3:05,Blocked,0
Action shot,11.0,5,2.0,FISCHER M,5 - 9,USA,2:39,Saved,0
Centre shot,9.0,5,2.0,TIMOFEEVA A,5 - 9,RUS,2:18,Post,0
Action shot,4.0,5,2.0,FATTAL R,5 - 10,USA,1:52,Goal,1
5m shot,6.0,5,2.0,STEFFENS M,5 - 10,USA,1:21,Blocked,0
Action shot,6.0,5,2.0,STEFFENS M,5 - 11,USA,0:18,Goal,1
5m shot,11.0,5,2.0,IVANOVA E,5 - 11,RUS,0:06,Blocked,0
5m shot,2.0,5,2.0,MUSSELMAN M,5 - 11,USA,0:01,Saved,0
Action shot,8.0,5,3.0,SIMANOVICH A,5 - 11,RUS,7:21,Saved,0
5m shot,5.0,5,3.0,BORISOVA M,5 - 11,RUS,7:04,Blocked,0
5m shot,4.0,5,3.0,FATTAL R,5 - 12,USA,6:46,Goal,1
Action shot,5.0,5,3.0,BORISOVA M,5 - 12,RUS,5:34,Saved,0
Action shot,11.0,5,3.0,IVANOVA E,6 - 12,RUS,4:44,Goal,1
Extra player shot,8.0,5,3.0,NEUSHUL K,6 - 13,USA,4:14,Goal,1
Extra player shot,11.0,5,3.0,FISCHER M,6 - 13,USA,3:25,Post,0
Extra player shot,5.0,5,3.0,BORISOVA M,6 - 13,RUS,2:58,Saved,0
Extra player shot,12.0,5,3.0,RYZHKOVA D,7 - 13,RUS,2:13,Goal,1
Centre shot,12.0,5,3.0,RYZHKOVA D,7 - 13,RUS,1:21,Saved,0
5m shot,9.0,5,3.0,TIMOFEEVA A,7 - 13,RUS,0:01,Saved,0
5m shot,5.0,5,4.0,BORISOVA M,8 - 13,RUS,7:20,Goal,1
Extra player shot,12.0,5,4.0,WILLIAMS A,8 - 14,USA,6:22,Goal,1
5m shot,3.0,5,4.0,PROKOFYEVA E,8 - 14,RUS,6:03,Saved,0
5m shot,4.0,6,1.0,FATTAL R,0 - 0,USA,7:06,Missed,0
Centre shot,8.0,6,1.0,NEUSHUL K,0 - 0,USA,6:22,Post,0
Action shot,8.0,6,1.0,PENA CARRASCO M,0 - 0,ESP,5:55,Saved,0
Extra player shot,4.0,6,1.0,ORTIZ MUNOZ B,0 - 0,ESP,4:50,Saved,0
Action shot,4.0,6,1.0,ORTIZ MUNOZ B,0 - 0,ESP,4:40,Saved,0
Extra player shot,3.0,6,1.0,SEIDEMANN M,1 - 0,USA,4:10,Goal,1
Action shot,6.0,6,1.0,STEFFENS M,1 - 0,USA,3:16,Saved,0
Action shot,4.0,6,1.0,ORTIZ MUNOZ B,1 - 1,ESP,2:31,Goal,1
Action shot,7.0,6,1.0,RANEY J,2 - 1,USA,2:11,Goal,1
Action shot,3.0,6,1.0,SEIDEMANN M,2 - 1,USA,0:02,Saved,0
Penalty shot,3.0,6,2.0,ESPAR LLAQUET A,2 - 2,ESP,7:43,Goal,1
Extra player shot,2.0,6,2.0,MUSSELMAN M,2 - 2,USA,7:13,Blocked,0
Centre shot,12.0,6,2.0,LEITON ARRONES P,2 - 2,ESP,6:43,Saved,0
Extra player shot,8.0,6,2.0,NEUSHUL K,3 - 2,USA,6:26,Goal,1
Extra player shot,4.0,6,2.0,ORTIZ MUNOZ B,3 - 3,ESP,5:54,Goal,1
Extra player shot,8.0,6,2.0,NEUSHUL K,4 - 3,USA,5:27,Goal,1
5m shot,3.0,6,2.0,ESPAR LLAQUET A,4 - 3,ESP,4:58,Post,0
Extra player shot,2.0,6,2.0,MUSSELMAN M,5 - 3,USA,4:33,Goal,1
5m shot,11.0,6,2.0,GUAL ROVIROSA A,5 - 3,ESP,4:07,Blocked,0
Centre shot,9.0,6,2.0,FISCHER A,5 - 3,USA,2:51,Saved,0
Centre shot,10.0,6,2.0,CRESPI BARRIGA P,5 - 3,ESP,1:21,Saved,0
5m shot,8.0,6,2.0,NEUSHUL K,5 - 3,USA,0:53,Post,0
Action shot,3.0,6,2.0,ESPAR LLAQUET A,5 - 3,ESP,0:25,Post,0
Action shot,2.0,6,2.0,MUSSELMAN M,5 - 3,USA,0:10,Saved,0
5m shot,12.0,6,2.0,LEITON ARRONES P,5 - 3,ESP,0:01,Saved,0
5m shot,3.0,6,3.0,ESPAR LLAQUET A,5 - 4,ESP,7:33,Goal,1
Extra player shot,4.0,6,3.0,FATTAL R,6 - 4,USA,7:08,Goal,1
Extra player shot,8.0,6,3.0,NEUSHUL K,7 - 4,USA,6:05,Goal,1
