AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5,5m shot - Missed,10.0,2,5,CHN,3.0,MA H,5 - 5,312,CHN,5:12
5,Turnover foul,8.0,2,5,CHN,3.0,McGHIE G,5 - 5,311,AUS,5:11
5,Turnover foul,4.0,2,5,CHN,3.0,SUN Y,5 - 5,297,CHN,4:57
5,Steal,2.0,2,5,CHN,3.0,APPEL J,5 - 5,297,AUS,4:57
6,Action shot - Goal,8.0,2,5,CHN,3.0,McGHIE G,6 - 5,272,AUS,4:32
6,Turnover foul,5.0,2,5,CHN,3.0,HE J,6 - 5,251,CHN,4:11
6,Steal,9.0,2,5,CHN,3.0,ARANCINI Z,6 - 5,251,AUS,4:11
7,Centre shot - Goal,9.0,2,5,CHN,3.0,ARANCINI Z,7 - 5,228,AUS,3:48
7,Action shot - Blocked,11.0,2,5,CHN,3.0,ZHANG C,7 - 5,203,CHN,3:23
8,Action shot - Goal,6.0,2,5,CHN,3.0,KNOX B,8 - 5,175,AUS,2:55
8,Action shot - Saved,11.0,2,5,CHN,3.0,ZHANG C,8 - 5,151,CHN,2:31
8,20 sec. exclusion in field,3.0,2,5,CHN,3.0,BUCKLING H,8 - 5,139,AUS,2:19
8,Turnover foul,5.0,2,5,CHN,3.0,HE J,8 - 5,135,CHN,2:15
8,Steal,4.0,2,5,CHN,3.0,LINCOLN-SMITH H,8 - 5,135,AUS,2:15
8,Turnover foul,7.0,2,5,CHN,3.0,WEBSTER R,8 - 5,106,AUS,1:46
8,Steal,1.0,2,5,CHN,3.0,YANG J,8 - 5,106,CHN,1:46
8,20 sec. exclusion in field,11.0,2,5,CHN,3.0,GOFERS K,8 - 5,95,AUS,1:35
8,Time-Out,,2,5,CHN,3.0,,8 - 5,95,CHN,1:35
8,Turnover foul,6.0,2,5,CHN,3.0,SUN Y,8 - 5,70,CHN,1:10
8,Steal,10.0,2,5,CHN,3.0,SOUTHERN A,8 - 5,70,AUS,1:10
8,20 sec. exclusion in centre,3.0,2,5,CHN,3.0,LIU P,8 - 5,42,CHN,0:42
9,Extra player shot - Goal,12.0,2,5,CHN,3.0,ZAGAME N,9 - 5,30,AUS,0:30
9,Action shot - Missed,12.0,2,5,CHN,3.0,XIA Q,9 - 5,13,CHN,0:13
9,20 sec. exclusion in field,12.0,2,5,CHN,3.0,XIA Q,9 - 5,12,CHN,0:12
10,Extra player shot - Goal,10.0,2,5,CHN,3.0,SOUTHERN A,10 - 5,1,AUS,0:01
10,5m shot - Blocked,7.0,2,5,CHN,3.0,SONG D,10 - 5,1,CHN,0:01
10,Starting goalkeeper,13.0,2,5,CHN,4.0,WAKEFIELD K,10 - 5,480,AUS,8:00
10,Starting goalkeeper,1.0,2,5,CHN,4.0,YANG J,10 - 5,480,CHN,8:00
10,Sprint won possession,12.0,2,5,CHN,4.0,ZAGAME N,10 - 5,480,AUS,8:00
10,Action shot - Post,8.0,2,5,CHN,4.0,McGHIE G,10 - 5,452,AUS,7:32
10,5m shot - Saved,10.0,2,5,CHN,4.0,MA H,10 - 5,430,CHN,7:10
10,Turnover foul,5.0,2,5,CHN,4.0,HE J,10 - 5,410,CHN,6:50
10,Turnover foul,4.0,2,5,CHN,4.0,LINCOLN-SMITH H,10 - 5,387,AUS,6:27
10,Steal,1.0,2,5,CHN,4.0,YANG J,10 - 5,387,CHN,6:27
10,Turnover foul,1.0,2,5,CHN,4.0,YANG J,10 - 5,386,CHN,6:26
10,20 sec. exclusion in centre,4.0,2,5,CHN,4.0,SUN Y,10 - 5,372,CHN,6:12
10,Exclusion with substitution,4.0,2,5,CHN,4.0,SUN Y,10 - 5,372,CHN,6:12
10,Action shot - Blocked,10.0,2,5,CHN,4.0,SOUTHERN A,10 - 5,349,AUS,5:49
10,5m shot - Blocked,10.0,2,5,CHN,4.0,MA H,10 - 5,320,CHN,5:20
10,Action shot - Post,8.0,2,5,CHN,4.0,McGHIE G,10 - 5,290,AUS,4:50
10,20 sec. exclusion in centre,6.0,2,5,CHN,4.0,KNOX B,10 - 5,270,AUS,4:30
10,Extra player shot - Blocked,11.0,2,5,CHN,4.0,ZHANG C,10 - 5,251,CHN,4:11
10,Turnover foul,8.0,2,5,CHN,4.0,XU L,10 - 5,233,CHN,3:53
10,Steal,10.0,2,5,CHN,4.0,SOUTHERN A,10 - 5,233,AUS,3:53
11,Counter attack - Goal,10.0,2,5,CHN,4.0,SOUTHERN A,11 - 5,218,AUS,3:38
11,Action shot - Post,8.0,2,5,CHN,4.0,XU L,11 - 5,193,CHN,3:13
12,Action shot - Goal,5.0,2,5,CHN,4.0,BISHOP I,12 - 5,172,AUS,2:52
12,Turnover foul,6.0,2,5,CHN,4.0,SUN Y,12 - 5,153,CHN,2:33
12,Steal,12.0,2,5,CHN,4.0,ZAGAME N,12 - 5,153,AUS,2:33
12,Action shot - Saved,5.0,2,5,CHN,4.0,BISHOP I,12 - 5,125,AUS,2:05
12,20 sec. exclusion in centre,8.0,2,5,CHN,4.0,XU L,12 - 5,103,CHN,1:43
12,Turnover foul,6.0,2,5,CHN,4.0,SUN Y,12 - 5,42,CHN,0:42
12,Steal,9.0,2,5,CHN,4.0,ARANCINI Z,12 - 5,42,AUS,0:42
14,Centre shot - Goal,7.0,2,5,CHN,4.0,WEBSTER R,14 - 5,15,AUS,0:15
14,5m shot - Missed,11.0,2,5,CHN,4.0,ZHANG C,14 - 5,1,CHN,0:01
0,Starting goalkeeper,1.0,3,0,RSA,1.0,JACOBS A,0 - 0,480,RSA,8:00
0,Starting goalkeeper,1.0,3,0,RSA,1.0,BARTA L,0 - 0,480,AUS,8:00
0,Sprint won possession,11.0,3,0,RSA,1.0,GOFERS K,0 - 0,480,AUS,8:00
0,Turnover foul,2.0,3,0,RSA,1.0,APPEL J,0 - 0,454,AUS,7:34
0,Steal,8.0,3,0,RSA,1.0,KEET L,0 - 0,454,RSA,7:34
0,5m shot - Saved,12.0,3,0,RSA,1.0,WHITE K,0 - 0,425,RSA,7:05
0,20 sec. exclusion in field,8.0,3,0,RSA,1.0,KEET L,0 - 0,405,RSA,6:45
0,Turnover foul,6.0,3,0,RSA,1.0,KNOX B,0 - 0,386,AUS,6:26
0,Steal,2.0,3,0,RSA,1.0,SCHMIDT K,0 - 0,386,RSA,6:26
0,Turnover foul,12.0,3,0,RSA,1.0,WHITE K,0 - 0,358,RSA,5:58
0,Steal,11.0,3,0,RSA,1.0,GOFERS K,0 - 0,358,AUS,5:58
0,20 sec. exclusion in field,6.0,3,0,RSA,1.0,SCHOOLING T,0 - 0,338,RSA,5:38
0,Extra player shot - Missed,7.0,3,0,RSA,1.0,WEBSTER R,0 - 0,326,AUS,5:26
0,Turnover foul,8.0,3,0,RSA,1.0,KEET L,0 - 0,301,RSA,5:01
0,Steal,7.0,3,0,RSA,1.0,WEBSTER R,0 - 0,301,AUS,5:01
0,Action shot - Saved,11.0,3,0,RSA,1.0,GOFERS K,0 - 0,288,AUS,4:48
0,Action shot - Post,9.0,3,0,RSA,1.0,ARANCINI Z,0 - 0,269,AUS,4:29
0,Turnover foul,8.0,3,0,RSA,1.0,KEET L,0 - 0,250,RSA,4:10
0,Steal,2.0,3,0,RSA,1.0,APPEL J,0 - 0,250,AUS,4:10
0,Turnover foul,8.0,3,0,RSA,1.0,McGHIE G,0 - 0,231,AUS,3:51
