AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5,Penalty shot,7.0,4,0,UZB,1.0,WEBSTER R,5 - 0,122,AUS,2:02,Goal,1
6,Centre shot,4.0,4,0,UZB,1.0,LINCOLN-SMITH H,6 - 0,79,AUS,1:19,Goal,1
6,Centre shot,12.0,4,0,UZB,1.0,ZAGAME N,6 - 0,36,AUS,0:36,Saved,0
7,Action shot,3.0,4,0,UZB,2.0,BUCKLING H,7 - 0,365,AUS,6:05,Goal,1
7,Penalty shot,3.0,4,1,UZB,2.0,SARANCHA A,7 - 1,343,UZB,5:43,Goal,1
8,Action shot,9.0,4,1,UZB,2.0,ARANCINI Z,8 - 1,328,AUS,5:28,Goal,1
8,Action shot,4.0,4,1,UZB,2.0,DJUMALIEVA A,8 - 1,299,UZB,4:59,Saved,0
8,Action shot,11.0,4,1,UZB,2.0,GOFERS K,8 - 1,273,AUS,4:33,Saved,0
8,Action shot,11.0,4,1,UZB,2.0,GOFERS K,8 - 1,264,AUS,4:24,Saved,0
9,Action shot,3.0,4,1,UZB,2.0,BUCKLING H,9 - 1,257,AUS,4:17,Goal,1
10,Extra player shot,5.0,4,1,UZB,2.0,BISHOP I,10 - 1,202,AUS,3:22,Goal,1
10,5m shot,7.0,4,1,UZB,2.0,PLYUSOVA N,10 - 1,157,UZB,2:37,Post,0
11,Action shot,5.0,4,1,UZB,2.0,BISHOP I,11 - 1,95,AUS,1:35,Goal,1
11,Action shot,9.0,4,1,UZB,2.0,HALIKOVA R,11 - 1,55,UZB,0:55,Missed,0
11,Centre shot,11.0,4,1,UZB,2.0,GOFERS K,11 - 1,44,AUS,0:44,Saved,0
11,Action shot,10.0,4,1,UZB,2.0,SOUTHERN A,11 - 1,26,AUS,0:26,Blocked,0
24,Counter attack,10.0,4,2,UZB,4.0,SOUTHERN A,24 - 2,70,AUS,1:10,Goal,1
25,Action shot,9.0,4,2,UZB,4.0,ARANCINI Z,25 - 2,22,AUS,0:22,Goal,1
12,Penalty shot,3.0,4,1,UZB,3.0,BUCKLING H,12 - 1,458,AUS,7:38,Goal,1
12,Action shot,7.0,4,1,UZB,3.0,WEBSTER R,12 - 1,404,AUS,6:44,Blocked,0
12,Centre shot,3.0,4,2,UZB,3.0,SARANCHA A,12 - 2,337,UZB,5:37,Goal,1
12,Centre shot,7.0,4,2,UZB,3.0,WEBSTER R,12 - 2,319,AUS,5:19,Missed,0
12,5m shot,7.0,4,2,UZB,3.0,PLYUSOVA N,12 - 2,289,UZB,4:49,Blocked,0
13,Action shot,3.0,4,2,UZB,3.0,BUCKLING H,13 - 2,274,AUS,4:34,Goal,1
14,Action shot,6.0,4,2,UZB,3.0,KNOX B,14 - 2,224,AUS,3:44,Goal,1
15,Centre shot,4.0,4,2,UZB,3.0,LINCOLN-SMITH H,15 - 2,177,AUS,2:57,Goal,1
15,Action shot,8.0,4,2,UZB,3.0,McGHIE G,15 - 2,96,AUS,1:36,Post,0
15,Extra player shot,4.0,4,2,UZB,3.0,LINCOLN-SMITH H,15 - 2,63,AUS,1:03,Post,0
16,Action shot,6.0,4,2,UZB,3.0,KNOX B,16 - 2,11,AUS,0:11,Goal,1
17,Centre shot,2.0,4,2,UZB,4.0,APPEL J,17 - 2,465,AUS,7:45,Goal,1
17,Counter attack,11.0,4,2,UZB,4.0,GOFERS K,17 - 2,434,AUS,7:14,Saved,0
18,Action shot,10.0,4,2,UZB,4.0,SOUTHERN A,18 - 2,394,AUS,6:34,Goal,1
19,Extra player shot,11.0,4,2,UZB,4.0,GOFERS K,19 - 2,280,AUS,4:40,Goal,1
19,Centre shot,7.0,4,2,UZB,4.0,PLYUSOVA N,19 - 2,262,UZB,4:22,Saved,0
20,Action shot,3.0,4,2,UZB,4.0,BUCKLING H,20 - 2,246,AUS,4:06,Goal,1
20,Action shot,10.0,4,2,UZB,4.0,SOUTHERN A,20 - 2,206,AUS,3:26,Saved,0
21,Centre shot,5.0,4,2,UZB,4.0,BISHOP I,21 - 2,167,AUS,2:47,Goal,1
21,Action shot,9.0,4,2,UZB,4.0,ARANCINI Z,21 - 2,140,AUS,2:20,Saved,0
22,Centre shot,3.0,4,2,UZB,4.0,BUCKLING H,22 - 2,138,AUS,2:18,Goal,1
23,Action shot,10.0,4,2,UZB,4.0,SOUTHERN A,23 - 2,87,AUS,1:27,Goal,1
23,5m shot,7.0,4,2,UZB,4.0,PLYUSOVA N,23 - 2,1,UZB,0:01,Saved,0
0,Centre shot,7.0,5,0,GRE,1.0,ASIMAKI A,0 - 0,427,GRE,7:07,Missed,0
1,Penalty shot,10.0,5,0,GRE,1.0,SOUTHERN A,1 - 0,407,AUS,6:47,Goal,1
1,Extra player shot,6.0,5,1,GRE,1.0,AVRAMIDOU A,1 - 1,368,GRE,6:08,Goal,1
2,5m shot,7.0,5,1,GRE,1.0,WEBSTER R,2 - 1,315,AUS,5:15,Goal,1
3,Counter attack,8.0,5,1,GRE,1.0,McGHIE G,3 - 1,291,AUS,4:51,Goal,1
3,Action shot,10.0,5,1,GRE,1.0,MANOLIOUDAKI T,3 - 1,242,GRE,4:02,Saved,0
3,Action shot,2.0,5,1,GRE,1.0,TSOUKALA C,3 - 1,217,GRE,3:37,Blocked,0
3,Centre shot,12.0,5,1,GRE,1.0,ZAGAME N,3 - 1,206,AUS,3:26,Missed,0
3,Centre shot,2.0,5,1,GRE,1.0,APPEL J,3 - 1,162,AUS,2:42,Saved,0
3,Action shot,10.0,5,1,GRE,1.0,SOUTHERN A,3 - 1,53,AUS,0:53,Post,0
3,Extra player shot,12.0,5,1,GRE,1.0,ZAGAME N,3 - 1,1,AUS,0:01,Blocked,0
3,5m shot,8.0,5,1,GRE,2.0,McGHIE G,3 - 1,450,AUS,7:30,Missed,0
3,Extra player shot,8.0,5,1,GRE,2.0,ROUMPESI A,3 - 1,361,GRE,6:01,Missed,0
3,Action shot,2.0,5,1,GRE,2.0,TSOUKALA C,3 - 1,327,GRE,5:27,Saved,0
3,Action shot,10.0,5,1,GRE,2.0,MANOLIOUDAKI T,3 - 1,290,GRE,4:50,Saved,0
