Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,3,7.0,4,4,NED,2.0,SONG D,3 - 4,280,CHN,4:40,Blocked,0
5m shot,3,7.0,4,5,NED,2.0,van BELKUM I,3 - 5,253,NED,4:13,Goal,1
5m shot,4,2.0,4,5,NED,2.0,TENG F,4 - 5,228,CHN,3:48,Goal,1
Extra player shot,4,7.0,4,5,NED,2.0,SONG D,4 - 5,176,CHN,2:56,Post,0
Action shot,4,2.0,4,5,NED,2.0,SMIT Y,4 - 5,153,NED,2:33,Missed,0
Centre shot,4,10.0,4,5,NED,2.0,GENEE D,4 - 5,120,NED,2:00,Saved,0
5m shot,4,2.0,4,5,NED,2.0,TENG F,4 - 5,93,CHN,1:33,Saved,0
Action shot,4,2.0,4,5,NED,2.0,SMIT Y,4 - 5,76,NED,1:16,Saved,0
Centre shot,4,8.0,4,6,NED,2.0,SEVENICH V,4 - 6,2,NED,0:02,Goal,1
5m shot,4,7.0,4,6,NED,2.0,SONG D,4 - 6,1,CHN,0:01,Missed,0
5m shot,4,8.0,4,6,NED,3.0,SEVENICH V,4 - 6,462,NED,7:42,Saved,0
Action shot,4,11.0,4,6,NED,3.0,ZHANG C,4 - 6,439,CHN,7:19,Post,0
Action shot,5,4.0,4,6,NED,3.0,SUN Y,5 - 6,414,CHN,6:54,Goal,1
Action shot,5,7.0,4,6,NED,3.0,van BELKUM I,5 - 6,390,NED,6:30,Missed,0
5m shot,6,3.0,4,6,NED,3.0,LIU P,6 - 6,370,CHN,6:10,Goal,1
Action shot,6,6.0,4,6,NED,3.0,STOMPHORST N,6 - 6,341,NED,5:41,Saved,0
5m shot,6,2.0,4,6,NED,3.0,TENG F,6 - 6,312,CHN,5:12,Saved,0
Action shot,6,4.0,4,6,NED,3.0,HAKHVERDIAN B,6 - 6,297,NED,4:57,Saved,0
Extra player shot,6,7.0,4,6,NED,3.0,SONG D,6 - 6,260,CHN,4:20,Blocked,0
Extra player shot,6,10.0,4,6,NED,3.0,GENEE D,6 - 6,226,NED,3:46,Saved,0
5m shot,6,2.0,4,7,NED,3.0,SMIT Y,6 - 7,178,NED,2:58,Goal,1
5m shot,6,7.0,4,7,NED,3.0,SONG D,6 - 7,152,CHN,2:32,Missed,0
Extra player shot,6,8.0,4,8,NED,3.0,SEVENICH V,6 - 8,132,NED,2:12,Goal,1
Action shot,7,11.0,4,8,NED,3.0,ZHANG C,7 - 8,113,CHN,1:53,Goal,1
Action shot,7,2.0,4,8,NED,3.0,SMIT Y,7 - 8,93,NED,1:33,Post,0
Centre shot,7,6.0,4,8,NED,3.0,SUN Y,7 - 8,70,CHN,1:10,Saved,0
Action shot,7,2.0,4,8,NED,3.0,SMIT Y,7 - 8,49,NED,0:49,Saved,0
Action shot,7,10.0,4,8,NED,3.0,MA H,7 - 8,19,CHN,0:19,Saved,0
Counter attack,7,7.0,4,8,NED,3.0,van BELKUM I,7 - 8,1,NED,0:01,Saved,0
Action shot,7,7.0,4,8,NED,4.0,van BELKUM I,7 - 8,452,NED,7:32,Post,0
Action shot,7,7.0,4,8,NED,4.0,SONG D,7 - 8,426,CHN,7:06,Saved,0
5m shot,8,11.0,4,8,NED,4.0,ZHANG C,8 - 8,410,CHN,6:50,Goal,1
Action shot,8,11.0,4,9,NED,4.0,KLAASSEN L,8 - 9,398,NED,6:38,Goal,1
5m shot,8,2.0,4,9,NED,4.0,TENG F,8 - 9,372,CHN,6:12,Post,0
Action shot,8,11.0,4,9,NED,4.0,KLAASSEN L,8 - 9,346,NED,5:46,Saved,0
5m shot,8,10.0,4,9,NED,4.0,MA H,8 - 9,319,CHN,5:19,Saved,0
5m shot,8,11.0,4,10,NED,4.0,KLAASSEN L,8 - 10,254,NED,4:14,Goal,1
Action shot,8,2.0,4,10,NED,4.0,TENG F,8 - 10,232,CHN,3:52,Saved,0
5m shot,8,2.0,4,10,NED,4.0,TENG F,8 - 10,185,CHN,3:05,Post,0
Extra player shot,8,11.0,4,10,NED,4.0,KLAASSEN L,8 - 10,143,NED,2:23,Saved,0
Action shot,8,11.0,4,11,NED,4.0,KLAASSEN L,8 - 11,134,NED,2:14,Goal,1
Extra player shot,9,10.0,4,11,NED,4.0,MA H,9 - 11,110,CHN,1:50,Goal,1
Extra player shot,10,10.0,4,11,NED,4.0,MA H,10 - 11,71,CHN,1:11,Goal,1
Extra player shot,10,8.0,4,11,NED,4.0,SEVENICH V,10 - 11,35,NED,0:35,Post,0
