Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,5,5.0,2,6,AUS,3.0,HE J,6 - 5,251,CHN,4:11
Steal,5,9.0,2,6,AUS,3.0,ARANCINI Z,6 - 5,251,AUS,4:11
Centre shot - Goal,5,9.0,2,7,AUS,3.0,ARANCINI Z,7 - 5,228,AUS,3:48
Action shot - Blocked,5,11.0,2,7,AUS,3.0,ZHANG C,7 - 5,203,CHN,3:23
Action shot - Goal,5,6.0,2,8,AUS,3.0,KNOX B,8 - 5,175,AUS,2:55
Action shot - Saved,5,11.0,2,8,AUS,3.0,ZHANG C,8 - 5,151,CHN,2:31
20 sec. exclusion in field,5,3.0,2,8,AUS,3.0,BUCKLING H,8 - 5,139,AUS,2:19
Turnover foul,5,5.0,2,8,AUS,3.0,HE J,8 - 5,135,CHN,2:15
Steal,5,4.0,2,8,AUS,3.0,LINCOLN-SMITH H,8 - 5,135,AUS,2:15
Turnover foul,5,7.0,2,8,AUS,3.0,WEBSTER R,8 - 5,106,AUS,1:46
Steal,5,1.0,2,8,AUS,3.0,YANG J,8 - 5,106,CHN,1:46
20 sec. exclusion in field,5,11.0,2,8,AUS,3.0,GOFERS K,8 - 5,95,AUS,1:35
Time-Out,5,,2,8,AUS,3.0,,8 - 5,95,CHN,1:35
Turnover foul,5,6.0,2,8,AUS,3.0,SUN Y,8 - 5,70,CHN,1:10
Steal,5,10.0,2,8,AUS,3.0,SOUTHERN A,8 - 5,70,AUS,1:10
20 sec. exclusion in centre,5,3.0,2,8,AUS,3.0,LIU P,8 - 5,42,CHN,0:42
Extra player shot - Goal,5,12.0,2,9,AUS,3.0,ZAGAME N,9 - 5,30,AUS,0:30
Action shot - Missed,5,12.0,2,9,AUS,3.0,XIA Q,9 - 5,13,CHN,0:13
20 sec. exclusion in field,5,12.0,2,9,AUS,3.0,XIA Q,9 - 5,12,CHN,0:12
Extra player shot - Goal,5,10.0,2,10,AUS,3.0,SOUTHERN A,10 - 5,1,AUS,0:01
5m shot - Blocked,5,7.0,2,10,AUS,3.0,SONG D,10 - 5,1,CHN,0:01
Starting goalkeeper,5,13.0,2,10,AUS,4.0,WAKEFIELD K,10 - 5,480,AUS,8:00
Starting goalkeeper,5,1.0,2,10,AUS,4.0,YANG J,10 - 5,480,CHN,8:00
Sprint won possession,5,12.0,2,10,AUS,4.0,ZAGAME N,10 - 5,480,AUS,8:00
Action shot - Post,5,8.0,2,10,AUS,4.0,McGHIE G,10 - 5,452,AUS,7:32
5m shot - Saved,5,10.0,2,10,AUS,4.0,MA H,10 - 5,430,CHN,7:10
Turnover foul,5,5.0,2,10,AUS,4.0,HE J,10 - 5,410,CHN,6:50
Turnover foul,5,4.0,2,10,AUS,4.0,LINCOLN-SMITH H,10 - 5,387,AUS,6:27
Steal,5,1.0,2,10,AUS,4.0,YANG J,10 - 5,387,CHN,6:27
Turnover foul,5,1.0,2,10,AUS,4.0,YANG J,10 - 5,386,CHN,6:26
20 sec. exclusion in centre,5,4.0,2,10,AUS,4.0,SUN Y,10 - 5,372,CHN,6:12
Exclusion with substitution,5,4.0,2,10,AUS,4.0,SUN Y,10 - 5,372,CHN,6:12
Action shot - Blocked,5,10.0,2,10,AUS,4.0,SOUTHERN A,10 - 5,349,AUS,5:49
5m shot - Blocked,5,10.0,2,10,AUS,4.0,MA H,10 - 5,320,CHN,5:20
Action shot - Post,5,8.0,2,10,AUS,4.0,McGHIE G,10 - 5,290,AUS,4:50
20 sec. exclusion in centre,5,6.0,2,10,AUS,4.0,KNOX B,10 - 5,270,AUS,4:30
Extra player shot - Blocked,5,11.0,2,10,AUS,4.0,ZHANG C,10 - 5,251,CHN,4:11
Turnover foul,5,8.0,2,10,AUS,4.0,XU L,10 - 5,233,CHN,3:53
Steal,5,10.0,2,10,AUS,4.0,SOUTHERN A,10 - 5,233,AUS,3:53
Counter attack - Goal,5,10.0,2,11,AUS,4.0,SOUTHERN A,11 - 5,218,AUS,3:38
Action shot - Post,5,8.0,2,11,AUS,4.0,XU L,11 - 5,193,CHN,3:13
Action shot - Goal,5,5.0,2,12,AUS,4.0,BISHOP I,12 - 5,172,AUS,2:52
Turnover foul,5,6.0,2,12,AUS,4.0,SUN Y,12 - 5,153,CHN,2:33
Steal,5,12.0,2,12,AUS,4.0,ZAGAME N,12 - 5,153,AUS,2:33
Action shot - Saved,5,5.0,2,12,AUS,4.0,BISHOP I,12 - 5,125,AUS,2:05
20 sec. exclusion in centre,5,8.0,2,12,AUS,4.0,XU L,12 - 5,103,CHN,1:43
Turnover foul,5,6.0,2,12,AUS,4.0,SUN Y,12 - 5,42,CHN,0:42
Steal,5,9.0,2,12,AUS,4.0,ARANCINI Z,12 - 5,42,AUS,0:42
Centre shot - Goal,5,7.0,2,14,AUS,4.0,WEBSTER R,14 - 5,15,AUS,0:15
5m shot - Missed,5,11.0,2,14,AUS,4.0,ZHANG C,14 - 5,1,CHN,0:01
Starting goalkeeper,0,13.0,3,0,NZL,1.0,HUTCHINSON I,0 - 0,480,NZL,8:00
Starting goalkeeper,0,1.0,3,0,NZL,1.0,YANG J,0 - 0,480,CHN,8:00
Sprint won possession,0,12.0,3,0,NZL,1.0,MYLES A,0 - 0,480,NZL,8:00
Turnover foul,0,4.0,3,0,NZL,1.0,LEWIS N,0 - 0,457,NZL,7:37
Steal,0,3.0,3,0,NZL,1.0,LIU P,0 - 0,457,CHN,7:37
Action shot - Saved,0,10.0,3,0,NZL,1.0,MA H,0 - 0,431,CHN,7:11
Turnover foul,0,4.0,3,0,NZL,1.0,LEWIS N,0 - 0,415,NZL,6:55
5m shot - Goal,1,3.0,3,0,NZL,1.0,LIU P,1 - 0,396,CHN,6:36
