Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,7.0,0,2,1,HUN,1.0,VALVERDE C,0 - 1,393,FRA,6:33,Blocked,0
Action shot,8.0,0,2,2,HUN,1.0,KESZTHELYI R,0 - 2,371,HUN,6:11,Goal,1
Extra player shot,6.0,0,2,3,HUN,1.0,TAKACS O,0 - 3,317,HUN,5:17,Goal,1
Action shot,12.0,0,2,3,HUN,1.0,DAULE A,0 - 3,286,FRA,4:46,Saved,0
Action shot,3.0,0,2,4,HUN,1.0,ANTAL D,0 - 4,270,HUN,4:30,Goal,1
5m shot,8.0,0,2,5,HUN,1.0,KESZTHELYI R,0 - 5,218,HUN,3:38,Goal,1
Extra player shot,9.0,0,2,6,HUN,1.0,TOTH I,0 - 6,181,HUN,3:01,Goal,1
Extra player shot,5.0,0,2,6,HUN,1.0,SZUCS G,0 - 6,128,HUN,2:08,Post,0
5m shot,5.0,0,2,6,HUN,1.0,GUILLET L,0 - 6,58,FRA,0:58,Missed,0
Centre shot,12.0,0,2,7,HUN,1.0,SZILAGYI D,0 - 7,31,HUN,0:31,Goal,1
Extra player shot,5.0,0,2,7,HUN,1.0,GUILLET L,0 - 7,2,FRA,0:02,Saved,0
Penalty shot,2.0,1,2,7,HUN,2.0,MILLOT E,1 - 7,453,FRA,7:33,Goal,1
Extra player shot,7.0,1,2,8,HUN,2.0,ILLES A,1 - 8,379,HUN,6:19,Goal,1
Action shot,9.0,1,2,8,HUN,2.0,SACRE A,1 - 8,318,FRA,5:18,Post,0
Action shot,2.0,1,2,9,HUN,2.0,CZIGANY D,1 - 9,288,HUN,4:48,Goal,1
Extra player shot,4.0,2,2,9,HUN,2.0,SACRE A,2 - 9,268,FRA,4:28,Goal,1
Extra player shot,11.0,2,2,10,HUN,2.0,CSABAI D,2 - 10,241,HUN,4:01,Goal,1
Centre shot,12.0,2,2,10,HUN,2.0,DAULE A,2 - 10,213,FRA,3:33,Saved,0
5m shot,11.0,2,2,10,HUN,2.0,CSABAI D,2 - 10,185,HUN,3:05,Saved,0
Extra player shot,10.0,2,2,11,HUN,2.0,BUJKA B,2 - 11,163,HUN,2:43,Goal,1
Centre shot,7.0,2,2,11,HUN,2.0,ILLES A,2 - 11,118,HUN,1:58,Missed,0
5m shot,3.0,2,2,11,HUN,2.0,BACHELIER L,2 - 11,93,FRA,1:33,Post,0
Centre shot,10.0,2,2,12,HUN,2.0,BUJKA B,2 - 12,73,HUN,1:13,Goal,1
5m shot,7.0,2,2,12,HUN,4.0,VALVERDE C,2 - 12,140,FRA,2:20,Saved,0
5m shot,11.0,2,2,12,HUN,4.0,CSABAI D,2 - 12,116,HUN,1:56,Post,0
Penalty shot,5.0,2,2,12,HUN,4.0,GUILLET L,2 - 12,92,FRA,1:32,Saved,0
5m shot,8.0,5,2,22,HUN,4.0,KESZTHELYI R,5 - 22,76,HUN,1:16,Goal,1
