Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Blocked,3,8.0,2,8,CRO,3.0,GRAHAM K,8 - 3,297,CAN,4:57
Penalty foul,3,8.0,2,8,CRO,3.0,BUSLJE A,8 - 3,296,CRO,4:56
Penalty shot - Goal,4,4.0,2,8,CRO,3.0,CONSTANTIN-BICARI,8 - 4,296,CAN,4:56
Centre shot - Saved,4,4.0,2,8,CRO,3.0,PASKVALIN F,8 - 4,273,CRO,4:33
Counter attack - Goal,5,4.0,2,8,CRO,3.0,CONSTANTIN-BICARI,8 - 5,256,CAN,4:16
20 sec. exclusion in field,5,2.0,2,8,CRO,3.0,KUDABA C,8 - 5,242,CAN,4:02
Exclusion with substitution,5,2.0,2,8,CRO,3.0,KUDABA C,8 - 5,242,CAN,4:02
Centre shot - Saved,5,3.0,2,8,CRO,3.0,MILAKOVIC I,8 - 5,216,CRO,3:36
Turnover foul,5,3.0,2,8,CRO,3.0,VIKALO O,8 - 5,203,CAN,3:23
Action shot - Goal,5,7.0,2,9,CRO,3.0,MUSLIM P,9 - 5,177,CRO,2:57
Turnover foul,5,9.0,2,9,CRO,3.0,DIGGLE D,9 - 5,166,CAN,2:46
Action shot - Missed,5,5.0,2,9,CRO,3.0,JOKOVIC M,9 - 5,145,CRO,2:25
Centre shot - Goal,6,3.0,2,9,CRO,3.0,VIKALO O,9 - 6,128,CAN,2:08
Turnover foul,6,10.0,2,9,CRO,3.0,DOBUD N,9 - 6,103,CRO,1:43
Action shot - Blocked,6,8.0,2,9,CRO,3.0,GRAHAM K,9 - 6,88,CAN,1:28
Centre shot - Saved,6,10.0,2,9,CRO,3.0,DOBUD N,9 - 6,64,CRO,1:04
Penalty foul,6,5.0,2,9,CRO,3.0,JOKOVIC M,9 - 6,49,CRO,0:49
Penalty shot - Saved,6,8.0,2,9,CRO,3.0,GRAHAM K,9 - 6,48,CAN,0:48
Centre shot - Goal,6,10.0,2,10,CRO,3.0,DOBUD N,10 - 6,22,CRO,0:22
Turnover foul,6,8.0,2,10,CRO,3.0,GRAHAM K,10 - 6,7,CAN,0:07
Steal,6,7.0,2,10,CRO,3.0,MUSLIM P,10 - 6,7,CRO,0:07
Action shot - Post,6,7.0,2,10,CRO,3.0,MUSLIM P,10 - 6,1,CRO,0:01
Starting goalkeeper,6,1.0,2,10,CRO,4.0,PAVIC J,10 - 6,480,CRO,8:00
Starting goalkeeper,6,1.0,2,10,CRO,4.0,RANDALL R,10 - 6,480,CAN,8:00
Sprint won possession,6,8.0,2,10,CRO,4.0,GRAHAM K,10 - 6,480,CAN,8:00
Action shot - Blocked,6,8.0,2,10,CRO,4.0,GRAHAM K,10 - 6,451,CAN,7:31
Turnover foul,6,9.0,2,10,CRO,4.0,SUKNO S,10 - 6,433,CRO,7:13
5m shot - Post,6,4.0,2,10,CRO,4.0,CONSTANTIN-BICARI,10 - 6,405,CAN,6:45
Action shot - Saved,6,5.0,2,10,CRO,4.0,JOKOVIC M,10 - 6,385,CRO,6:25
5m shot - Goal,6,9.0,2,11,CRO,4.0,SUKNO S,11 - 6,378,CRO,6:18
Turnover foul,6,6.0,2,11,CRO,4.0,ROBINSON S,11 - 6,354,CAN,5:54
Steal,6,10.0,2,11,CRO,4.0,DOBUD N,11 - 6,354,CRO,5:54
5m shot - Saved,6,5.0,2,11,CRO,4.0,JOKOVIC M,11 - 6,326,CRO,5:26
5m shot - Missed,6,8.0,2,11,CRO,4.0,GRAHAM K,11 - 6,296,CAN,4:56
Centre shot - Saved,6,10.0,2,11,CRO,4.0,DOBUD N,11 - 6,270,CRO,4:30
Turnover foul,6,10.0,2,11,CRO,4.0,CONWAY J,11 - 6,242,CAN,4:02
Time-Out,6,,2,11,CRO,4.0,,11 - 6,241,CRO,4:01
Turnover foul,6,7.0,2,11,CRO,4.0,MUSLIM P,11 - 6,222,CRO,3:42
Turnover foul,6,9.0,2,11,CRO,4.0,DIGGLE D,11 - 6,194,CAN,3:14
Steal,6,11.0,2,11,CRO,4.0,SETKA A,11 - 6,194,CRO,3:14
Centre shot - Missed,6,7.0,2,11,CRO,4.0,MUSLIM P,11 - 6,178,CRO,2:58
Turnover foul,6,1.0,2,11,CRO,4.0,RANDALL R,11 - 6,172,CAN,2:52
Steal,6,1.0,2,11,CRO,4.0,PAVIC J,11 - 6,172,CRO,2:52
Centre shot - Goal,6,9.0,2,12,CRO,4.0,SUKNO S,12 - 6,152,CRO,2:32
20 sec. exclusion in centre,6,2.0,2,12,CRO,4.0,LONCAR L,12 - 6,136,CRO,2:16
Extra player shot - Goal,7,5.0,2,12,CRO,4.0,BOYD J,12 - 7,120,CAN,2:00
20 sec. exclusion in centre,7,12.0,2,12,CRO,4.0,McELROY J,12 - 7,105,CAN,1:45
Time-Out,7,,2,12,CRO,4.0,,12 - 7,105,CRO,1:45
Extra player shot - Blocked,7,4.0,2,12,CRO,4.0,PASKVALIN F,12 - 7,87,CRO,1:27
Time-Out,7,,2,12,CRO,4.0,,12 - 7,87,CAN,1:27
Action shot - Saved,7,5.0,2,12,CRO,4.0,BOYD J,12 - 7,63,CAN,1:03
Action shot - Goal,7,5.0,2,13,CRO,4.0,JOKOVIC M,13 - 7,35,CRO,0:35
5m shot - Saved,7,11.0,2,13,CRO,4.0,SETKA A,13 - 7,2,CRO,0:02
Starting goalkeeper,0,1.0,3,0,USA,1.0,MOSES M,0 - 0,480,USA,8:00
Starting goalkeeper,0,1.0,3,0,USA,1.0,RANDALL R,0 - 0,480,CAN,8:00
Sprint won possession,0,8.0,3,0,USA,1.0,GRAHAM K,0 - 0,480,CAN,8:00
5m shot - Post,0,8.0,3,0,USA,1.0,GRAHAM K,0 - 0,452,CAN,7:32
Turnover foul,0,7.0,3,0,USA,1.0,KRUMPHOLZ J,0 - 0,421,USA,7:01
Steal,0,10.0,3,0,USA,1.0,CONWAY J,0 - 0,421,CAN,7:01
Turnover foul,0,8.0,3,0,USA,1.0,GRAHAM K,0 - 0,392,CAN,6:32
