Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Counter attack,2.0,3,9,RUS,4.0,HOOPER J,14 - 9,178,USA,2:58,14,Goal,1
Action shot,12.0,3,1,RUS,2.0,IRVING M,8 - 1,242,USA,4:02,8,Goal,1
5m shot,7.0,3,2,RUS,2.0,MERKULOV D,8 - 2,215,RUS,3:35,8,Goal,1
5m shot,6.0,3,2,RUS,2.0,CUPIDO L,8 - 2,203,USA,3:23,8,Blocked,0
Extra player shot,8.0,3,3,RUS,2.0,NAGAEV I,8 - 3,178,RUS,2:58,8,Goal,1
5m shot,9.0,3,3,RUS,2.0,BOWEN A,8 - 3,149,USA,2:29,8,Post,0
Action shot,5.0,3,4,RUS,2.0,BUGAYCHUK A,8 - 4,112,RUS,1:52,8,Goal,1
Extra player shot,2.0,3,4,RUS,2.0,HOOPER J,9 - 4,82,USA,1:22,9,Goal,1
Extra player shot,7.0,3,5,RUS,2.0,MERKULOV D,9 - 5,45,RUS,0:45,9,Goal,1
5m shot,7.0,3,5,RUS,2.0,DUNSTAN T,9 - 5,18,USA,0:18,9,Blocked,0
5m shot,8.0,3,6,RUS,2.0,NAGAEV I,9 - 6,3,RUS,0:03,9,Goal,1
5m shot,6.0,3,6,RUS,2.0,CUPIDO L,9 - 6,1,USA,0:01,9,Missed,0
5m shot,2.0,3,6,RUS,3.0,LAZAREV N,9 - 6,456,RUS,7:36,9,Post,0
5m shot,9.0,3,6,RUS,3.0,BOWEN A,9 - 6,427,USA,7:07,9,Saved,0
Action shot,8.0,3,6,RUS,3.0,NAGAEV I,9 - 6,403,RUS,6:43,9,Saved,0
Counter attack,6.0,3,6,RUS,3.0,CUPIDO L,10 - 6,393,USA,6:33,10,Goal,1
5m shot,7.0,3,6,RUS,3.0,MERKULOV D,10 - 6,362,RUS,6:02,10,Saved,0
Action shot,7.0,3,6,RUS,3.0,DUNSTAN T,11 - 6,315,USA,5:15,11,Goal,1
Action shot,8.0,3,6,RUS,3.0,NAGAEV I,11 - 6,205,RUS,3:25,11,Missed,0
Action shot,2.0,3,6,RUS,3.0,HOOPER J,11 - 6,176,USA,2:56,11,Saved,0
5m shot,12.0,3,7,RUS,3.0,SHEPELEV R,11 - 7,149,RUS,2:29,11,Goal,1
Action shot,12.0,3,7,RUS,3.0,SHEPELEV R,11 - 7,112,RUS,1:52,11,Saved,0
Action shot,7.0,3,7,RUS,3.0,DUNSTAN T,12 - 7,97,USA,1:37,12,Goal,1
5m shot,7.0,3,7,RUS,3.0,MERKULOV D,12 - 7,68,RUS,1:08,12,Saved,0
