AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
4,Centre shot - Goal,4.0,7,3,RUS,1.0,DEREVIANKIN N,3 - 4,150,RUS,2:30
4,Centre shot - Post,4.0,7,3,RUS,1.0,KAYES J,3 - 4,130,AUS,2:10
4,20 sec. exclusion in centre,5.0,7,3,RUS,1.0,POWER N,3 - 4,109,AUS,1:49
4,Time-Out,,7,3,RUS,1.0,,3 - 4,109,RUS,1:49
4,Extra player shot - Saved,11.0,7,3,RUS,1.0,LISUNOV S,3 - 4,83,RUS,1:23
4,5m shot - Saved,8.0,7,3,RUS,1.0,YOUNGER A,3 - 4,59,AUS,0:59
4,Turnover foul,9.0,7,3,RUS,1.0,FORD A,3 - 4,53,AUS,0:53
4,Steal,6.0,7,3,RUS,1.0,ASHAEV A,3 - 4,53,RUS,0:53
4,20 sec. exclusion in field,10.0,7,3,RUS,1.0,FANNON J,3 - 4,53,AUS,0:53
4,Extra player shot - Saved,10.0,7,3,RUS,1.0,KHOLOD D,3 - 4,33,RUS,0:33
4,20 sec. exclusion in centre,8.0,7,3,RUS,1.0,YOUNGER A,3 - 4,19,AUS,0:19
4,Extra player shot - Post,2.0,7,3,RUS,1.0,LAZAREV N,3 - 4,12,RUS,0:12
4,Time-Out,,7,3,RUS,1.0,,3 - 4,12,AUS,0:12
4,Turnover foul,9.0,7,3,RUS,1.0,FORD A,3 - 4,2,AUS,0:02
4,Steal,9.0,7,3,RUS,1.0,SUCHKOV I,3 - 4,2,RUS,0:02
4,5m shot - Saved,1.0,7,3,RUS,1.0,KORNEEV K,3 - 4,1,RUS,0:01
4,Starting goalkeeper,1.0,7,3,RUS,2.0,KORNEEV K,3 - 4,480,RUS,8:00
4,Starting goalkeeper,13.0,7,3,RUS,2.0,HRYSANTHOS A,3 - 4,480,AUS,8:00
4,Sprint won possession,10.0,7,3,RUS,2.0,KHOLOD D,3 - 4,480,RUS,8:00
4,5m shot - Saved,2.0,7,3,RUS,2.0,LAZAREV N,3 - 4,451,RUS,7:31
4,5m shot - Blocked,11.0,7,3,RUS,2.0,HOLLIS L,3 - 4,423,AUS,7:03
4,Action shot - Saved,2.0,7,3,RUS,2.0,LAZAREV N,3 - 4,405,RUS,6:45
4,20 sec. exclusion in field,7.0,7,3,RUS,2.0,GILCHRIST J,3 - 4,397,AUS,6:37
4,5m shot - Goal,10.0,7,4,RUS,2.0,KHOLOD D,4 - 4,373,RUS,6:13
5,Centre shot - Goal,6.0,7,4,RUS,2.0,EDWARDS L,4 - 5,346,AUS,5:46
5,Turnover foul,4.0,7,4,RUS,2.0,DEREVIANKIN N,4 - 5,334,RUS,5:34
5,Action shot - Saved,7.0,7,4,RUS,2.0,GILCHRIST J,4 - 5,317,AUS,5:17
5,5m shot - Saved,10.0,7,4,RUS,2.0,KHOLOD D,4 - 5,296,RUS,4:56
5,Action shot - Saved,8.0,7,4,RUS,2.0,YOUNGER A,4 - 5,274,AUS,4:34
5,Turnover foul,8.0,7,4,RUS,2.0,NAGAEV I,4 - 5,251,RUS,4:11
5,Steal,13.0,7,4,RUS,2.0,HRYSANTHOS A,4 - 5,251,AUS,4:11
5,Action shot - Post,7.0,7,4,RUS,2.0,GILCHRIST J,4 - 5,221,AUS,3:41
5,5m shot - Goal,7.0,7,5,RUS,2.0,MERKULOV D,5 - 5,200,RUS,3:20
5,Action shot - Saved,8.0,7,5,RUS,2.0,YOUNGER A,5 - 5,174,AUS,2:54
