Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name
4.0,4:16,Turnover foul,16 - 3,BRA,ZABLITH M,3.0,16,3,256,2,BRA
4.0,3:56,5m shot - Goal,17 - 3,ITA,EMMOLO G,9.0,17,3,236,2,BRA
4.0,3:56,Goalkeeper substitution,17 - 3,ITA,LAVI F,13.0,17,3,236,2,BRA
4.0,3:27,Centre shot - Goal,17 - 4,BRA,ZABLITH M,3.0,17,4,207,2,BRA
4.0,3:18,Turnover foul,17 - 4,ITA,BIANCONI R,8.0,17,4,198,2,BRA
4.0,3:11,Counter attack - Saved,17 - 4,BRA,FERREIRA S,7.0,17,4,191,2,BRA
4.0,2:56,5m shot - Goal,18 - 4,ITA,EMMOLO G,9.0,18,4,176,2,BRA
4.0,2:31,Action shot - Saved,18 - 4,BRA,DIAS M,9.0,18,4,151,2,BRA
4.0,2:26,Centre shot - Saved,18 - 4,BRA,FERREIRA S,7.0,18,4,146,2,BRA
4.0,1:32,5m shot - Missed,18 - 4,BRA,DIAS M,9.0,18,4,92,2,BRA
4.0,1:20,20 sec. exclusion in centre,18 - 4,BRA,DIAS M,9.0,18,4,80,2,BRA
4.0,0:59,Turnover foul,18 - 4,ITA,AIELLO R,6.0,18,4,59,2,BRA
4.0,0:59,Time-Out,18 - 4,BRA,,,18,4,59,2,BRA
4.0,0:50,20 sec. exclusion in centre,18 - 4,ITA,QUEIROLO E,4.0,18,4,50,2,BRA
4.0,0:22,5m shot - Saved,18 - 4,BRA,ABLA D,2.0,18,4,22,2,BRA
1.0,8:00,Starting goalkeeper,0 - 0,ITA,GORLERO G,1.0,0,0,480,3,CHN
1.0,8:00,Starting goalkeeper,0 - 0,CHN,PENG L,1.0,0,0,480,3,CHN
1.0,8:00,Sprint won possession,0 - 0,CHN,NIU G,5.0,0,0,480,3,CHN
1.0,7:34,Centre shot - Goal,0 - 1,CHN,XIONG D,4.0,0,1,454,3,CHN
1.0,7:14,5m shot - Blocked,0 - 1,ITA,BIANCONI R,8.0,0,1,434,3,CHN
1.0,7:13,20 sec. exclusion in centre,0 - 1,CHN,MEI X,3.0,0,1,433,3,CHN
1.0,6:59,Extra player shot - Goal,1 - 1,ITA,AIELLO R,6.0,1,1,419,3,CHN
1.0,6:30,Turnover foul,1 - 1,CHN,ZHANG C,8.0,1,1,390,3,CHN
1.0,6:30,Steal,1 - 1,ITA,GORLERO G,1.0,1,1,390,3,CHN
1.0,6:18,Turnover foul,1 - 1,ITA,BIANCONI R,8.0,1,1,378,3,CHN
1.0,6:18,Steal,1 - 1,CHN,MEI X,3.0,1,1,378,3,CHN
1.0,5:58,Penalty foul,1 - 1,ITA,GARIBOTTI A,3.0,1,1,358,3,CHN
1.0,5:58,Penalty shot - Goal,1 - 2,CHN,ZHAO Z,9.0,1,2,358,3,CHN
1.0,5:34,5m shot - Saved,1 - 2,ITA,BIANCONI R,8.0,1,2,334,3,CHN
1.0,5:09,Action shot - Saved,1 - 2,CHN,NIU G,5.0,1,2,309,3,CHN
1.0,4:48,5m shot - Post,1 - 2,ITA,GARIBOTTI A,3.0,1,2,288,3,CHN
1.0,4:36,5m shot - Post,1 - 2,ITA,EMMOLO G,9.0,1,2,276,3,CHN
1.0,4:11,5m shot - Post,1 - 2,CHN,NIU G,5.0,1,2,251,3,CHN
1.0,3:52,Centre shot - Post,1 - 2,ITA,AIELLO R,6.0,1,2,232,3,CHN
1.0,3:26,Turnover foul,1 - 2,CHN,NIU G,5.0,1,2,206,3,CHN
1.0,3:26,Steal,1 - 2,ITA,GARIBOTTI A,3.0,1,2,206,3,CHN
1.0,3:11,20 sec. exclusion in centre,1 - 2,CHN,GUO N,6.0,1,2,191,3,CHN
1.0,3:08,Extra player shot - Goal,2 - 2,ITA,GARIBOTTI A,3.0,2,2,188,3,CHN
1.0,2:40,5m shot - Saved,2 - 2,CHN,ZHAO Z,9.0,2,2,160,3,CHN
1.0,2:26,Turnover foul,2 - 2,ITA,DARIO S,12.0,2,2,146,3,CHN
1.0,2:26,Steal,2 - 2,CHN,ZHANG D,10.0,2,2,146,3,CHN
1.0,1:57,5m shot - Saved,2 - 2,CHN,ZHANG D,10.0,2,2,117,3,CHN
1.0,1:50,Turnover foul,2 - 2,ITA,PICOZZI D,7.0,2,2,110,3,CHN
1.0,1:50,Steal,2 - 2,CHN,ZHANG J,12.0,2,2,110,3,CHN
1.0,1:22,5m shot - Blocked,2 - 2,CHN,ZHAO Z,9.0,2,2,82,3,CHN
1.0,1:13,20 sec. exclusion in centre,2 - 2,CHN,ZHANG J,12.0,2,2,73,3,CHN
1.0,1:12,Time-Out,2 - 2,ITA,,,2,2,72,3,CHN
1.0,0:56,Extra player shot - Goal,3 - 2,ITA,PICOZZI D,7.0,3,2,56,3,CHN
1.0,0:28,Action shot - Saved,3 - 2,CHN,ZHANG J,12.0,3,2,28,3,CHN
1.0,0:12,5m shot - Post,3 - 2,ITA,PICOZZI D,7.0,3,2,12,3,CHN
1.0,0:11,Time-Out,3 - 2,CHN,,,3,2,11,3,CHN
1.0,0:04,5m shot - Saved,3 - 2,CHN,ZHANG C,8.0,3,2,4,3,CHN
2.0,8:00,Starting goalkeeper,3 - 2,ITA,GORLERO G,1.0,3,2,480,3,CHN
2.0,8:00,Starting goalkeeper,3 - 2,CHN,PENG L,1.0,3,2,480,3,CHN
2.0,8:00,Sprint won possession,3 - 2,ITA,BIANCONI R,8.0,3,2,480,3,CHN
2.0,7:29,5m shot - Post,3 - 2,ITA,BIANCONI R,8.0,3,2,449,3,CHN
2.0,7:25,Action shot - Goal,4 - 2,ITA,AIELLO R,6.0,4,2,445,3,CHN
2.0,7:04,20 sec. exclusion in centre,4 - 2,ITA,RADICCHI F,5.0,4,2,424,3,CHN
2.0,6:41,Extra player shot - Goal,4 - 3,CHN,CHEN X,11.0,4,3,401,3,CHN
2.0,6:27,20 sec. exclusion in field,4 - 3,CHN,CHEN X,11.0,4,3,387,3,CHN
2.0,6:09,Extra player shot - Saved,4 - 3,ITA,GARIBOTTI A,3.0,4,3,369,3,CHN
2.0,5:40,Action shot - Saved,4 - 3,CHN,GUO N,6.0,4,3,340,3,CHN
2.0,5:21,Centre shot - Saved,4 - 3,ITA,AIELLO R,6.0,4,3,321,3,CHN
2.0,4:52,Action shot - Saved,4 - 3,CHN,NIU G,5.0,4,3,292,3,CHN
2.0,4:33,5m shot - Saved,4 - 3,ITA,GARIBOTTI A,3.0,4,3,273,3,CHN
