Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name,Result,Goal
4.0,3:56,5m shot,17 - 3,ITA,EMMOLO G,9.0,17,3,236,2,BRA,Goal,1
4.0,3:27,Centre shot,17 - 4,BRA,ZABLITH M,3.0,17,4,207,2,BRA,Goal,1
4.0,3:11,Counter attack,17 - 4,BRA,FERREIRA S,7.0,17,4,191,2,BRA,Saved,0
4.0,2:56,5m shot,18 - 4,ITA,EMMOLO G,9.0,18,4,176,2,BRA,Goal,1
4.0,2:31,Action shot,18 - 4,BRA,DIAS M,9.0,18,4,151,2,BRA,Saved,0
4.0,2:26,Centre shot,18 - 4,BRA,FERREIRA S,7.0,18,4,146,2,BRA,Saved,0
4.0,1:32,5m shot,18 - 4,BRA,DIAS M,9.0,18,4,92,2,BRA,Missed,0
4.0,0:22,5m shot,18 - 4,BRA,ABLA D,2.0,18,4,22,2,BRA,Saved,0
1.0,7:34,Centre shot,0 - 1,CHN,XIONG D,4.0,0,1,454,3,CHN,Goal,1
1.0,7:14,5m shot,0 - 1,ITA,BIANCONI R,8.0,0,1,434,3,CHN,Blocked,0
1.0,6:59,Extra player shot,1 - 1,ITA,AIELLO R,6.0,1,1,419,3,CHN,Goal,1
1.0,5:58,Penalty shot,1 - 2,CHN,ZHAO Z,9.0,1,2,358,3,CHN,Goal,1
1.0,5:34,5m shot,1 - 2,ITA,BIANCONI R,8.0,1,2,334,3,CHN,Saved,0
1.0,5:09,Action shot,1 - 2,CHN,NIU G,5.0,1,2,309,3,CHN,Saved,0
1.0,4:48,5m shot,1 - 2,ITA,GARIBOTTI A,3.0,1,2,288,3,CHN,Post,0
1.0,4:36,5m shot,1 - 2,ITA,EMMOLO G,9.0,1,2,276,3,CHN,Post,0
1.0,4:11,5m shot,1 - 2,CHN,NIU G,5.0,1,2,251,3,CHN,Post,0
1.0,3:52,Centre shot,1 - 2,ITA,AIELLO R,6.0,1,2,232,3,CHN,Post,0
1.0,3:08,Extra player shot,2 - 2,ITA,GARIBOTTI A,3.0,2,2,188,3,CHN,Goal,1
1.0,2:40,5m shot,2 - 2,CHN,ZHAO Z,9.0,2,2,160,3,CHN,Saved,0
1.0,1:57,5m shot,2 - 2,CHN,ZHANG D,10.0,2,2,117,3,CHN,Saved,0
1.0,1:22,5m shot,2 - 2,CHN,ZHAO Z,9.0,2,2,82,3,CHN,Blocked,0
1.0,0:56,Extra player shot,3 - 2,ITA,PICOZZI D,7.0,3,2,56,3,CHN,Goal,1
1.0,0:28,Action shot,3 - 2,CHN,ZHANG J,12.0,3,2,28,3,CHN,Saved,0
1.0,0:12,5m shot,3 - 2,ITA,PICOZZI D,7.0,3,2,12,3,CHN,Post,0
1.0,0:04,5m shot,3 - 2,CHN,ZHANG C,8.0,3,2,4,3,CHN,Saved,0
2.0,7:29,5m shot,3 - 2,ITA,BIANCONI R,8.0,3,2,449,3,CHN,Post,0
2.0,7:25,Action shot,4 - 2,ITA,AIELLO R,6.0,4,2,445,3,CHN,Goal,1
2.0,6:41,Extra player shot,4 - 3,CHN,CHEN X,11.0,4,3,401,3,CHN,Goal,1
2.0,6:09,Extra player shot,4 - 3,ITA,GARIBOTTI A,3.0,4,3,369,3,CHN,Saved,0
2.0,5:40,Action shot,4 - 3,CHN,GUO N,6.0,4,3,340,3,CHN,Saved,0
2.0,5:21,Centre shot,4 - 3,ITA,AIELLO R,6.0,4,3,321,3,CHN,Saved,0
2.0,4:52,Action shot,4 - 3,CHN,NIU G,5.0,4,3,292,3,CHN,Saved,0
2.0,4:33,5m shot,4 - 3,ITA,GARIBOTTI A,3.0,4,3,273,3,CHN,Saved,0
2.0,4:20,Extra player shot,5 - 3,ITA,BIANCONI R,8.0,5,3,260,3,CHN,Goal,1
2.0,3:50,Action shot,5 - 3,CHN,ZHANG D,10.0,5,3,230,3,CHN,Post,0
2.0,2:58,Extra player shot,6 - 3,ITA,BIANCONI R,8.0,6,3,178,3,CHN,Goal,1
2.0,2:25,5m shot,6 - 4,CHN,MEI X,3.0,6,4,145,3,CHN,Goal,1
4.0,3:40,Counter attack,14 - 6,CHN,ZHANG C,8.0,14,6,220,3,CHN,Goal,1
4.0,3:12,5m shot,14 - 6,ITA,QUEIROLO E,4.0,14,6,192,3,CHN,Saved,0
4.0,2:54,Extra player shot,14 - 7,CHN,ZHANG J,12.0,14,7,174,3,CHN,Goal,1
4.0,2:25,Extra player shot,15 - 7,ITA,PALMIERI V,10.0,15,7,145,3,CHN,Goal,1
4.0,2:03,5m shot,15 - 7,CHN,NIU G,5.0,15,7,123,3,CHN,Saved,0
2.0,1:48,5m shot,15 - 7,ITA,GARIBOTTI A,3.0,15,7,108,3,CHN,Saved,0
2.0,1:31,Action shot,15 - 7,CHN,ZHANG C,8.0,15,7,91,3,CHN,Post,0
2.0,1:14,5m shot,7 - 4,ITA,QUEIROLO E,4.0,7,4,74,3,CHN,Goal,1
2.0,0:27,Centre shot,7 - 4,CHN,XIONG D,4.0,7,4,27,3,CHN,Saved,0
2.0,0:03,Action shot,7 - 4,ITA,EMMOLO G,9.0,7,4,3,3,CHN,Saved,0
3.0,7:47,5m shot,7 - 4,CHN,ZHAO Z,9.0,7,4,467,3,CHN,Saved,0
3.0,7:26,Centre shot,8 - 4,ITA,AIELLO R,6.0,8,4,446,3,CHN,Goal,1
3.0,6:56,Action shot,8 - 4,CHN,NIU G,5.0,8,4,416,3,CHN,Post,0
3.0,6:42,Action shot,8 - 4,ITA,GARIBOTTI A,3.0,8,4,402,3,CHN,Post,0
3.0,5:52,5m shot,8 - 4,ITA,QUEIROLO E,4.0,8,4,352,3,CHN,Saved,0
3.0,5:16,Extra player shot,9 - 4,ITA,RADICCHI F,5.0,9,4,316,3,CHN,Goal,1
3.0,4:31,Penalty shot,10 - 4,ITA,BIANCONI R,8.0,10,4,271,3,CHN,Goal,1
3.0,3:40,5m shot,10 - 4,ITA,TABANI C,2.0,10,4,220,3,CHN,Post,0
3.0,3:17,Centre shot,10 - 4,ITA,PALMIERI V,10.0,10,4,197,3,CHN,Post,0
3.0,2:55,5m shot,10 - 4,CHN,ZHAO Z,9.0,10,4,175,3,CHN,Saved,0
3.0,2:27,Action shot,11 - 4,ITA,TABANI C,2.0,11,4,147,3,CHN,Goal,1
3.0,1:59,5m shot,11 - 4,CHN,ZHANG C,8.0,11,4,119,3,CHN,Saved,0
3.0,1:38,Centre shot,12 - 4,ITA,PALMIERI V,10.0,12,4,98,3,CHN,Goal,1
