Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Centre shot - Goal,2,6.0,2,12,ITA,3.0,AIELLO R,12 - 2,450,ITA,7:30
5m shot - Saved,2,11.0,2,12,ITA,3.0,DUARTE M,12 - 2,423,BRA,7:03
Turnover foul,2,4.0,2,12,ITA,3.0,SOUZA J,12 - 2,409,BRA,6:49
Steal,2,5.0,2,12,ITA,3.0,RADICCHI F,12 - 2,409,ITA,6:49
Turnover foul,2,7.0,2,12,ITA,3.0,PICOZZI D,12 - 2,395,ITA,6:35
Turnover foul,2,7.0,2,12,ITA,3.0,FERREIRA S,12 - 2,381,BRA,6:21
Steal,2,1.0,2,12,ITA,3.0,GORLERO G,12 - 2,381,ITA,6:21
5m shot - Saved,2,5.0,2,12,ITA,3.0,RADICCHI F,12 - 2,365,ITA,6:05
5m shot - Post,2,5.0,2,12,ITA,3.0,RADICCHI F,12 - 2,342,ITA,5:42
Turnover foul,2,3.0,2,12,ITA,3.0,ZABLITH M,12 - 2,320,BRA,5:20
Steal,2,1.0,2,12,ITA,3.0,GORLERO G,12 - 2,320,ITA,5:20
Penalty foul,2,7.0,2,12,ITA,3.0,FERREIRA S,12 - 2,307,BRA,5:07
Penalty shot - Goal,2,8.0,2,13,ITA,3.0,BIANCONI R,13 - 2,307,ITA,5:07
5m shot - Saved,2,3.0,2,13,ITA,3.0,ZABLITH M,13 - 2,277,BRA,4:37
5m shot - Saved,2,11.0,2,13,ITA,3.0,DUARTE M,13 - 2,259,BRA,4:19
5m shot - Goal,2,7.0,2,14,ITA,3.0,PICOZZI D,14 - 2,240,ITA,4:00
Turnover foul,2,11.0,2,14,ITA,3.0,DUARTE M,14 - 2,218,BRA,3:38
Steal,2,2.0,2,14,ITA,3.0,TABANI C,14 - 2,218,ITA,3:38
5m shot - Missed,2,7.0,2,14,ITA,3.0,PICOZZI D,14 - 2,193,ITA,3:13
Action shot - Goal,3,2.0,2,14,ITA,3.0,ABLA D,14 - 3,176,BRA,2:56
Turnover foul,3,10.0,2,14,ITA,3.0,BAHIA V,14 - 3,149,BRA,2:29
Steal,3,3.0,2,14,ITA,3.0,GARIBOTTI A,14 - 3,149,ITA,2:29
Action shot - Saved,3,2.0,2,14,ITA,3.0,ABLA D,14 - 3,132,BRA,2:12
Centre shot - Saved,3,10.0,2,14,ITA,3.0,PALMIERI V,14 - 3,107,ITA,1:47
Time-Out,3,,2,14,ITA,3.0,,14 - 3,100,BRA,1:40
Action shot - Blocked,3,12.0,2,14,ITA,3.0,BELORIO L,14 - 3,74,BRA,1:14
Counter attack - Goal,3,9.0,2,15,ITA,3.0,EMMOLO G,15 - 3,62,ITA,1:02
5m shot - Missed,3,9.0,2,15,ITA,3.0,DIAS M,15 - 3,39,BRA,0:39
Action shot - Post,3,2.0,2,15,ITA,3.0,TABANI C,15 - 3,22,ITA,0:22
Starting goalkeeper,3,1.0,2,15,ITA,4.0,GORLERO G,15 - 3,480,ITA,8:00
Starting goalkeeper,3,13.0,2,15,ITA,4.0,SA R,15 - 3,480,BRA,8:00
Sprint won possession,3,3.0,2,15,ITA,4.0,ZABLITH M,15 - 3,480,BRA,8:00
5m shot - Saved,3,9.0,2,15,ITA,4.0,DIAS M,15 - 3,451,BRA,7:31
5m shot - Missed,3,10.0,2,15,ITA,4.0,PALMIERI V,15 - 3,424,ITA,7:04
5m shot - Blocked,3,9.0,2,15,ITA,4.0,DIAS M,15 - 3,396,BRA,6:36
Turnover foul,3,10.0,2,15,ITA,4.0,PALMIERI V,15 - 3,376,ITA,6:16
20 sec. exclusion in centre,3,4.0,2,15,ITA,4.0,QUEIROLO E,15 - 3,374,ITA,6:14
Action shot - Saved,3,11.0,2,15,ITA,4.0,DUARTE M,15 - 3,349,BRA,5:49
Action shot - Goal,3,8.0,2,16,ITA,4.0,BIANCONI R,16 - 3,326,ITA,5:26
5m shot - Missed,3,3.0,2,16,ITA,4.0,ZABLITH M,16 - 3,304,BRA,5:04
Action shot - Post,3,8.0,2,16,ITA,4.0,BIANCONI R,16 - 3,278,ITA,4:38
Turnover foul,3,3.0,2,16,ITA,4.0,ZABLITH M,16 - 3,256,BRA,4:16
5m shot - Goal,3,9.0,2,17,ITA,4.0,EMMOLO G,17 - 3,236,ITA,3:56
Goalkeeper substitution,3,13.0,2,17,ITA,4.0,LAVI F,17 - 3,236,ITA,3:56
Centre shot - Goal,4,3.0,2,17,ITA,4.0,ZABLITH M,17 - 4,207,BRA,3:27
Turnover foul,4,8.0,2,17,ITA,4.0,BIANCONI R,17 - 4,198,ITA,3:18
Counter attack - Saved,4,7.0,2,17,ITA,4.0,FERREIRA S,17 - 4,191,BRA,3:11
5m shot - Goal,4,9.0,2,18,ITA,4.0,EMMOLO G,18 - 4,176,ITA,2:56
Action shot - Saved,4,9.0,2,18,ITA,4.0,DIAS M,18 - 4,151,BRA,2:31
Centre shot - Saved,4,7.0,2,18,ITA,4.0,FERREIRA S,18 - 4,146,BRA,2:26
5m shot - Missed,4,9.0,2,18,ITA,4.0,DIAS M,18 - 4,92,BRA,1:32
20 sec. exclusion in centre,4,9.0,2,18,ITA,4.0,DIAS M,18 - 4,80,BRA,1:20
Turnover foul,4,6.0,2,18,ITA,4.0,AIELLO R,18 - 4,59,ITA,0:59
Time-Out,4,,2,18,ITA,4.0,,18 - 4,59,BRA,0:59
20 sec. exclusion in centre,4,4.0,2,18,ITA,4.0,QUEIROLO E,18 - 4,50,ITA,0:50
5m shot - Saved,4,2.0,2,18,ITA,4.0,ABLA D,18 - 4,22,BRA,0:22
Starting goalkeeper,0,1.0,3,0,CAN,1.0,CHAMORRO V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,1.0,3,0,CAN,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Sprint won possession,0,3.0,3,0,CAN,1.0,ZABLITH M,0 - 0,480,BRA,8:00
Turnover foul,0,3.0,3,0,CAN,1.0,ZABLITH M,0 - 0,454,BRA,7:34
Steal,0,12.0,3,0,CAN,1.0,FOURNIER S,0 - 0,454,CAN,7:34
Penalty foul,0,3.0,3,0,CAN,1.0,ZABLITH M,0 - 0,431,BRA,7:11
Penalty shot - Goal,0,4.0,3,1,CAN,1.0,WRIGHT E,0 - 1,431,CAN,7:11
Turnover foul,0,9.0,3,1,CAN,1.0,DIAS M,0 - 1,417,BRA,6:57
Steal,0,5.0,3,1,CAN,1.0,EGGENS M,0 - 1,417,CAN,6:57
Counter attack - Goal,0,5.0,3,2,CAN,1.0,EGGENS M,0 - 2,406,CAN,6:46
5m shot - Missed,0,2.0,3,2,CAN,1.0,ABLA D,0 - 2,387,BRA,6:27
20 sec. exclusion in centre,0,4.0,3,2,CAN,1.0,SOUZA J,0 - 2,375,BRA,6:15
Extra player shot - Post,0,9.0,3,2,CAN,1.0,McKELVEY H,0 - 2,358,CAN,5:58
Turnover foul,0,10.0,3,2,CAN,1.0,BAHIA V,0 - 2,331,BRA,5:31
Steal,0,5.0,3,2,CAN,1.0,EGGENS M,0 - 2,331,CAN,5:31
Turnover foul,0,10.0,3,2,CAN,1.0,ROBINSON C,0 - 2,310,CAN,5:10
Steal,0,11.0,3,2,CAN,1.0,DUARTE M,0 - 2,310,BRA,5:10
Action shot - Goal,1,9.0,3,2,CAN,1.0,DIAS M,1 - 2,285,BRA,4:45
Turnover foul,1,5.0,3,2,CAN,1.0,EGGENS M,1 - 2,273,CAN,4:33
Steal,1,9.0,3,2,CAN,1.0,DIAS M,1 - 2,273,BRA,4:33
