Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,4,9.0,1,11,CHN,4.0,ZHAO Z,4 - 11,1,CHN,0:01,Goal,1
5m shot,0,11.0,2,0,ITA,1.0,DUARTE M,0 - 0,455,BRA,7:35,Saved,0
Action shot,0,3.0,2,1,ITA,1.0,GARIBOTTI A,1 - 0,438,ITA,7:18,Goal,1
5m shot,0,9.0,2,1,ITA,1.0,DIAS M,1 - 0,416,BRA,6:56,Missed,0
5m shot,0,5.0,2,1,ITA,1.0,RADICCHI F,1 - 0,396,ITA,6:36,Post,0
Action shot,0,3.0,2,1,ITA,1.0,ZABLITH M,1 - 0,366,BRA,6:06,Blocked,0
Action shot,0,11.0,2,1,ITA,1.0,DUARTE M,1 - 0,350,BRA,5:50,Saved,0
Extra player shot,0,6.0,2,2,ITA,1.0,AIELLO R,2 - 0,294,ITA,4:54,Goal,1
Action shot,0,9.0,2,2,ITA,1.0,DIAS M,2 - 0,267,BRA,4:27,Post,0
5m shot,0,5.0,2,3,ITA,1.0,RADICCHI F,3 - 0,241,ITA,4:01,Goal,1
Action shot,1,11.0,2,3,ITA,1.0,DUARTE M,3 - 1,203,BRA,3:23,Goal,1
5m shot,1,11.0,2,3,ITA,1.0,DUARTE M,3 - 1,159,BRA,2:39,Missed,0
Centre shot,1,10.0,2,4,ITA,1.0,PALMIERI V,4 - 1,138,ITA,2:18,Goal,1
Action shot,1,10.0,2,5,ITA,1.0,PALMIERI V,5 - 1,93,ITA,1:33,Goal,1
Action shot,1,11.0,2,5,ITA,1.0,DUARTE M,5 - 1,67,BRA,1:07,Missed,0
5m shot,1,12.0,2,5,ITA,1.0,DARIO S,5 - 1,47,ITA,0:47,Saved,0
Extra player shot,1,8.0,2,5,ITA,1.0,BRUZZO M,5 - 1,8,BRA,0:08,Blocked,0
Counter attack,1,9.0,2,6,ITA,2.0,EMMOLO G,6 - 1,441,ITA,7:21,Goal,1
5m shot,2,3.0,2,6,ITA,2.0,ZABLITH M,6 - 2,414,BRA,6:54,Goal,1
Extra player shot,2,6.0,2,7,ITA,2.0,AIELLO R,7 - 2,401,ITA,6:41,Goal,1
Action shot,2,11.0,2,7,ITA,2.0,DUARTE M,7 - 2,380,BRA,6:20,Blocked,0
Action shot,2,12.0,2,7,ITA,2.0,DARIO S,7 - 2,360,ITA,6:00,Missed,0
Action shot,2,8.0,2,7,ITA,2.0,BIANCONI R,7 - 2,322,ITA,5:22,Post,0
Action shot,2,5.0,2,8,ITA,2.0,RADICCHI F,8 - 2,320,ITA,5:20,Goal,1
Extra player shot,2,9.0,2,8,ITA,2.0,EMMOLO G,8 - 2,268,ITA,4:28,Saved,0
Action shot,2,4.0,2,9,ITA,2.0,QUEIROLO E,9 - 2,260,ITA,4:20,Goal,1
5m shot,2,9.0,2,9,ITA,2.0,DIAS M,9 - 2,236,BRA,3:56,Saved,0
5m shot,2,9.0,2,9,ITA,2.0,DIAS M,9 - 2,210,BRA,3:30,Saved,0
Extra player shot,2,7.0,2,9,ITA,2.0,PICOZZI D,9 - 2,134,ITA,2:14,Saved,0
Action shot,2,10.0,2,10,ITA,2.0,PALMIERI V,10 - 2,117,ITA,1:57,Goal,1
5m shot,2,3.0,2,10,ITA,2.0,ZABLITH M,10 - 2,94,BRA,1:34,Saved,0
Centre shot,2,10.0,2,11,ITA,2.0,PALMIERI V,11 - 2,79,ITA,1:19,Goal,1
5m shot,2,10.0,2,11,ITA,2.0,BAHIA V,11 - 2,50,BRA,0:50,Missed,0
Extra player shot,2,11.0,2,11,ITA,2.0,DUARTE M,11 - 2,2,BRA,0:02,Saved,0
5m shot,2,11.0,2,11,ITA,3.0,DUARTE M,11 - 2,467,BRA,7:47,Saved,0
Centre shot,2,6.0,2,12,ITA,3.0,AIELLO R,12 - 2,450,ITA,7:30,Goal,1
5m shot,2,11.0,2,12,ITA,3.0,DUARTE M,12 - 2,423,BRA,7:03,Saved,0
5m shot,2,5.0,2,12,ITA,3.0,RADICCHI F,12 - 2,365,ITA,6:05,Saved,0
5m shot,2,5.0,2,12,ITA,3.0,RADICCHI F,12 - 2,342,ITA,5:42,Post,0
Penalty shot,2,8.0,2,13,ITA,3.0,BIANCONI R,13 - 2,307,ITA,5:07,Goal,1
5m shot,2,3.0,2,13,ITA,3.0,ZABLITH M,13 - 2,277,BRA,4:37,Saved,0
