Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,9.0,2,2,2,CAN,2.0,UKUMANOV R,2 - 2,451,KAZ,7:31,Saved,0
Centre shot,4.0,2,2,3,CAN,2.0,CONSTANTIN-BICARI,3 - 2,387,CAN,6:27,Goal,1
Extra player shot,7.0,2,2,3,CAN,2.0,SHAKENOV M,3 - 2,347,KAZ,5:47,Post,0
Action shot,4.0,2,2,3,CAN,2.0,PILIPENKO R,3 - 2,324,KAZ,5:24,Missed,0
Action shot,10.0,2,2,3,CAN,2.0,SOLEIMANIPAK A,3 - 2,300,CAN,5:00,Missed,0
Centre shot,10.0,2,3,3,CAN,2.0,RUDAY M,3 - 3,274,KAZ,4:34,Goal,1
Action shot,9.0,2,3,3,CAN,2.0,UKUMANOV R,3 - 3,219,KAZ,3:39,Blocked,0
Action shot,8.0,2,3,3,CAN,2.0,LAPINS D,3 - 3,178,CAN,2:58,Saved,0
Extra player shot,2.0,2,4,3,CAN,2.0,MEDVEDEV Y,3 - 4,134,KAZ,2:14,Goal,1
Centre shot,4.0,2,4,3,CAN,2.0,CONSTANTIN-BICARI,3 - 4,104,CAN,1:44,Saved,0
5m shot,7.0,2,4,3,CAN,2.0,D'SOUZA R,3 - 4,90,CAN,1:30,Missed,0
5m shot,9.0,2,5,3,CAN,2.0,UKUMANOV R,3 - 5,67,KAZ,1:07,Goal,1
Centre shot,9.0,2,10,8,CAN,4.0,UKUMANOV R,8 - 10,136,KAZ,2:16,Goal,1
Action shot,6.0,2,10,9,CAN,4.0,ROBINSON S,9 - 10,98,CAN,1:38,Goal,1
Action shot,12.0,2,5,4,CAN,2.0,THUMWOOD D,4 - 5,44,CAN,0:44,Goal,1
Action shot,6.0,2,5,4,CAN,2.0,SHMIDER A,4 - 5,14,KAZ,0:14,Blocked,0
Penalty shot,12.0,2,5,5,CAN,2.0,THUMWOOD D,5 - 5,3,CAN,0:03,Goal,1
Action shot,6.0,2,5,5,CAN,3.0,SHMIDER A,5 - 5,456,KAZ,7:36,Blocked,0
5m shot,9.0,2,5,5,CAN,3.0,UKUMANOV R,5 - 5,409,KAZ,6:49,Saved,0
Centre shot,4.0,2,5,6,CAN,3.0,CONSTANTIN-BICARI,6 - 5,362,CAN,6:02,Goal,1
Action shot,2.0,2,6,6,CAN,3.0,MEDVEDEV Y,6 - 6,321,KAZ,5:21,Goal,1
Extra player shot,4.0,2,6,7,CAN,3.0,CONSTANTIN-BICARI,7 - 6,290,CAN,4:50,Goal,1
5m shot,4.0,2,6,7,CAN,3.0,CONSTANTIN-BICARI,7 - 6,206,CAN,3:26,Missed,0
5m shot,2.0,2,7,7,CAN,3.0,MEDVEDEV Y,7 - 7,179,KAZ,2:59,Goal,1
5m shot,2.0,2,7,7,CAN,3.0,PATTERSON G,7 - 7,150,CAN,2:30,Post,0
Action shot,8.0,2,7,7,CAN,3.0,VERDESH Y,7 - 7,78,KAZ,1:18,Post,0
Action shot,12.0,2,7,8,CAN,3.0,THUMWOOD D,8 - 7,72,CAN,1:12,Goal,1
Extra player shot,7.0,2,7,8,CAN,3.0,SHAKENOV M,8 - 7,35,KAZ,0:35,Missed,0
Action shot,12.0,2,8,8,CAN,4.0,TURLYKHANOV B,8 - 8,464,KAZ,7:44,Goal,1
Action shot,6.0,2,8,8,CAN,4.0,ROBINSON S,8 - 8,442,CAN,7:22,Post,0
Action shot,9.0,2,9,8,CAN,4.0,UKUMANOV R,8 - 9,417,KAZ,6:57,Goal,1
Extra player shot,12.0,2,9,8,CAN,4.0,THUMWOOD D,8 - 9,394,CAN,6:34,Post,0
5m shot,12.0,2,9,8,CAN,4.0,THUMWOOD D,8 - 9,384,CAN,6:24,Blocked,0
5m shot,9.0,2,9,8,CAN,4.0,UKUMANOV R,8 - 9,306,KAZ,5:06,Missed,0
Action shot,7.0,2,9,8,CAN,4.0,D'SOUZA R,8 - 9,282,CAN,4:42,Missed,0
5m shot,7.0,2,9,8,CAN,4.0,SHAKENOV M,8 - 9,252,KAZ,4:12,Missed,0
5m shot,10.0,2,9,8,CAN,4.0,SOLEIMANIPAK A,8 - 9,220,CAN,3:40,Saved,0
5m shot,4.0,2,9,8,CAN,4.0,PILIPENKO R,8 - 9,189,KAZ,3:09,Blocked,0
Extra player shot,5.0,2,9,8,CAN,4.0,HALAJIAN M,8 - 9,150,CAN,2:30,Missed,0
Action shot,4.0,2,9,8,CAN,4.0,CONSTANTIN-BICARI,8 - 9,53,CAN,0:53,Saved,0
5m shot,7.0,3,0,0,MNE,1.0,SHAKENOV M,0 - 0,454,KAZ,7:34,Missed,0
Centre shot,12.0,3,0,0,MNE,1.0,MURISIC N,0 - 0,432,MNE,7:12,Saved,0
5m shot,6.0,3,0,0,MNE,1.0,SHMIDER A,0 - 0,406,KAZ,6:46,Saved,0
Centre shot,11.0,3,0,0,MNE,1.0,MANAFOV R,0 - 0,384,KAZ,6:24,Saved,0
