Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Goal,6,4.0,2,8,CRO,3.0,GONZALEZ I,8 - 6,164,BRA,2:44
Time-Out,6,,2,8,CRO,3.0,,8 - 6,145,CRO,2:25
Turnover foul,6,5.0,2,8,CRO,3.0,JOKOVIC M,8 - 6,129,CRO,2:09
Steal,6,5.0,2,8,CRO,3.0,SALEMI P,8 - 6,129,BRA,2:09
Turnover foul,6,9.0,2,8,CRO,3.0,ROCHA B,8 - 6,111,BRA,1:51
Steal,6,9.0,2,8,CRO,3.0,SUKNO S,8 - 6,111,CRO,1:51
20 sec. exclusion in centre,6,9.0,2,8,CRO,3.0,ROCHA B,8 - 6,97,BRA,1:37
Extra player shot - Goal,6,8.0,2,9,CRO,3.0,BUSLJE A,9 - 6,78,CRO,1:18
20 sec. exclusion in centre,6,8.0,2,9,CRO,3.0,BUSLJE A,9 - 6,61,CRO,1:01
Time-Out,6,,2,9,CRO,3.0,,9 - 6,61,BRA,1:01
Turnover foul,6,12.0,2,9,CRO,3.0,VRLIC J,9 - 6,43,BRA,0:43
Turnover foul,6,12.0,2,9,CRO,3.0,VRLIC J,9 - 6,28,BRA,0:28
Turnover foul,6,9.0,2,9,CRO,3.0,SUKNO S,9 - 6,13,CRO,0:13
Starting goalkeeper,6,1.0,2,9,CRO,4.0,PAVIC J,9 - 6,480,CRO,8:00
Starting goalkeeper,6,1.0,2,9,CRO,4.0,ANTONELLI V,9 - 6,480,BRA,8:00
Sprint won possession,6,9.0,2,9,CRO,4.0,SUKNO S,9 - 6,480,CRO,8:00
Turnover foul,6,12.0,2,9,CRO,4.0,OBRADOVIC P,9 - 6,453,CRO,7:33
Turnover foul,6,10.0,2,9,CRO,4.0,PERRONE F,9 - 6,427,BRA,7:07
Steal,6,9.0,2,9,CRO,4.0,SUKNO S,9 - 6,427,CRO,7:07
20 sec. exclusion in centre,6,9.0,2,9,CRO,4.0,ROCHA B,9 - 6,421,BRA,7:01
