Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,1,2,15,ESP,4.0,GARCIA X,15 - 2,418,ESP,6:58,Goal,1
Centre shot,2.0,1,3,15,ESP,4.0,LEWIS M,15 - 3,389,NZL,6:29,Goal,1
Penalty shot,8.0,1,3,16,ESP,4.0,ESPANOL A,16 - 3,330,ESP,5:30,Goal,1
5m shot,12.0,1,3,16,ESP,4.0,PYE A,16 - 3,304,NZL,5:04,Saved,0
5m shot,5.0,1,3,16,ESP,4.0,MOLINA G,16 - 3,242,ESP,4:02,Saved,0
5m shot,12.0,1,3,16,ESP,4.0,PYE A,16 - 3,217,NZL,3:37,Missed,0
Action shot,3.0,1,3,17,ESP,4.0,de LERA R,17 - 3,202,ESP,3:22,Goal,1
Extra player shot,5.0,1,3,17,ESP,4.0,ROSS J,17 - 3,160,NZL,2:40,Saved,0
Action shot,5.0,1,3,17,ESP,4.0,MOLINA G,17 - 3,137,ESP,2:17,Saved,0
5m shot,11.0,1,3,17,ESP,4.0,ESTRANY P,17 - 3,1,ESP,0:01,Saved,0
Action shot,5.0,2,0,1,GRE,1.0,FOUNTOULIS I,0 - 1,453,GRE,7:33,Goal,1
5m shot,12.0,2,1,1,GRE,1.0,PYE A,1 - 1,437,NZL,7:17,Goal,1
Centre shot,9.0,2,1,1,GRE,1.0,MOURIKIS K,1 - 1,413,GRE,6:53,Post,0
Action shot,12.0,2,1,2,GRE,1.0,VLACHOPOULOS A,1 - 2,361,GRE,6:01,Goal,1
Action shot,2.0,2,1,2,GRE,1.0,MYLONAKIS E,1 - 2,304,GRE,5:04,Blocked,0
5m shot,12.0,2,1,2,GRE,1.0,PYE A,1 - 2,276,NZL,4:36,Missed,0
Action shot,12.0,2,1,3,GRE,1.0,VLACHOPOULOS A,1 - 3,259,GRE,4:19,Goal,1
Action shot,5.0,2,1,4,GRE,1.0,FOUNTOULIS I,1 - 4,224,GRE,3:44,Goal,1
Action shot,12.0,2,1,4,GRE,1.0,VLACHOPOULOS A,1 - 4,168,GRE,2:48,Saved,0
5m shot,10.0,2,1,4,GRE,1.0,BRYANT M,1 - 4,143,NZL,2:23,Saved,0
Centre shot,7.0,2,2,4,GRE,1.0,JACKSON D,2 - 4,133,NZL,2:13,Goal,1
5m shot,12.0,2,2,4,GRE,1.0,PYE A,2 - 4,79,NZL,1:19,Saved,0
Extra player shot,5.0,2,2,5,GRE,1.0,FOUNTOULIS I,2 - 5,59,GRE,0:59,Goal,1
