Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Saved,5.0,4,3,13,CRO,3.0,JOKOVIC M,13 - 3,326,CRO,5:26
Turnover foul,5.0,4,3,13,CRO,3.0,ROSS J,13 - 3,305,NZL,5:05
Steal,4.0,4,3,13,CRO,3.0,PASKVALIN F,13 - 3,305,CRO,5:05
Centre shot - Goal,7.0,4,3,14,CRO,3.0,MUSLIM P,14 - 3,291,CRO,4:51
Time-Out,,4,3,14,CRO,3.0,,14 - 3,291,NZL,4:51
Turnover foul,7.0,4,3,14,CRO,3.0,JACKSON D,14 - 3,279,NZL,4:39
Action shot - Saved,5.0,4,3,14,CRO,3.0,JOKOVIC M,14 - 3,268,CRO,4:28
Centre shot - Goal,10.0,4,3,15,CRO,3.0,DOBUD N,15 - 3,255,CRO,4:15
Centre shot - Saved,10.0,4,3,15,CRO,3.0,BRYANT M,15 - 3,233,NZL,3:53
Action shot - Goal,5.0,4,3,16,CRO,3.0,JOKOVIC M,16 - 3,216,CRO,3:36
20 sec. exclusion in centre,2.0,4,3,16,CRO,3.0,LEWIS M,16 - 3,169,NZL,2:49
Extra player shot - Blocked,10.0,4,3,16,CRO,3.0,DOBUD N,16 - 3,153,CRO,2:33
Action shot - Saved,2.0,4,3,16,CRO,3.0,LEWIS M,16 - 3,127,NZL,2:07
Action shot - Goal,6.0,4,3,17,CRO,3.0,BUKIC L,17 - 3,111,CRO,1:51
5m shot - Blocked,11.0,4,3,17,CRO,3.0,TIJSEN L,17 - 3,90,NZL,1:30
20 sec. exclusion in centre,2.0,4,3,17,CRO,3.0,LEWIS M,17 - 3,81,NZL,1:21
Turnover foul,10.0,4,3,17,CRO,3.0,DOBUD N,17 - 3,78,CRO,1:18
5m shot - Saved,5.0,4,3,17,CRO,3.0,ROSS J,17 - 3,52,NZL,0:52
Turnover foul,4.0,4,3,17,CRO,3.0,LOWERY F,17 - 3,32,NZL,0:32
Steal,8.0,4,3,17,CRO,3.0,BUSLJE A,17 - 3,32,CRO,0:32
20 sec. exclusion in centre,3.0,4,3,17,CRO,3.0,CURRY S,17 - 3,19,NZL,0:19
Exclusion with substitution,3.0,4,3,17,CRO,3.0,CURRY S,17 - 3,19,NZL,0:19
Extra player shot - Goal,12.0,4,3,18,CRO,3.0,OBRADOVIC P,18 - 3,17,CRO,0:17
Action shot - Missed,5.0,4,3,18,CRO,3.0,ROSS J,18 - 3,2,NZL,0:02
5m shot - Missed,12.0,4,3,18,CRO,3.0,OBRADOVIC P,18 - 3,1,CRO,0:01
Starting goalkeeper,1.0,4,3,18,CRO,4.0,KINGSMILL T,18 - 3,480,NZL,8:00
Starting goalkeeper,13.0,4,3,18,CRO,4.0,BIJAC M,18 - 3,480,CRO,8:00
Sprint won possession,6.0,4,3,18,CRO,4.0,BUKIC L,18 - 3,480,CRO,8:00
Action shot - Post,11.0,4,3,18,CRO,4.0,SETKA A,18 - 3,452,CRO,7:32
Penalty foul,10.0,4,3,18,CRO,4.0,BRYANT M,18 - 3,432,NZL,7:12
Exclusion with substitution,10.0,4,3,18,CRO,4.0,BRYANT M,18 - 3,432,NZL,7:12
Penalty shot - Goal,7.0,4,3,19,CRO,4.0,MUSLIM P,19 - 3,432,CRO,7:12
Action shot - Saved,9.0,4,3,19,CRO,4.0,LUI-FAKAOTIMANAVA,19 - 3,405,NZL,6:45
20 sec. exclusion in centre,4.0,4,3,19,CRO,4.0,LOWERY F,19 - 3,383,NZL,6:23
Action shot - Goal,4.0,4,3,20,CRO,4.0,PASKVALIN F,20 - 3,362,CRO,6:02
20 sec. exclusion in field,4.0,4,3,20,CRO,4.0,PASKVALIN F,20 - 3,333,CRO,5:33
Time-Out,,4,3,20,CRO,4.0,,20 - 3,333,NZL,5:33
Goalkeeper substitution,13.0,4,3,20,CRO,4.0,SMITH D,20 - 3,333,NZL,5:33
