Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Action shot,8.0,2,8,CAN,4.0,PERREAULT D,10 - 8,234,CAN,3:54,10,Saved,0
Action shot,4.0,2,8,CAN,4.0,FATTAL R,10 - 8,188,USA,3:08,10,Missed,0
Action shot,8.0,2,8,CAN,4.0,PERREAULT D,10 - 8,162,CAN,2:42,10,Saved,0
5m shot,4.0,2,8,CAN,4.0,WRIGHT E,10 - 8,15,CAN,0:15,10,Missed,0
Action shot,5.0,3,0,GBR,1.0,CLARK C,1 - 0,445,USA,7:25,1,Goal,1
Action shot,2.0,3,0,GBR,1.0,SILVER L,2 - 0,399,USA,6:39,2,Goal,1
Action shot,4.0,3,0,GBR,1.0,GIBSON-BYRNE C,2 - 0,372,GBR,6:12,2,Post,0
Counter attack,12.0,3,0,GBR,1.0,CRAIG K,3 - 0,318,USA,5:18,3,Goal,1
Action shot,8.0,3,0,GBR,1.0,NEUSHUL K,3 - 0,270,USA,4:30,3,Saved,0
Action shot,9.0,3,0,GBR,1.0,KRAUS J,4 - 0,250,USA,4:10,4,Goal,1
Action shot,6.0,3,0,GBR,1.0,NIXON C,4 - 0,222,GBR,3:42,4,Missed,0
Extra player shot,3.0,3,0,GBR,1.0,SEIDEMANN M,4 - 0,183,USA,3:03,4,Saved,0
Action shot,6.0,3,0,GBR,1.0,NIXON C,4 - 0,155,GBR,2:35,4,Saved,0
Action shot,6.0,3,0,GBR,1.0,STEFFENS M,4 - 0,127,USA,2:07,4,Blocked,0
Action shot,5.0,3,0,GBR,1.0,HOY A,4 - 0,98,GBR,1:38,4,Saved,0
Action shot,11.0,3,0,GBR,1.0,CLAYTON F,4 - 0,48,GBR,0:48,4,Missed,0
Action shot,12.0,3,0,GBR,1.0,FOWLER K,4 - 0,10,GBR,0:10,4,Saved,0
5m shot,3.0,3,0,GBR,1.0,SEIDEMANN M,4 - 0,1,USA,0:01,4,Missed,0
Action shot,3.0,3,0,GBR,2.0,SEIDEMANN M,4 - 0,427,USA,7:07,4,Post,0
Action shot,4.0,3,0,GBR,2.0,GIBSON-BYRNE C,4 - 0,410,GBR,6:50,4,Saved,0
Action shot,2.0,3,0,GBR,2.0,SILVER L,4 - 0,380,USA,6:20,4,Missed,0
Action shot,4.0,3,0,GBR,2.0,GIBSON-BYRNE C,4 - 0,304,GBR,5:04,4,Post,0
Penalty shot,10.0,3,0,GBR,2.0,RULON K,5 - 0,292,USA,4:52,5,Goal,1
Action shot,9.0,3,0,GBR,2.0,KRAUS J,5 - 0,207,USA,3:27,5,Saved,0
Extra player shot,10.0,3,1,GBR,2.0,WINSTANLEY-SMITH A,5 - 1,178,GBR,2:58,5,Goal,1
Action shot,4.0,3,1,GBR,2.0,GIBSON-BYRNE C,5 - 1,123,GBR,2:03,5,Saved,0
Action shot,4.0,3,2,GBR,2.0,GIBSON-BYRNE C,5 - 2,76,GBR,1:16,5,Goal,1
Action shot,3.0,3,2,GBR,2.0,SEIDEMANN M,6 - 2,55,USA,0:55,6,Goal,1
Action shot,3.0,3,2,GBR,2.0,McCANN F,6 - 2,28,GBR,0:28,6,Saved,0
Action shot,7.0,3,2,GBR,2.0,MATHEWSON C,6 - 2,4,USA,0:04,6,Blocked,0
5m shot,11.0,3,2,GBR,2.0,CLAYTON F,6 - 2,1,GBR,0:01,6,Saved,0
5m shot,3.0,3,2,GBR,3.0,McCANN F,6 - 2,420,GBR,7:00,6,Blocked,0
Penalty shot,6.0,3,2,GBR,3.0,STEFFENS M,7 - 2,399,USA,6:39,7,Goal,1
